name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	54	0	0.0
Azorhizobium caulinodans	7	species	0	285	0	0.0
Buchnera aphidicola	9	species	456703	151	63	0.0
Cellvibrio	10	genus	0	24	0	0.0
Cellulomonas gilvus	11	species	0	151	0	0.0
Dictyoglomus	13	genus	0	5	0	0.0
Dictyoglomus thermophilum	14	species	0	4	0	0.0
Methylophilus	16	genus	0	11	0	0.0
Pelobacter	18	genus	0	25	0	0.0
Syntrophotalea carbinolica	19	species	0	34	0	0.0
Phenylobacterium	20	genus	0	356	0	0.0
Shewanella	22	genus	0	545	91	0.0
Shewanella putrefaciens	24	species	31409311	647	147	0.0
Myxococcales	29	order	0	2264	0	0.0
Myxococcaceae	31	family	0	485	0	0.0
Myxococcus	32	genus	0	2088	2	0.0
Myxococcus fulvus	33	species	10772519	6489	3301	0.0
Myxococcus xanthus	34	species	83398521	9242	906	0.0
Corallococcus macrosporus	35	species	9003593	5606	966	0.0
Archangiaceae	39	family	0	650	0	0.0
Stigmatella	40	genus	0	28	0	0.0
Stigmatella aurantiaca	41	species	0	402	0	0.0
Cystobacter	42	genus	0	74	0	0.0
Cystobacter fuscus	43	species	36433943	17280	3881	0.0
Melittangium	44	genus	0	39	0	0.0
Archangium	47	genus	0	732	0	0.0
Archangium gephyra	48	species	24454036	14023	5352	7.13345e-06
Polyangiaceae	49	family	0	389	0	0.0
Chondromyces	50	genus	0	53	0	0.0
Chondromyces crocatus	52	species	11388132	6237	3991	0.0
Nannocystis	53	genus	0	110	0	0.0
Polyangium	55	genus	0	75	0	0.0
Sorangium cellulosum	56	species	40417900	33026	10138	0.0
Vitreoscilla	59	genus	0	136	0	0.0
Vitreoscilla stercoraria	61	species	2661781	167	83	0.0
Vitreoscilla filiformis	63	species	3787551	2766	1789	0
Lysobacter	68	genus	0	4419	120	0.0
Lysobacter enzymogenes	69	species	30971054	41948	11483	0
Simonsiella muelleri	72	species	2482394	172	32	0.0
Caulobacter	75	genus	0	1469	56	0.0
Hyphomicrobium	81	genus	0	298	2	0.0
Hyphomonas	85	genus	0	102	0	0.0
Leptothrix	88	genus	0	329	0	0.0
Stella	93	genus	0	110	0	0.0
Stella humosa	94	species	5832650	7017	4178	0.0
Gallionella	96	genus	0	11	0	0.0
Ancylobacter	99	genus	0	414	0	0.0
Cyclobacterium marinum	104	species	0	24	0	0.0
Runella	105	genus	0	29	0	0.0
