name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	49	0	0.0
Azorhizobium caulinodans	7	species	0	217	0	0.0
Buchnera aphidicola	9	species	456703	187	81	0.0
Cellvibrio	10	genus	0	29	0	0.0
Cellulomonas gilvus	11	species	0	134	0	0.0
Dictyoglomus	13	genus	0	1	0	0.0
Dictyoglomus thermophilum	14	species	0	2	0	0.0
Methylophilus	16	genus	0	23	0	0.0
Pelobacter	18	genus	0	25	0	0.0
Syntrophotalea carbinolica	19	species	0	24	0	0.0
Phenylobacterium	20	genus	0	347	0	0.0
Shewanella	22	genus	0	646	110	0.0
Shewanella putrefaciens	24	species	31409311	795	202	0.0
Myxococcales	29	order	0	2198	0	0.0
Myxococcaceae	31	family	0	498	0	0.0
Myxococcus	32	genus	0	1863	3	0.0
Myxococcus fulvus	33	species	10772519	6070	2981	0.0
Myxococcus xanthus	34	species	83398521	8551	847	0.0
Corallococcus macrosporus	35	species	9003593	5221	926	0.0
Archangiaceae	39	family	0	633	0	0.0
Stigmatella	40	genus	0	35	0	0.0
Stigmatella aurantiaca	41	species	0	370	0	0.0
Cystobacter	42	genus	0	83	0	0.0
Cystobacter fuscus	43	species	36433943	16528	3546	0.0
Melittangium	44	genus	0	29	0	0.0
Archangium	47	genus	0	647	0	0.0
Archangium gephyra	48	species	24454036	12747	4609	0.0
Polyangiaceae	49	family	0	401	0	0.0
Chondromyces	50	genus	0	51	0	0.0
Chondromyces crocatus	52	species	11388132	6019	3732	0.0
Nannocystis	53	genus	0	120	0	0.0
Polyangium	55	genus	0	71	0	0.0
Sorangium cellulosum	56	species	40417900	32556	10016	0.0
Vitreoscilla	59	genus	0	168	0	0.0
Vitreoscilla stercoraria	61	species	2661781	235	125	0.0
Vitreoscilla filiformis	63	species	3787551	3039	1949	0
Lysobacter	68	genus	0	3934	85	0.0
Lysobacter enzymogenes	69	species	30971054	34141	9258	0
Simonsiella muelleri	72	species	2482394	189	18	0.0
Caulobacter	75	genus	0	1411	48	0.0
Hyphomicrobium	81	genus	0	268	3	0.0
Hyphomonas	85	genus	0	103	0	0.0
Leptothrix	88	genus	0	288	0	0.0
Stella	93	genus	0	102	0	0.0
Stella humosa	94	species	5832650	6322	3802	0.0
Gallionella	96	genus	0	10	0	0.0
Ancylobacter	99	genus	0	413	0	0.0
Cyclobacterium marinum	104	species	0	12	0	0.0
Runella	105	genus	0	27	0	0.0
Runella slithyformis	106	species	0	18	0	0.0
Spirosoma	107	genus	0	162	19	0.0
Planctomycetales	112	order	0	234	0	0.0
Gemmata	113	genus	0	133	0	0.0
Gemmata obscuriglobus	114	species	17998094	10929	5686	2.66678e-06
Planctomyces	118	genus	0	82	0	0.0
Rubinisphaera brasiliensis	119	species	0	25	0	0.0
Planctopirus limnophila	120	species	0	15	0	0.0
Gimesia maris	122	species	23261830	1939	567	0.0
Pirellula	123	genus	0	7	0	0.0
Planctomycetaceae	126	family	0	165	0	0.0
Isosphaera	127	genus	0	4	0	0.0
Isosphaera pallida	128	species	0	33	0	0.0
Methylocystis	133	genus	0	533	11	0.0
Methylocystis parvus	134	species	4529043	2153	947	0.0
Spirochaetales	136	order	0	84	0	0.0
Spirochaetaceae	137	family	0	16	0	0.0
Borrelia	138	genus	0	27	14	0.0
Borreliella burgdorferi	139	species	24312222	177	49	0.0
Borrelia hermsii	140	species	3525460	67	13	0.0
Borrelia parkeri	141	species	1599772	74	20	0.0
Borrelia turicatae	142	species	4493576	116	7	0.0
Borrelia anserina	143	species	1054469	40	1	0.0
Borrelia coriaceae	144	species	1787333	79	43	0.0
Spirochaeta	146	genus	0	15	0	0.0
Spirochaeta thermophila	154	species	0	30	0	0.0
Treponema	157	genus	0	116	45	0.0
Treponema denticola	158	species	39148188	1134	262	0.0
Brachyspira hyodysenteriae	159	species	21589846	522	226	0.0
Treponema pallidum	160	species	0	59	6	0.0
Treponema phagedenis	162	species	26340967	644	85	0.0
Treponema bryantii	163	species	3516600	204	158	0.0
Treponema saccharophilum	165	species	3459320	401	251	0.0
Treponema succinifaciens	167	species	0	1	0	0.0
Leptospiraceae	170	family	0	13	0	0.0
Leptospira	171	genus	0	57	15	0.0
Leptospira biflexa	172	species	0	11	0	0.0
Leptospira interrogans	173	species	123051212	1003	349	0.0
Leptospira borgpetersenii	174	species	66750464	445	148	0.0
Leptospira interrogans serovar Hardjo	176	leaf	4742398	7	0	0.0
Leptospirillum	179	genus	0	9	0	0.0
Leptospirillum ferrooxidans	180	species	0	2	0	0.0
Aquaspirillum	187	genus	0	34	0	0.0
