name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	50	0	0.0
Azorhizobium caulinodans	7	species	0	182	0	0.0
Buchnera aphidicola	9	species	456703	44	15	0.0
Cellvibrio	10	genus	0	19	0	0.0
Cellulomonas gilvus	11	species	0	98	0	0.0
Dictyoglomus	13	genus	0	1	0	0.0
Dictyoglomus thermophilum	14	species	0	1	0	0.0
Methylophilus	16	genus	0	29	0	0.0
Pelobacter	18	genus	0	17	0	0.0
Syntrophotalea carbinolica	19	species	0	19	0	0.0
Phenylobacterium	20	genus	0	368	0	0.0
Shewanella	22	genus	0	457	74	0.0
Shewanella putrefaciens	24	species	31409311	450	107	0.0
Myxococcales	29	order	0	1939	0	0.0
Myxococcaceae	31	family	0	453	0	0.0
Myxococcus	32	genus	0	1483	4	0.0
Myxococcus fulvus	33	species	10772519	4539	2295	0.0
Myxococcus xanthus	34	species	83398521	6664	614	0.0
Corallococcus macrosporus	35	species	9003593	3898	652	0.0
Archangiaceae	39	family	0	484	0	0.0
Stigmatella	40	genus	0	42	0	0.0
Stigmatella aurantiaca	41	species	0	280	0	0.0
Cystobacter	42	genus	0	76	0	0.0
Cystobacter fuscus	43	species	36433943	12522	2783	0.0
Melittangium	44	genus	0	32	0	0.0
Archangium	47	genus	0	564	0	0.0
Archangium gephyra	48	species	24454036	9933	3640	0.0
Polyangiaceae	49	family	0	281	0	0.0
Chondromyces	50	genus	0	47	0	0.0
Chondromyces crocatus	52	species	11388132	4364	2603	0.0
Nannocystis	53	genus	0	108	0	0.0
Polyangium	55	genus	0	59	0	0.0
Sorangium cellulosum	56	species	40417900	22765	7052	0.0
Vitreoscilla	59	genus	0	170	0	0.0
Vitreoscilla stercoraria	61	species	2661781	89	42	0.0
Vitreoscilla filiformis	63	species	3787551	2992	1927	0
Lysobacter	68	genus	0	5709	176	0.0
Lysobacter enzymogenes	69	species	30971054	54778	14660	2.65742e-05
Simonsiella	71	genus	0	1	0	0.0
Simonsiella muelleri	72	species	2482394	100	20	0.0
Caulobacter	75	genus	0	1696	90	0.0
Hyphomicrobium	81	genus	0	280	2	0.0
Hyphomonas	85	genus	0	128	0	0.0
Leptothrix	88	genus	0	397	0	0.0
Stella	93	genus	0	87	0	0.0
Stella humosa	94	species	5832650	5661	3335	0.0
Gallionella	96	genus	0	7	0	0.0
Ancylobacter	99	genus	0	371	0	0.0
Cyclobacterium marinum	104	species	0	6	0	0.0
Runella	105	genus	0	19	0	0.0
Runella slithyformis	106	species	0	11	0	0.0
Spirosoma	107	genus	0	98	6	0.0
Planctomycetales	112	order	0	185	0	0.0
Gemmata	113	genus	0	102	0	0.0
Gemmata obscuriglobus	114	species	17998094	7275	3768	0.0
Planctomyces	118	genus	0	69	0	0.0
Rubinisphaera brasiliensis	119	species	0	5	0	0.0
Planctopirus limnophila	120	species	0	5	0	0.0
Gimesia maris	122	species	23261830	1186	368	0.0
Pirellula	123	genus	0	1	0	0.0
Planctomycetaceae	126	family	0	111	0	0.0
Isosphaera	127	genus	0	3	0	0.0
Isosphaera pallida	128	species	0	34	0	0.0
Methylocystis	133	genus	0	451	4	0.0
Methylocystis parvus	134	species	4529043	1714	716	0.0
Spirochaetales	136	order	0	69	0	0.0
Spirochaetaceae	137	family	0	14	0	0.0
Borrelia	138	genus	0	13	4	0.0
Borreliella burgdorferi	139	species	24312222	41	16	0.0
Borrelia hermsii	140	species	3525460	19	1	0.0
Borrelia parkeri	141	species	1599772	9	1	0.0
Borrelia turicatae	142	species	4493576	20	0	0.0
Borrelia anserina	143	species	1054469	10	0	0.0
Borrelia coriaceae	144	species	1787333	9	7	0.0
Spirochaeta	146	genus	0	5	0	0.0
Spirochaeta thermophila	154	species	0	26	0	0.0
Treponema	157	genus	0	57	9	0.0
Treponema denticola	158	species	39148188	304	92	0.0
Brachyspira hyodysenteriae	159	species	21589846	101	39	0.0
Treponema pallidum	160	species	0	20	3	0.0
Treponema pallidum subsp. pallidum	161	subspecies	7976305	1	1	0.0
Treponema phagedenis	162	species	26340967	235	36	0.0
Treponema bryantii	163	species	3516600	87	62	0.0
Treponema saccharophilum	165	species	3459320	276	199	0.0
Treponema succinifaciens	167	species	0	1	0	0.0
Leptospiraceae	170	family	0	8	0	0.0
Leptospira	171	genus	0	26	5	0.0
Leptospira biflexa	172	species	0	5	0	0.0
Leptospira interrogans	173	species	123051212	291	85	0.0
Leptospira borgpetersenii	174	species	66750464	184	75	0.0
Leptospirillum	179	genus	0	4	0	0.0
Leptospirillum ferrooxidans	180	species	0	2	0	0.0
Aquaspirillum	187	genus	0	39	0	0.0
Azospirillum	191	genus	0	3845	478	0.0
Azospirillum brasilense	192	species	42849090	18033	2051	0.0
Azospirillum lipoferum	193	species	0	161	0	0.0
Campylobacter	194	genus	0	37	6	0.0
Campylobacter coli	195	species	144738142	186	46	0.0
Campylobacter fetus	196	species	13696549	55	17	0.0
Campylobacter jejuni	197	species	658379475	201	43	0.0
Campylobacter hyointestinalis	198	species	1753385	29	1	0.0
Campylobacter concisus	199	species	29170988	308	90	0.0
Campylobacter curvus	200	species	5921091	157	0	0.0
Campylobacter lari	201	species	42548854	201	47	0.0
Campylobacter mucosalis	202	species	1773478	16	7	0.0
Campylobacter rectus	203	species	5143480	196	0	0.0
Campylobacter showae	204	species	4258467	178	94	0.0
Campylobacter sputorum	206	species	0	9	0	0.0
Helicobacter	209	genus	0	7	0	0.0
Helicobacter pylori	210	species	488641313	594	242	0.0
Helicobacter cinaedi	213	species	19421675	149	23	0.0
Helicobacter felis	214	species	0	1	0	0.0
Helicobacter mustelae	217	species	1576607	26	0	0.0
Achromobacter	222	genus	0	5597	483	0.0
Alteromonas	226	genus	0	37	4	0.0
Pseudoalteromonas carrageenovora	227	species	4597803	65	35	0.0
Brucella	234	genus	0	1332	506	0.0
Brucella abortus	235	species	229795308	42	9	0.0
Flavobacterium	237	genus	0	925	449	0.0
Elizabethkingia meningoseptica	238	species	27451532	1463	100	0.0
Flavobacterium sp.	239	species	2753136	303	167	0.0
Chryseobacterium balustinum	246	species	4974086	282	131	0.0
Empedobacter brevis	247	species	7431270	444	66	0.0
Chryseobacterium gleum	250	species	5606922	312	139	0.0
Chryseobacterium indologenes	253	species	55311915	2450	451	0.0
Chryseobacterium indoltheticum	254	species	12892241	829	315	0.0
Myroides odoratus	256	species	12653952	439	158	0.0
Sphingobacterium spiritivorum	258	species	20685717	1514	423	0.0
Sphingobacterium thalpophilum	259	species	23274145	1582	380	0.0
Francisella	262	genus	0	17	2	0.0
Francisella tularensis	263	species	28312821	53	25	0.0
Francisella tularensis subsp. novicida	264	subspecies	7888826	24	7	0.0
Paracoccus	265	genus	0	2393	72	0.0
Paracoccus denitrificans	266	species	20794901	7500	400	0.0
Thermus	270	genus	0	166	31	0.0
Thermus aquaticus	271	species	0	11	0	0.0
Thermus thermophilus	274	species	60521242	1514	351	0.0
Meiothermus ruber	277	species	0	37	0	0.0
Xanthobacter	279	genus	0	103	0	0.0
Comamonas	283	genus	0	2457	226	0.0
Comamonas testosteroni	285	species	41357446	12804	2600	0
Pseudomonas	286	genus	0	44202	14291	0.0
Pseudomonas aeruginosa	287	species	6124531475	24068	4526	1.33422e-07
Pseudoalteromonas atlantica	288	species	3669595	48	11	0.0
[Pseudomonas] carboxydohydrogena	290	species	3271440	1734	824	0.0
Burkholderia cepacia	292	species	159454479	20934	4058	0.0
Brevundimonas diminuta	293	species	17453973	29970	6672	4.87456e-05
Pseudomonas fluorescens	294	species	135120295	10382	2499	0
Pseudomonas fragi	296	species	30797803	2687	240	0.0
Hydrogenophilus thermoluteolus	297	species	2288780	630	375	0.0
Pseudomonas marginalis	298	species	28115681	2721	477	5.82536e-05
Ectopseudomonas mendocina	300	species	20627476	5156	1125	0.0
Ectopseudomonas oleovorans	301	species	9232695	2162	263	0.0
Pseudomonas putida	303	species	440790802	19499	4157	0
