name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	44	0	0.0
Azorhizobium caulinodans	7	species	0	185	0	0.0
Buchnera aphidicola	9	species	456703	73	43	0.0
Cellvibrio	10	genus	0	18	0	0.0
Cellulomonas gilvus	11	species	0	75	0	0.0
Dictyoglomus thermophilum	14	species	0	3	0	0.0
Methylophilus	16	genus	0	17	0	0.0
Pelobacter	18	genus	0	12	0	0.0
Syntrophotalea carbinolica	19	species	0	16	0	0.0
Phenylobacterium	20	genus	0	401	0	0.0
Shewanella	22	genus	0	519	91	0.0
Shewanella putrefaciens	24	species	31409311	638	159	0.0
Myxococcales	29	order	0	1666	0	0.0
Myxococcaceae	31	family	0	389	0	0.0
Myxococcus	32	genus	0	1354	4	0.0
Myxococcus fulvus	33	species	10772519	4059	2036	0.0
Myxococcus xanthus	34	species	83398521	6309	586	0.0
Corallococcus macrosporus	35	species	9003593	3679	680	0.0
Archangiaceae	39	family	0	455	0	0.0
Stigmatella	40	genus	0	35	0	0.0
Stigmatella aurantiaca	41	species	0	228	0	0.0
Cystobacter	42	genus	0	72	0	0.0
Cystobacter fuscus	43	species	36433943	12005	2670	0.0
Melittangium	44	genus	0	39	0	0.0
Archangium	47	genus	0	472	0	0.0
Archangium gephyra	48	species	24454036	9105	3306	0.0
Polyangiaceae	49	family	0	305	0	0.0
Chondromyces	50	genus	0	36	0	0.0
Chondromyces crocatus	52	species	11388132	4267	2634	0.0
Nannocystis	53	genus	0	94	0	0.0
Polyangium	55	genus	0	50	0	0.0
Sorangium cellulosum	56	species	40417900	22794	7004	5.40926e-06
Vitreoscilla	59	genus	0	155	0	0.0
Vitreoscilla stercoraria	61	species	2661781	130	65	0.0
Vitreoscilla filiformis	63	species	3787551	2760	1733	0
Lysobacter	68	genus	0	3915	122	0.0
Lysobacter enzymogenes	69	species	30971054	38674	10179	0
Simonsiella	71	genus	0	2	0	0.0
Simonsiella muelleri	72	species	2482394	126	30	0.0
Caulobacter	75	genus	0	1629	60	0.0
Hyphomicrobium	81	genus	0	239	2	0.0
Hyphomonas	85	genus	0	121	0	0.0
Leptothrix	88	genus	0	358	0	0.0
Stella	93	genus	0	106	0	0.0
Stella humosa	94	species	5832650	6016	3591	0.0
Gallionella	96	genus	0	7	0	0.0
Ancylobacter	99	genus	0	421	0	0.0
Cyclobacterium marinum	104	species	0	8	0	0.0
Runella	105	genus	0	19	0	0.0
Runella slithyformis	106	species	0	21	0	0.0
Spirosoma	107	genus	0	137	9	0.0
Planctomycetales	112	order	0	182	0	0.0
Gemmata	113	genus	0	105	0	0.0
Gemmata obscuriglobus	114	species	17998094	7360	3819	0.0
Planctomyces	118	genus	0	62	0	0.0
Rubinisphaera brasiliensis	119	species	0	19	0	0.0
Planctopirus limnophila	120	species	0	2	0	0.0
Gimesia maris	122	species	23261830	1273	404	0.0
Pirellula	123	genus	0	4	0	0.0
Planctomycetaceae	126	family	0	132	0	0.0
Isosphaera	127	genus	0	6	0	0.0
Isosphaera pallida	128	species	0	29	0	0.0
Methylocystis	133	genus	0	439	15	0.0
Methylocystis parvus	134	species	4529043	1844	772	0.0
Spirochaetales	136	order	0	65	0	0.0
Spirochaetaceae	137	family	0	8	0	0.0
Borrelia	138	genus	0	25	10	0.0
Borreliella burgdorferi	139	species	24312222	83	23	0.0
Borrelia hermsii	140	species	3525460	40	9	0.0
Borrelia parkeri	141	species	1599772	35	5	0.0
Borrelia turicatae	142	species	4493576	40	2	0.0
Borrelia anserina	143	species	1054469	42	0	0.0
Borrelia coriaceae	144	species	1787333	29	18	0.0
