name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	1	0	0.0
Azorhizobium	6	genus	0	37	0	0.0
Azorhizobium caulinodans	7	species	0	183	0	0.0
Buchnera aphidicola	9	species	456703	73	27	0.0
Cellvibrio	10	genus	0	12	0	0.0
Cellulomonas gilvus	11	species	0	106	0	0.0
Dictyoglomus thermophilum	14	species	0	1	0	0.0
Methylophilus	16	genus	0	14	0	0.0
Pelobacter	18	genus	0	12	0	0.0
Syntrophotalea carbinolica	19	species	0	14	0	0.0
Phenylobacterium	20	genus	0	335	0	0.0
Shewanella	22	genus	0	461	81	0.0
Shewanella putrefaciens	24	species	31409311	495	111	0.0
Myxococcales	29	order	0	1650	0	0.0
Myxococcaceae	31	family	0	433	0	0.0
Myxococcus	32	genus	0	1296	3	0.0
Myxococcus fulvus	33	species	10772519	4270	2207	0.0
Myxococcus xanthus	34	species	83398521	6307	587	0.0
Corallococcus macrosporus	35	species	9003593	3659	640	0.0
Archangiaceae	39	family	0	421	0	0.0
Stigmatella	40	genus	0	29	0	0.0
Stigmatella aurantiaca	41	species	0	251	0	0.0
Cystobacter	42	genus	0	60	0	0.0
Cystobacter fuscus	43	species	36433943	11774	2590	0.0
Melittangium	44	genus	0	18	0	0.0
Archangium	47	genus	0	476	0	0.0
Archangium gephyra	48	species	24454036	9087	3362	0.0
Polyangiaceae	49	family	0	311	0	0.0
Chondromyces	50	genus	0	43	0	0.0
Chondromyces crocatus	52	species	11388132	3979	2469	0.0
Nannocystis	53	genus	0	96	0	0.0
Polyangium	55	genus	0	57	0	0.0
Sorangium cellulosum	56	species	40417900	21136	6507	4.22215e-292
Vitreoscilla	59	genus	0	156	0	0.0
Vitreoscilla stercoraria	61	species	2661781	108	57	0.0
Vitreoscilla filiformis	63	species	3787551	3200	2112	0
Lysobacter	68	genus	0	3755	86	0.0
Lysobacter enzymogenes	69	species	30971054	35098	9423	0
Simonsiella	71	genus	0	1	0	0.0
Simonsiella muelleri	72	species	2482394	82	14	0.0
Caulobacter	75	genus	0	1625	112	0.0
Hyphomicrobium	81	genus	0	217	1	0.0
Hyphomonas	85	genus	0	127	0	0.0
Leptothrix	88	genus	0	296	0	0.0
Stella	93	genus	0	97	0	0.0
Stella humosa	94	species	5832650	5193	3107	0.0
Gallionella	96	genus	0	14	0	0.0
Ancylobacter	99	genus	0	351	0	0.0
Cyclobacterium marinum	104	species	0	10	0	0.0
Runella	105	genus	0	11	0	0.0
Runella slithyformis	106	species	0	14	0	0.0
Spirosoma	107	genus	0	110	11	0.0
Planctomycetales	112	order	0	197	0	0.0
Gemmata	113	genus	0	83	0	0.0
Gemmata obscuriglobus	114	species	17998094	6787	3658	0.0
Planctomyces	118	genus	0	64	0	0.0
Rubinisphaera brasiliensis	119	species	0	11	0	0.0
Planctopirus limnophila	120	species	0	8	0	0.0
Gimesia maris	122	species	23261830	1216	327	0.0
Planctomycetaceae	126	family	0	121	0	0.0
Isosphaera	127	genus	0	7	0	0.0
Isosphaera pallida	128	species	0	21	0	0.0
Methylocystis	133	genus	0	393	3	0.0
