name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	69	0	0.0
Azorhizobium caulinodans	7	species	0	332	0	0.0
Buchnera aphidicola	9	species	456703	61	30	0.0
Cellvibrio	10	genus	0	17	0	0.0
Cellulomonas gilvus	11	species	0	162	0	0.0
Dictyoglomus	13	genus	0	6	0	0.0
Dictyoglomus thermophilum	14	species	0	3	0	0.0
Methylophilus	16	genus	0	17	0	0.0
Pelobacter	18	genus	0	25	0	0.0
Syntrophotalea carbinolica	19	species	0	14	0	0.0
Phenylobacterium	20	genus	0	421	0	0.0
Shewanella	22	genus	0	397	58	0.0
Shewanella putrefaciens	24	species	31409311	360	83	9.60247e-06
Myxococcales	29	order	0	2070	0	0.0
Myxococcaceae	31	family	0	472	0	0.0
Myxococcus	32	genus	0	1706	3	0.0
Myxococcus fulvus	33	species	10772519	5014	2484	0.0
Myxococcus xanthus	34	species	83398521	7360	746	3.61646e-06
Corallococcus macrosporus	35	species	9003593	4642	832	0.0
Archangiaceae	39	family	0	550	0	0.0
Stigmatella	40	genus	0	28	0	0.0
Stigmatella aurantiaca	41	species	0	311	0	0.0
Cystobacter	42	genus	0	70	0	0.0
Cystobacter fuscus	43	species	36433943	14718	3432	0.0
Melittangium	44	genus	0	42	0	0.0
Archangium	47	genus	0	594	0	0.0
Archangium gephyra	48	species	24454036	10721	4059	0.0
Polyangiaceae	49	family	0	331	0	0.0
Chondromyces	50	genus	0	35	0	0.0
Chondromyces crocatus	52	species	11388132	5459	3544	0.0
Nannocystis	53	genus	0	91	0	0.0
Polyangium	55	genus	0	66	0	0.0
Sorangium cellulosum	56	species	40417900	27436	8110	0.0
Vitreoscilla	59	genus	0	99	0	0.0
Vitreoscilla stercoraria	61	species	2661781	85	49	0.0
Vitreoscilla filiformis	63	species	3787551	1357	839	0.0
Lysobacter	68	genus	0	1774	13	0.0
Lysobacter enzymogenes	69	species	30971054	17037	4683	0.0
Simonsiella muelleri	72	species	2482394	112	17	0.0
Caulobacter	75	genus	0	2104	169	0.0
Hyphomicrobium	81	genus	0	316	1	0.0
Hyphomonas	85	genus	0	100	0	0.0
Leptothrix	88	genus	0	173	0	0.0
Stella	93	genus	0	105	0	0.0
Stella humosa	94	species	5832650	6874	4089	0.0
Gallionella	96	genus	0	10	0	0.0
Ancylobacter	99	genus	0	583	0	0.0
Cyclobacterium marinum	104	species	0	8	0	0.0
Runella	105	genus	0	10	0	0.0
Runella slithyformis	106	species	0	11	0	0.0
Spirosoma	107	genus	0	112	14	0.0
Planctomycetales	112	order	0	235	0	0.0
Gemmata	113	genus	0	112	0	0.0
Gemmata obscuriglobus	114	species	17998094	9515	5057	0.0
Planctomyces	118	genus	0	73	0	0.0
Rubinisphaera brasiliensis	119	species	0	15	0	0.0
Planctopirus limnophila	120	species	0	8	0	0.0
Gimesia maris	122	species	23261830	1482	445	0.0
Pirellula	123	genus	0	4	0	0.0
Planctomycetaceae	126	family	0	125	0	0.0
Isosphaera	127	genus	0	4	0	0.0
Isosphaera pallida	128	species	0	37	0	0.0
Methylocystis	133	genus	0	880	28	0.0
Methylocystis parvus	134	species	4529043	3497	1466	0.0
Spirochaetales	136	order	0	82	0	0.0
Spirochaetaceae	137	family	0	17	0	0.0
Borrelia	138	genus	0	12	3	0.0
Borreliella burgdorferi	139	species	24312222	181	27	0.0
Borrelia hermsii	140	species	3525460	33	9	0.0
Borrelia parkeri	141	species	1599772	23	8	0.0
Borrelia turicatae	142	species	4493576	45	2	0.0
Borrelia anserina	143	species	1054469	34	0	0.0
Borrelia coriaceae	144	species	1787333	35	25	0.0
Spirochaeta	146	genus	0	3	0	0.0
Spirochaeta thermophila	154	species	0	18	0	0.0
Treponema	157	genus	0	62	16	0.0
Treponema denticola	158	species	39148188	626	151	0.0
Brachyspira hyodysenteriae	159	species	21589846	293	116	0.0
Treponema pallidum	160	species	0	49	8	0.0
Treponema phagedenis	162	species	26340967	282	63	0.0
Treponema bryantii	163	species	3516600	124	86	0.0
Treponema saccharophilum	165	species	3459320	310	202	0.0
Treponema succinifaciens	167	species	0	2	0	0.0
Leptospiraceae	170	family	0	7	0	0.0
Leptospira	171	genus	0	21	5	0.0
Leptospira biflexa	172	species	0	1	0	0.0
Leptospira interrogans	173	species	123051212	406	158	0.0
Leptospira borgpetersenii	174	species	66750464	264	108	0.0
Leptospira interrogans serovar Hardjo	176	leaf	4742398	1	0	0.0
Leptospirillum	179	genus	0	2	0	0.0
Aquaspirillum	187	genus	0	13	0	0.0
Azospirillum	191	genus	0	5059	725	0.0
Azospirillum brasilense	192	species	42849090	23264	2999	0.0
Azospirillum lipoferum	193	species	0	184	1	0.0
Campylobacter	194	genus	0	50	11	0.0
Campylobacter coli	195	species	144738142	368	105	0.0
Campylobacter fetus	196	species	13696549	88	46	0.0
Campylobacter jejuni	197	species	658379475	550	125	0.0
Campylobacter hyointestinalis	198	species	1753385	30	1	0.0
Campylobacter concisus	199	species	29170988	624	174	0.0
Campylobacter curvus	200	species	5921091	232	0	0.0
Campylobacter lari	201	species	42548854	412	131	0.0
Campylobacter mucosalis	202	species	1773478	29	3	0.0
Campylobacter rectus	203	species	5143480	250	0	0.0
Campylobacter showae	204	species	4258467	207	97	0.0
Campylobacter sputorum	206	species	0	5	0	0.0
Helicobacter	209	genus	0	32	3	0.0
Helicobacter pylori	210	species	488641313	1168	454	0.0
Helicobacter cinaedi	213	species	19421675	168	39	0.0
Helicobacter mustelae	217	species	1576607	28	0	0.0
Achromobacter	222	genus	0	3530	289	0.0
Alteromonas	226	genus	0	33	0	0.0
Pseudoalteromonas carrageenovora	227	species	4597803	76	38	0.0
Brucella	234	genus	0	1414	584	0.0
Brucella abortus	235	species	229795308	45	9	0.0
Brucella ovis	236	species	0	1	0	0.0
Flavobacterium	237	genus	0	705	230	0.0
Elizabethkingia meningoseptica	238	species	27451532	2211	247	0.0
Flavobacterium sp.	239	species	2753136	255	164	0.0
Chryseobacterium balustinum	246	species	4974086	434	201	0.0
Empedobacter brevis	247	species	7431270	580	109	0.0
Chryseobacterium gleum	250	species	5606922	476	285	0.0
Chryseobacterium indologenes	253	species	55311915	3191	736	0.0
Chryseobacterium indoltheticum	254	species	12892241	978	419	0.0
Myroides odoratus	256	species	12653952	723	294	0.0
Sphingobacterium spiritivorum	258	species	20685717	2971	779	0.0
Sphingobacterium thalpophilum	259	species	23274145	2448	591	1.29589e-05
Francisella	262	genus	0	18	3	0.0
Francisella tularensis	263	species	28312821	97	55	0.0
Francisella tularensis subsp. novicida	264	subspecies	7888826	90	22	0.0
Paracoccus	265	genus	0	2435	77	0.0
Paracoccus denitrificans	266	species	20794901	7451	405	1.46988e-05
Thermus	270	genus	0	216	28	0.0
Thermus aquaticus	271	species	0	15	0	0.0
Thermus thermophilus	274	species	60521242	2404	634	0.0
Meiothermus ruber	277	species	0	38	0	0.0
Xanthobacter	279	genus	0	185	0	0.0
Comamonas	283	genus	0	1191	69	0.0
Comamonas testosteroni	285	species	41357446	6111	1315	0.0
Pseudomonas	286	genus	0	41860	16898	0.0
Pseudomonas aeruginosa	287	species	6124531475	22453	4330	0.0
Pseudoalteromonas atlantica	288	species	3669595	81	7	0.0
[Pseudomonas] carboxydohydrogena	290	species	3271440	2543	1297	2.75596e-27
Burkholderia cepacia	292	species	159454479	20421	4127	0.0
Brevundimonas diminuta	293	species	17453973	13453	2647	0.0
Pseudomonas fluorescens	294	species	135120295	15888	2917	2.45146e-06
Pseudomonas fragi	296	species	30797803	2647	391	0.000122641
Hydrogenophilus thermoluteolus	297	species	2288780	501	311	0.0
Pseudomonas marginalis	298	species	28115681	7646	1346	5.71906e-05
Ectopseudomonas mendocina	300	species	20627476	4126	950	0.0
Ectopseudomonas oleovorans	301	species	9232695	1754	268	0.000196248
Pseudomonas putida	303	species	440790802	17708	3950	0.0
Ralstonia solanacearum	305	species	149303865	14091	1799	0.0
Stutzerimonas stutzeri	316	species	134234018	16464	3916	4.49375e-06
Pseudomonas syringae	317	species	78178356	4993	824	9.45682e-06
Pseudomonas savastanoi pv. phaseolicola	319	leaf	6085631	87	0	0.0
Pseudomonas syringae pv. syringae	321	leaf	36483072	970	177	0.0
Pseudomonas amygdali pv. tabaci	322	leaf	6299574	126	17	0.0
Pseudomonas syringae pv. tomato	323	leaf	25656674	782	16	2.47521e-05
Ralstonia pickettii	329	species	10187675	3340	725	0.0
Pseudomonas chlororaphis subsp. chlororaphis	333	subspecies	13616270	174	0	0.0
Burkholderia glumae	337	species	346659127	12949	3332	0.0
Xanthomonas	338	genus	0	12323	3617	0.0
Xanthomonas campestris	339	species	76348720	5807	1475	0.0
Xanthomonas campestris pv. campestris	340	leaf	548143478	1025	108	0.0
Xanthomonas translucens	343	species	37134451	4290	756	0.0
Xanthomonas citri	346	species	31534264	2879	517	0.0
Xanthomonas oryzae	347	species	138705971	3174	1310	0.0
Azotobacter	352	genus	0	350	0	0.0
Azotobacter chroococcum	353	species	10098779	4193	359	0.0
Azotobacter vinelandii	354	species	5617899	2296	109	0.0
Hyphomicrobiales	356	order	0	14830	494	0.0
Agrobacterium	357	genus	0	1631	27	0.0
Agrobacterium tumefaciens	358	species	328402725	17551	3357	2.80963e-06
Rhizobium rhizogenes	359	species	25817365	5788	382	1.40025e-05
Agrobacterium radiobacter	362	species	5921389	931	46	0.0
Agrobacterium vitis	373	species	59045005	7070	1635	5.10809e-06
Bradyrhizobium	374	genus	0	38939	15115	0.0
Bradyrhizobium japonicum	375	species	158880876	13455	2105	0.0
Bradyrhizobium sp.	376	species	7547693	1880	569	0.0
Rhizobium	379	genus	0	11193	3068	0.0
Sinorhizobium fredii	380	species	13531397	4651	409	0.0
Mesorhizobium loti	381	species	6870350	1967	179	0.0
Sinorhizobium meliloti	382	species	179769211	8422	1489	0.0
Rhizobium leguminosarum	384	species	95651800	11942	2324	0.0
Rhizobium leguminosarum bv. trifolii	386	leaf	37653028	4145	635	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	22747743	2144	368	0.0
Sinorhizobium fredii NGR234	394	strain	6891900	1973	865	0.0
Rhizobium phaseoli	396	species	94701776	6127	1347	0.0
Rhizobium tropici	398	species	0	67	0	0.0
Neorhizobium galegae	399	species	6049186	2771	932	0.0
Methylococcaceae	403	family	0	403	0	0.0
Methylobacillus	404	genus	0	4	0	0.0
Methylobacillus flagellatus	405	species	0	24	0	0.0
Methylobacterium	407	genus	0	9754	2171	0.0
Methylorubrum extorquens	408	species	28813053	23982	4033	3.16594e-05
Methylobacterium organophilum	410	species	5319780	7637	4266	0.000214926
Methylococcus	413	genus	0	230	0	0.0
Methylococcus capsulatus	414	species	20013869	4808	628	0.0
Methylomonas	416	genus	0	156	2	0.0
Methylomonas methanica	421	species	0	16	0	0.0
Methylosinus	425	genus	0	476	0	0.0
Methylosinus trichosporium	426	species	0	598	2	0.0
Methylosinus sporium	428	species	4852742	4873	1981	1.14024e-125
Methylobacter	429	genus	0	9	0	0.0
Acetobacteraceae	433	family	0	1363	67	0.0
Acetobacter	434	genus	0	291	43	0.0
Acetobacter aceti	435	species	7692929	2048	859	0.0
