name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	48	0	0.0
Azorhizobium caulinodans	7	species	0	202	0	0.0
Buchnera aphidicola	9	species	456703	87	36	0.0
Cellvibrio	10	genus	0	26	0	0.0
Cellulomonas gilvus	11	species	0	85	0	0.0
Dictyoglomus	13	genus	0	2	0	0.0
Methylophilus	16	genus	0	12	0	0.0
Pelobacter	18	genus	0	36	0	0.0
Syntrophotalea carbinolica	19	species	0	14	0	0.0
Phenylobacterium	20	genus	0	319	0	0.0
Shewanella	22	genus	0	693	124	0.0
Shewanella putrefaciens	24	species	31409311	719	172	0.0
Myxococcales	29	order	0	1630	0	0.0
Myxococcaceae	31	family	0	380	0	0.0
Myxococcus	32	genus	0	1361	1	0.0
Myxococcus fulvus	33	species	10772519	4029	1976	0.0
Myxococcus xanthus	34	species	83398521	6159	620	0.0
Corallococcus macrosporus	35	species	9003593	3907	712	0.0
Archangiaceae	39	family	0	457	0	0.0
Stigmatella	40	genus	0	36	0	0.0
Stigmatella aurantiaca	41	species	0	271	0	0.0
Cystobacter	42	genus	0	75	0	0.0
Cystobacter fuscus	43	species	36433943	13876	3412	0.0
Melittangium	44	genus	0	23	0	0.0
Archangium	47	genus	0	491	0	0.0
Archangium gephyra	48	species	24454036	9050	3483	0.0
Polyangiaceae	49	family	0	292	0	0.0
Chondromyces	50	genus	0	36	0	0.0
Chondromyces crocatus	52	species	11388132	5797	3909	0.0
Nannocystis	53	genus	0	103	0	0.0
Polyangium	55	genus	0	44	0	0.0
Sorangium cellulosum	56	species	40417900	27252	8575	0
Vitreoscilla	59	genus	0	169	0	0.0
Vitreoscilla stercoraria	61	species	2661781	207	99	0.0
Vitreoscilla filiformis	63	species	3787551	3553	2270	0
Lysobacter	68	genus	0	2512	26	0.0
Lysobacter enzymogenes	69	species	30971054	22413	6300	0.0
Simonsiella	71	genus	0	1	0	0.0
Simonsiella muelleri	72	species	2482394	157	29	0.0
Caulobacter	75	genus	0	1686	108	0.0
Hyphomicrobium	81	genus	0	247	0	0.0
Hyphomonas	85	genus	0	117	0	0.0
Leptothrix	88	genus	0	424	0	0.0
Stella	93	genus	0	88	0	0.0
Stella humosa	94	species	5832650	5247	3059	0.0
Gallionella	96	genus	0	16	0	0.0
Ancylobacter	99	genus	0	363	0	0.0
Cyclobacterium marinum	104	species	0	15	0	0.0
Runella	105	genus	0	20	0	0.0
Runella slithyformis	106	species	0	25	0	0.0
Spirosoma	107	genus	0	140	11	0.0
Planctomycetales	112	order	0	209	0	0.0
Gemmata	113	genus	0	76	0	0.0
Gemmata obscuriglobus	114	species	17998094	4995	2612	0.0
Planctomyces	118	genus	0	41	0	0.0
Rubinisphaera brasiliensis	119	species	0	13	0	0.0
Planctopirus limnophila	120	species	0	10	0	0.0
Gimesia maris	122	species	23261830	1179	325	0.0
Pirellula	123	genus	0	2	0	0.0
Planctomycetaceae	126	family	0	118	0	0.0
Isosphaera	127	genus	0	5	0	0.0
Isosphaera pallida	128	species	0	19	0	0.0
Methylocystis	133	genus	0	416	1	0.0
Methylocystis parvus	134	species	4529043	1574	637	0.0
Spirochaetales	136	order	0	75	0	0.0
Spirochaetaceae	137	family	0	9	0	0.0
Borrelia	138	genus	0	23	5	0.0
Borreliella burgdorferi	139	species	24312222	89	31	0.0
Borrelia hermsii	140	species	3525460	40	15	0.0
Borrelia parkeri	141	species	1599772	18	6	0.0
Borrelia turicatae	142	species	4493576	70	6	0.0
Borrelia anserina	143	species	1054469	31	0	0.0
Borrelia coriaceae	144	species	1787333	66	37	0.0
Spirochaeta	146	genus	0	4	0	0.0
Spirochaeta thermophila	154	species	0	6	0	0.0
Treponema	157	genus	0	92	25	0.0
Treponema denticola	158	species	39148188	758	160	0.0
Brachyspira hyodysenteriae	159	species	21589846	324	147	0.0
Treponema pallidum	160	species	0	29	5	0.0
Treponema pallidum subsp. pallidum	161	subspecies	7976305	1	1	0.0
Treponema phagedenis	162	species	26340967	386	61	0.0
Treponema bryantii	163	species	3516600	160	115	0.0
