name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	15	0	0.0
Azorhizobium caulinodans	7	species	0	78	0	0.0
Buchnera aphidicola	9	species	456703	103	27	0.0
Cellvibrio	10	genus	0	3	0	0.0
Cellulomonas gilvus	11	species	0	34	0	0.0
Pelobacter	18	genus	0	6	0	0.0
Syntrophotalea carbinolica	19	species	0	1	0	0.0
Phenylobacterium	20	genus	0	152	0	0.0
Shewanella	22	genus	0	337	79	0.0
Shewanella putrefaciens	24	species	31409311	658	79	0.0
Myxococcales	29	order	0	579	0	0.0
Myxococcaceae	31	family	0	128	0	0.0
Myxococcus	32	genus	0	473	0	0.0
Myxococcus fulvus	33	species	10772519	1274	646	0.0
Myxococcus xanthus	34	species	83398521	2046	243	0.0
Corallococcus macrosporus	35	species	9003593	1188	211	0.0
Archangiaceae	39	family	0	140	0	0.0
Stigmatella	40	genus	0	12	0	0.0
Stigmatella aurantiaca	41	species	0	72	0	0.0
Cystobacter	42	genus	0	25	0	0.0
Cystobacter fuscus	43	species	36433943	4236	1061	0
Melittangium	44	genus	0	15	0	0.0
Archangium	47	genus	0	160	0	0.0
Archangium gephyra	48	species	24454036	3060	1195	0
Polyangiaceae	49	family	0	96	0	0.0
Chondromyces	50	genus	0	9	0	0.0
Chondromyces crocatus	52	species	11388132	1562	1023	0.0
Nannocystis	53	genus	0	25	0	0.0
Polyangium	55	genus	0	12	0	0.0
Sorangium cellulosum	56	species	40417900	7649	2320	0
Vitreoscilla	59	genus	0	32	0	0.0
Vitreoscilla stercoraria	61	species	2661781	194	83	0.0
Vitreoscilla filiformis	63	species	3787551	432	268	0.0
Lysobacter	68	genus	0	520	4	0.0
Lysobacter enzymogenes	69	species	30971054	4598	1281	0.0
Simonsiella	71	genus	0	3	0	0.0
Simonsiella muelleri	72	species	2482394	222	36	0.0
Caulobacter	75	genus	0	567	29	0.0
Hyphomicrobium	81	genus	0	71	2	0.0
Hyphomonas	85	genus	0	24	0	0.0
Leptothrix	88	genus	0	30	0	0.0
Stella	93	genus	0	31	0	0.0
Stella humosa	94	species	5832650	1676	995	0.0
Gallionella	96	genus	0	2	0	0.0
Ancylobacter	99	genus	0	118	0	0.0
Cyclobacterium marinum	104	species	0	1	0	0.0
Runella	105	genus	0	8	0	0.0
Runella slithyformis	106	species	0	2	0	0.0
Spirosoma	107	genus	0	61	7	0.0
Planctomycetales	112	order	0	65	0	0.0
Gemmata	113	genus	0	34	0	0.0
Gemmata obscuriglobus	114	species	17998094	2385	1241	0.0
Planctomyces	118	genus	0	28	0	0.0
Rubinisphaera brasiliensis	119	species	0	6	0	0.0
Planctopirus limnophila	120	species	0	3	0	0.0
Gimesia maris	122	species	23261830	503	189	0.0
Pirellula	123	genus	0	1	0	0.0
Planctomycetaceae	126	family	0	32	0	0.0
Isosphaera	127	genus	0	2	0	0.0
Isosphaera pallida	128	species	0	8	0	0.0
Methylocystis	133	genus	0	182	2	0.0
Methylocystis parvus	134	species	4529043	810	337	0.0
Spirochaetales	136	order	0	39	0	0.0
Spirochaetaceae	137	family	0	12	0	0.0
Borrelia	138	genus	0	11	1	0.0
Borreliella burgdorferi	139	species	24312222	65	19	0.0
Borrelia hermsii	140	species	3525460	27	22	0.0
Borrelia parkeri	141	species	1599772	31	12	0.0
Borrelia turicatae	142	species	4493576	24	2	0.0
Borrelia anserina	143	species	1054469	17	0	0.0
Borrelia coriaceae	144	species	1787333	42	32	0.0
Spirochaeta thermophila	154	species	0	11	0	0.0
Treponema	157	genus	0	39	10	0.0
Treponema denticola	158	species	39148188	542	128	0.0
Brachyspira hyodysenteriae	159	species	21589846	397	154	0.0
Treponema pallidum	160	species	0	31	0	0.0
Treponema phagedenis	162	species	26340967	387	78	1.60293e-05
Treponema bryantii	163	species	3516600	70	36	0.0
Treponema saccharophilum	165	species	3459320	96	70	0.0
Treponema succinifaciens	167	species	0	1	0	0.0
Leptospiraceae	170	family	0	3	0	0.0
Leptospira	171	genus	0	10	3	0.0
Leptospira biflexa	172	species	0	26	0	0.0
Leptospira interrogans	173	species	123051212	272	108	0.0
Leptospira borgpetersenii	174	species	66750464	162	63	0.0
Leptospira interrogans serovar Hardjo	176	leaf	4742398	1	0	0.0
Leptospirillum	179	genus	0	1	0	0.0
Leptospirillum ferrooxidans	180	species	0	1	0	0.0
Aquaspirillum	187	genus	0	4	0	0.0
Azospirillum	191	genus	0	1302	197	0.0
Azospirillum brasilense	192	species	42849090	6192	733	0.0
Azospirillum lipoferum	193	species	0	55	0	0.0
Campylobacter	194	genus	0	97	48	0.0
Campylobacter coli	195	species	144738142	459	106	0.0
Campylobacter fetus	196	species	13696549	200	79	0.0
Campylobacter jejuni	197	species	658379475	564	189	0.0
Campylobacter hyointestinalis	198	species	1753385	89	15	0.0
Campylobacter concisus	199	species	29170988	1254	328	0.0
Campylobacter curvus	200	species	5921091	142	0	0.0
Campylobacter lari	201	species	42548854	674	150	0.0
Campylobacter mucosalis	202	species	1773478	215	34	0.000467227
Campylobacter rectus	203	species	5143480	134	0	0.0
Campylobacter showae	204	species	4258467	127	72	0.0
Campylobacter sputorum	206	species	0	25	0	0.0
Helicobacter	209	genus	0	13	0	0.0
Helicobacter pylori	210	species	488641313	1283	448	0.0
Helicobacter cinaedi	213	species	19421675	174	57	0.0
Helicobacter felis	214	species	0	2	0	0.0
Helicobacter mustelae	217	species	1576607	71	0	0.0
Achromobacter	222	genus	0	986	79	0.0
Alteromonas	226	genus	0	73	3	0.0
Pseudoalteromonas carrageenovora	227	species	4597803	110	36	0.0
Brucella	234	genus	0	486	200	0.0
Brucella abortus	235	species	229795308	12	0	0.0
Flavobacterium	237	genus	0	387	107	0.0
Elizabethkingia meningoseptica	238	species	27451532	769	42	0.0
Flavobacterium sp.	239	species	2753136	128	91	0.0
Chryseobacterium balustinum	246	species	4974086	191	50	0.0
Empedobacter brevis	247	species	7431270	276	47	0.0
Chryseobacterium gleum	250	species	5606922	174	54	0.0
Chryseobacterium indologenes	253	species	55311915	1248	245	0.0
Chryseobacterium indoltheticum	254	species	12892241	701	261	0.0
Myroides odoratus	256	species	12653952	447	141	0.0
Sphingobacterium spiritivorum	258	species	20685717	855	203	0.0
Sphingobacterium thalpophilum	259	species	23274145	1339	291	0.0
Francisella	262	genus	0	64	5	0.0
Francisella tularensis	263	species	28312821	116	60	0.0
Francisella tularensis subsp. novicida	264	subspecies	7888826	41	18	0.0
Paracoccus	265	genus	0	669	13	0.0
Paracoccus denitrificans	266	species	20794901	1904	92	0.0
Thermus	270	genus	0	61	13	0.0
Thermus aquaticus	271	species	0	6	0	0.0
Thermus thermophilus	274	species	60521242	716	141	0.0
Meiothermus ruber	277	species	0	11	0	0.0
Xanthobacter	279	genus	0	55	0	0.0
Comamonas	283	genus	0	329	15	0.0
Comamonas testosteroni	285	species	41357446	1913	492	0.0
Pseudomonas	286	genus	0	10987	3884	0.0
Pseudomonas aeruginosa	287	species	6124531475	6260	1249	3.51073e-08
Pseudoalteromonas atlantica	288	species	3669595	79	16	0.0
[Pseudomonas] carboxydohydrogena	290	species	3271440	699	371	0.0
Burkholderia cepacia	292	species	159454479	5286	1106	0.0
Brevundimonas diminuta	293	species	17453973	3993	785	0.0
Pseudomonas fluorescens	294	species	135120295	3002	721	0.0
Pseudomonas fragi	296	species	30797803	847	101	0.0
Hydrogenophilus thermoluteolus	297	species	2288780	143	84	0.0
Pseudomonas marginalis	298	species	28115681	854	144	0.0
Ectopseudomonas mendocina	300	species	20627476	1280	269	0.0
Ectopseudomonas oleovorans	301	species	9232695	501	91	0.0
Pseudomonas putida	303	species	440790802	5256	1154	0.0
Ralstonia solanacearum	305	species	149303865	3706	444	0.0
Stutzerimonas stutzeri	316	species	134234018	4802	1138	1.5951e-06
Pseudomonas syringae	317	species	78178356	1740	296	8.81918e-05
Pseudomonas savastanoi pv. phaseolicola	319	leaf	6085631	32	0	0.0
Pseudomonas syringae pv. syringae	321	leaf	36483072	310	80	1.24025e-05
Pseudomonas amygdali pv. tabaci	322	leaf	6299574	54	4	0.0
Pseudomonas syringae pv. tomato	323	leaf	25656674	192	0	0.0
Ralstonia pickettii	329	species	10187675	941	216	0.0
Pseudomonas chlororaphis subsp. chlororaphis	333	subspecies	13616270	52	0	0.0
Burkholderia glumae	337	species	346659127	3460	922	0.0
Xanthomonas	338	genus	0	3526	1026	0.0
Xanthomonas campestris	339	species	76348720	1722	450	0.0
Xanthomonas campestris pv. campestris	340	leaf	548143478	359	23	0.0
Xanthomonas translucens	343	species	37134451	1175	237	0.0
Xanthomonas citri	346	species	31534264	910	186	0.0
Xanthomonas oryzae	347	species	138705971	911	381	0.0
Azotobacter	352	genus	0	105	0	0.0
Azotobacter chroococcum	353	species	10098779	1067	116	0.0
Azotobacter vinelandii	354	species	5617899	601	27	0.0
Hyphomicrobiales	356	order	0	4120	86	0.0
Agrobacterium	357	genus	0	471	13	0.0
Agrobacterium tumefaciens	358	species	328402725	5139	1056	1.30399e-06
