run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
DRR541280	SAMD00759919	DRX525063	PRJDB17730			ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541280/DRR541280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541280/DRR541280_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR541/DRR541280/DRR541280	
DRR541283	SAMD00759921	DRX525066	PRJDB17730			ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541283/DRR541283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541283/DRR541283_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR541/DRR541283/DRR541283	
DRR541287	SAMD00759923	DRX525070	PRJDB17730			ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541287/DRR541287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541287/DRR541287_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR541/DRR541287/DRR541287	
DRR541289	SAMD00759925	DRX525072	PRJDB17730			ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541289/DRR541289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541289/DRR541289_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR541/DRR541289/DRR541289	
DRR541290	SAMD00759925	DRX525073	PRJDB17730			ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541290/DRR541290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541290/DRR541290_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR541/DRR541290/DRR541290	
DRR541291	SAMD00759926	DRX525074	PRJDB17730			ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541291/DRR541291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541291/DRR541291_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR541/DRR541291/DRR541291	
DRR541282	SAMD00759920	DRX525065	PRJDB17730			ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541282/DRR541282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541282/DRR541282_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR541/DRR541282/DRR541282	
DRR541279	SAMD00759918	DRX525062	PRJDB17730			ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541279/DRR541279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541279/DRR541279_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR541/DRR541279/DRR541279	
DRR541281	SAMD00759920	DRX525064	PRJDB17730			ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541281/DRR541281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541281/DRR541281_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR541/DRR541281/DRR541281	
DRR541284	SAMD00759921	DRX525067	PRJDB17730			ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541284/DRR541284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541284/DRR541284_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR541/DRR541284/DRR541284	
DRR541285	SAMD00759922	DRX525068	PRJDB17730			ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541285/DRR541285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541285/DRR541285_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR541/DRR541285/DRR541285	
DRR541286	SAMD00759922	DRX525069	PRJDB17730			ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541286/DRR541286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541286/DRR541286_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR541/DRR541286/DRR541286	
DRR541288	SAMD00759924	DRX525071	PRJDB17730			ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541288/DRR541288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR541/DRR541288/DRR541288_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR541/DRR541288/DRR541288	
SRR1692419	SAMN03247209	SRX795188	PRJNA271471	9644	Ursus arctos	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/009/SRR1692419/SRR1692419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/009/SRR1692419/SRR1692419_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/009/SRR1692419	
SRR1693624	SAMN03252406	SRX796430	PRJNA271471	9644	Ursus arctos	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/004/SRR1693624/SRR1693624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/004/SRR1693624/SRR1693624_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/004/SRR1693624	
SRR1693654	SAMN03252407	SRX796442	PRJNA271471	9644	Ursus arctos	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/004/SRR1693654/SRR1693654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/004/SRR1693654/SRR1693654_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/004/SRR1693654	
DRR276776	SAMD00282813	DRX266360	PRJDB11280	9644	Ursus arctos	ftp.sra.ebi.ac.uk/vol1/fastq/DRR276/DRR276776/DRR276776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR276/DRR276776/DRR276776_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR276/DRR276776	
DRR276775	SAMD00282812	DRX266359	PRJDB11280	9644	Ursus arctos	ftp.sra.ebi.ac.uk/vol1/fastq/DRR276/DRR276775/DRR276775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR276/DRR276775/DRR276775_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR276/DRR276775	
DRR276777	SAMD00282814	DRX266361	PRJDB11280	9644	Ursus arctos	ftp.sra.ebi.ac.uk/vol1/fastq/DRR276/DRR276777/DRR276777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR276/DRR276777/DRR276777_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR276/DRR276777	
DRR276779	SAMD00282816	DRX266363	PRJDB11280	9644	Ursus arctos	ftp.sra.ebi.ac.uk/vol1/fastq/DRR276/DRR276779/DRR276779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR276/DRR276779/DRR276779_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR276/DRR276779	
DRR276774	SAMD00282811	DRX266358	PRJDB11280	9644	Ursus arctos	ftp.sra.ebi.ac.uk/vol1/fastq/DRR276/DRR276774/DRR276774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR276/DRR276774/DRR276774_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR276/DRR276774	
DRR276778	SAMD00282815	DRX266362	PRJDB11280	9644	Ursus arctos	ftp.sra.ebi.ac.uk/vol1/fastq/DRR276/DRR276778/DRR276778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR276/DRR276778/DRR276778_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR276/DRR276778	
