Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
191Y	191Y	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/ERR2678638_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/ERR2678638_2.fastq.gz	NA
Ge	Ge	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/ERR2678639_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/ERR2678639_2.fastq.gz	NA
Russia	Russia	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/ERR2678640_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/ERR2678640_2.fastq.gz	NA
Slovakia1	Slovakia1	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878338_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878338_2.fastq.gz	NA
SLK2	SLK2	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878339_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878339_2.fastq.gz	NA
Spain1 	Spain1 	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878340_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878340_2.fastq.gz	NA
Slovenia1 	Slovenia1 	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878341_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878341_2.fastq.gz	NA
APN4	APN4	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878342_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878342_2.fastq.gz	NA
APN3 	APN3 	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878343_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878343_2.fastq.gz	NA
APN6	APN6	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878344_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878344_2.fastq.gz	NA
APN5	APN5	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878345_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878345_2.fastq.gz	NA
Slovenia1	Slovenia1	2	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878346_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878346_2.fastq.gz	NA
Spain1 	Spain1 	2	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878347_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878347_2.fastq.gz	NA
Italy1	Italy1	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878348_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878348_2.fastq.gz	NA
SLK2	SLK2	2	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878349_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878349_2.fastq.gz	NA
APN1	APN1	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878350_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878350_2.fastq.gz	NA
Greece1 	Greece1 	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878351_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878351_2.fastq.gz	NA
Slovakia1	Slovakia1	2	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878353_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878353_2.fastq.gz	NA
Greece1 	Greece1 	2	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878354_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878354_2.fastq.gz	NA
GRE2	GRE2	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878355_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878355_2.fastq.gz	NA
APN6	APN6	2	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878356_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878356_2.fastq.gz	NA
APN5	APN5	2	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878357_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878357_2.fastq.gz	NA
APN4	APN4	2	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878358_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878358_2.fastq.gz	NA
APN3 	APN3 	2	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878359_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878359_2.fastq.gz	NA
APN2	APN2	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878360_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878360_2.fastq.gz	NA
APN1	APN1	2	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878361_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5878361_2.fastq.gz	NA
GRE2	GRE2	2	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5896131_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR5896131_2.fastq.gz	NA
Finland	Finland	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR935592_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR935592_2.fastq.gz	NA
SouthSweden	SouthSweden	1	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR935594_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR935594_2.fastq.gz	NA
Finland	Finland	2	2	PE	Ursus arctos	double	none	/gpfs/data/bergstrom/harry/bears/other_raw/SRR935595_1.fastq.gz	/gpfs/data/bergstrom/harry/bears/other_raw/SRR935595_2.fastq.gz	NA
