accession	sample_title	breed	scientific_name	sex	center_name
SAMEA5064546	Nordic Red cattle	Nordic Red cattle	Bos taurus	male	ETH ZURICH
SAMEA5064547	Nordic Red cattle	Nordic Red cattle	Bos taurus	male	ETH ZURICH
SAMN05803884	Bos Taurus Sample		Bos taurus	female	"Department of Economic Development, Jobs, Transport and Resources"
SAMN05803885	Bos Taurus Sample		Bos taurus	female	"Department of Economic Development, Jobs, Transport and Resources"
SAMN05803886	Bos Taurus Sample		Bos taurus	male	"Department of Economic Development, Jobs, Transport and Resources"
SAMN05803887	Bos Taurus Sample		Bos taurus	male	"Department of Economic Development, Jobs, Transport and Resources"
SAMN02142985	BANDOLIER ESTON DURNESS 42B - Angus	Angus	Bos taurus		"Livestock Gentec, University of Alberta"
SAMN02142982	Q A S TRAVELER 23-4 - angus	Angus	Bos taurus		"Livestock Gentec, University of Alberta"
SAMN02142986	NICHOLS LANDMARK L56 - Angus	Angus	Bos taurus		"Livestock Gentec, University of Alberta"
SAMN02842714	BARDOLENE OF PEAK DOT 204R - Angus	Angus	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMN02843152	ANGUS ACRES LANCER 60U - Angus	Angus	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMN01915341	Stalburn Garnish 3G - Angus	Angus	Bos taurus		"Livestock Gentec, University of Alberta"
SAMN01915339	Stalburn Justice 35J - Angus	Angus	Bos taurus		"Livestock Gentec, University of Alberta"
SAMN02843141	STEVENSON EXPEDITION 859K - Angus	Angus	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMN02843079	1067384	Angus	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMN02843101	1067440	Angus	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMN02142989	RED BAR-E-L APPROVAL 4L - Angus	Angus	Bos taurus		"Livestock Gentec, University of Alberta"
SAMN02843142	YOUNG DALE KRUGERRAND 3L  - Angus	Angus	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMN02843143	STEVENSON BRUNO 6371 - Angus	Angus	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMN02841106	1121114	Angus	Bos taurus	male	"Livestock Gentec, University of Alberta"
SAMN02142988	TC FREEDOM 104 - Angus	Angus	Bos taurus		"Livestock Gentec, University of Alberta"
