accession	breed	scientific_name
SAMN02142985	Angus	Bos taurus
SAMN02142982	Angus	Bos taurus
SAMN02142986	Angus	Bos taurus
SAMN02842714	Angus	Bos taurus
SAMN02843152	Angus	Bos taurus
SAMN01915341	Angus	Bos taurus
SAMN01915339	Angus	Bos taurus
SAMN02843141	Angus	Bos taurus
SAMN02843079	Angus	Bos taurus
SAMN02843101	Angus	Bos taurus
SAMN02142989	Angus	Bos taurus
SAMN02843142	Angus	Bos taurus
SAMN02843143	Angus	Bos taurus
SAMN02841106	Angus	Bos taurus
SAMN02142988	Angus	Bos taurus
SAMN01915337	Angus	Bos taurus
SAMN02839607	Angus	Bos taurus
SAMN02843131	Angus	Bos taurus
SAMN02142990	Angus	Bos taurus
SAMN02941168	Angus	Bos taurus
SAMN02841116	Angus	Bos taurus
SAMN02843144	Angus	Bos taurus
SAMN02843145	Angus	Bos taurus
SAMN02842717	Angus	Bos taurus
SAMN02842718	Angus	Bos taurus
SAMN02843054	Angus	Bos taurus
SAMN02843055	Angus	Bos taurus
SAMN02142987	Angus	Bos taurus
SAMN02142983	Angus	Bos taurus
SAMN02142984	Angus	Bos taurus
SAMN02941169	Angus	Bos taurus
SAMN01163917	Angus	Bos taurus
SAMN04978239	Angus	Bos taurus
SAMN04978240	Angus	Bos taurus
SAMN04978241	Angus	Bos taurus
SAMEA4560535	Angus	Bos taurus
SAMEA4560531	Angus	Bos taurus
SAMN04545540	Ankole	Bos taurus
SAMN045455Scottish Highland41	Ankole	Bos taurus
SAMN04545542	Ankole	Bos taurus
SAMN04545543	Ankole	Bos taurus
SAMN04545544	Ankole	Bos taurus
SAMN04545545	Ankole	Bos taurus
SAMN04545546	Ankole	Bos taurus
SAMN04545547	Ankole	Bos taurus
SAMN04545548	Ankole	Bos taurus
SAMN04545549	Ankole	Bos taurus
SAMEA3706827	Aosta Red Pied	Bos taurus
SAMEA3706828	Aosta Red Pied	Bos taurus
SAMEA3706829	Aosta Red Pied	Bos taurus
SAMN04028906	Auroch	Bos primigenius
SAMEA5159851	Australian Lowline	Bos taurus
SAMEA5415491	Belgium Blue	Bos taurus
SAMEA4051548	Belted Galloway	Bos taurus
SAMN01915355	Blonde d'Aquitaine	Bos taurus
SAMEA2065753	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065739	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065606	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065754	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065605	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065752	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065747	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065743	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065741	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065936	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065748	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065749	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065937	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065745	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065736	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065746	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065750	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065742	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065751	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065737	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
