new_id	ID1	ID2	species	location	comments	GROUPA	HIGHLEVEL	Use
97_KB	97	KB	Wolf	Georgia, Caucasus		WolfGeorgiaHD	WolfCaucasus	YES
98_KTa	98	KTa	Wolf	Georgia, Caucasus		WolfGeorgiaHD	WolfCaucasus	YES
99_W01	99	W01	Wolf	Georgia, Caucasus		WolfGeorgiaHD	WolfCaucasus	YES
100_W04	100	W04	Wolf	Georgia, Caucasus		WolfGeorgiaHD	WolfCaucasus	YES
101_W05	101	W05	Wolf	Georgia, Caucasus		WolfGeorgiaHD	WolfCaucasus	YES
102_W07	102	W07	Wolf	Georgia, Caucasus		WolfGeorgiaHD	WolfCaucasus	YES
103_W11	103	W11	Wolf	Georgia, Caucasus		WolfGeorgiaHD	WolfCaucasus	YES
104_W10	104	W10	Wolf	Georgia, Caucasus		WolfGeorgiaHD	WolfCaucasus	YES
105_WA	105	WA	Wolf	Georgia, Caucasus		WolfGeorgiaHD	WolfCaucasus	YES
106_WGJ	106	WGJ	Wolf	Georgia, Caucasus		WolfGeorgiaHD	WolfCaucasus	YES
107_WKG	107	WKG	Wolf	Georgia, Caucasus		WolfGeorgiaHD	WolfCaucasus	YES
108_WUN	108	WUN	Wolf	Georgia, Caucasus		WolfGeorgiaHD	WolfCaucasus	YES
109_8152	109	8152	Wolf	Mongolia		WolfMongoliaHD	WolfEast	YES
110_8154	110	8154	Wolf	Mongolia		WolfMongoliaHD	WolfEast	YES
111_8155	111	8155	Wolf	Mongolia		WolfMongoliaHD	WolfEast	YES
112_8156	112	8156	Dog	Mongolia	free-ranging, sampled as wolf	DogMongoliaHD	DogEast	YES
113_8159	113	8159	Wolf	Mongolia		WolfMongoliaHD	WolfEast	YES
114_8160	114	8160	Wolf	Mongolia		WolfMongoliaHD	WolfEast	YES
115_8161	115	8161	Wolf	Mongolia		WolfMongoliaHD	WolfEast	YES
116_8162	116	8162	Wolf	Mongolia		WolfMongoliaHD	WolfEast	YES
117_8163	117	8163	Wolf	Mongolia		WolfMongoliaHD	WolfEast	YES
118_8164	118	8164	Wolf	Mongolia		WolfMongoliaHD	WolfEast	YES
119_8166	119	8166	Wolf	Mongolia		WolfMongoliaHD	WolfEast	YES
120_8167	120	8167	Wolf	Mongolia		WolfMongoliaHD	WolfEast	YES
121_8168	121	8168	Wolf	Mongolia		WolfMongoliaHD	WolfEast	YES
