Sample	PC1	PC2	Population	Type
98_KTa	-1.65382064732519	50.678634086062	Georgia	Reference
99_W01	-3.17165759356493	48.8534563484014	Georgia	Reference
100_W04	-1.20660221119394	42.9955156823244	Georgia	Reference
101_W05	-1.00345368220877	46.1597334319162	Georgia	Reference
102_W07	-1.07555497379045	53.9115073017928	Georgia	Reference
103_W11	-2.44647390590173	51.4800794748373	Georgia	Reference
104_W10	-0.934545844258462	38.7675489334007	Georgia	Reference
105_WA	-2.16986402437928	60.9871389805784	Georgia	Reference
106_WGJ	-0.550966312584265	48.0507004748008	Georgia	Reference
107_WKG	-2.20178091051166	61.1248293071338	Georgia	Reference
108_WUN	-0.78499512965965	45.5107339253865	Georgia	Reference
109_8152	40.7493041923239	-3.08830635529791	Mongolia	Reference
110_8154	31.7949954284835	1.90211215495166	Mongolia	Reference
111_8155	42.06176102229	-4.11355255432768	Mongolia	Reference
113_8159	39.7062305688379	-3.78702228428341	Mongolia	Reference
115_8161	41.0630875666728	-1.76184760018472	Mongolia	Reference
118_8164	41.8205141578496	-4.65793769433157	Mongolia	Reference
119_8166	46.1289267731547	-4.49861737770848	Mongolia	Reference
120_8167	46.16922404761	-4.48989361699602	Mongolia	Reference
121_8168	42.3230532682064	-3.73657799383797	Mongolia	Reference
123_8170	40.2892827735351	-2.43782370545846	Mongolia	Reference
124_8172	38.1675237374313	-1.66053090381065	Mongolia	Reference
125_8174	30.8652433518123	-1.40285456649983	Mongolia	Reference
127_8176	37.8287024397231	-2.21641589409388	Mongolia	Reference
128_8177	39.9599631159319	-3.14937902861928	Mongolia	Reference
130_8181	39.7668594413968	-2.33634804499573	Mongolia	Reference
134_5282	0.0506227892252794	71.5227757844782	Azerbaijan	Reference
135_5283	-2.29810947009694	78.5657458729784	Azerbaijan	Reference
136_5285	-2.43822757680099	51.2624174455778	Azerbaijan	Reference
137_5286	-1.52443632350621	56.624447450654	Azerbaijan	Reference
138_5289	-0.451497905395895	85.0553473160437	Azerbaijan	Reference
139_5324	-2.73346222632374	55.2731580384837	Azerbaijan	Reference
140_5325	-2.27790707930781	78.5527938551349	Azerbaijan	Reference
141_5326	-0.620160906214004	70.306393778793	Azerbaijan	Reference
142_5328	-0.863766112421423	68.1699984679633	Azerbaijan	Reference
143_5329	-1.57180951526262	58.2283576045324	Azerbaijan	Reference
144_5330	-1.22494173980189	77.7219815316509	Azerbaijan	Reference
145_5331	-1.20914179802975	61.4593120014348	Azerbaijan	Reference
146_5332	0.187825620454527	53.582793607839	Azerbaijan	Reference
147_5333	-0.460012849402752	85.1146155900859	Azerbaijan	Reference
148_5334	-1.6261948968485	64.4834710056476	Azerbaijan	Reference
149_6874	60.8559459652278	-18.6971662875501	Yakutia	Reference
150_6875	58.4311868472085	-19.334565612759	Yakutia	Reference
151_6876	58.3360046707711	-18.4907355061485	Yakutia	Reference
152_6878	59.9360934609112	-19.1205930037675	Yakutia	Reference
153_6881	56.0376558062739	-18.2262829685935	Yakutia	Reference
154_6882	54.5898285375041	-14.3697354836368	Yakutia	Reference
155_6884	57.5677152095273	-20.1120634939905	Yakutia	Reference
156_6885	57.041131269247	-19.4149875067934	Yakutia	Reference
157_6889	56.410356565745	-19.1581243720141	Yakutia	Reference
158_6892	59.1569824405125	-19.1382485963954	Yakutia	Reference
159_6893	58.154347878597	-19.9403390249705	Yakutia	Reference
160_6895	58.898927463315	-17.6387155324285	Yakutia	Reference
161_6896	59.8327116286199	-20.6650407015943	Yakutia	Reference
162_6897	57.6333849824115	-19.9826616301076	Yakutia	Reference
163_6910	57.4373445961227	-19.6589631588357	Yakutia	Reference
164_6926	58.5017817520184	-19.212883836827	Yakutia	Reference
165_6927	56.399484464286	-19.9100142304984	Yakutia	Reference
166_6928	57.0349252609081	-19.26692488612	Yakutia	Reference
167_6932	60.3842601310029	-19.5135699482211	Yakutia	Reference
168_6933	56.8336030969032	-19.9774358077916	Yakutia	Reference
169_6935	56.5134297977939	-17.0897041956105	Yakutia	Reference
170_6937	60.3085422663029	-21.9040680741118	Yakutia	Reference
171_6940	54.0884357358506	-16.0021395857193	Yakutia	Reference
172_6941	61.0560649519161	-21.8114950228372	Yakutia	Reference
173_6944	58.4355470492971	-18.0418286845597	Yakutia	Reference
174_6945	57.3508603203032	-16.5665398228291	Yakutia	Reference
175_6951	63.236026089091	-21.870837352599	Yakutia	Reference
176_8893	54.4932462566903	-16.533552196594	Yakutia	Reference
177_8894	58.2950813195008	-18.2332252340914	Yakutia	Reference
178_8896	60.2731235171903	-21.4426996616211	Yakutia	Reference
179_8906	56.6529066018812	-16.4162859506285	Yakutia	Reference
180_8907	59.0984512603501	-19.1911290727029	Yakutia	Reference
181_8909	61.2217122342882	-21.3194916762129	Yakutia	Reference
