#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
bear_CM057520.1	1	121185270	677050	5974878	4.93037	0.115212	38.9	1.41
bear_CM057521.1	1	30884109	48460	507102	1.64195	0.0320467	38.8	0.509
bear_JALAAU020000001.1	1	109684021	743862	6349816	5.78919	0.138773	38.9	1.47
bear_JALAAU020000010.1	1	80592695	536729	4549666	5.64526	0.135512	39	1.42
bear_JALAAU020000100.1	1	109353	56	664	0.607208	0.0102695	38.5	0
bear_JALAAU020000101.1	1	106065	1	19	0.0179135	0.000179135	40	0
bear_JALAAU020000102.1	1	104563	485	4557	4.35814	0.0927575	38.9	0.229
bear_JALAAU020000103.1	1	103861	650	4884	4.70244	0.128441	39.2	0.183
bear_JALAAU020000104.1	1	103710	2173	17777	17.1411	0.457391	39.1	3.42
bear_JALAAU020000105.1	1	101563	28	359	0.353475	0.00540551	38.3	0
bear_JALAAU020000107.1	1	99161	642	4471	4.50883	0.127288	38.9	1.1
bear_JALAAU020000108.1	1	98021	1	19	0.0193836	0.000193836	40	0
bear_JALAAU020000109.1	1	97343	6	97	0.0996476	0.00119166	40	0
bear_JALAAU020000011.1	1	75848702	467225	3949542	5.20713	0.126108	39	1.4
bear_JALAAU020000110.1	1	97305	348	3816	3.92169	0.0786188	38.8	0.374
bear_JALAAU020000111.1	1	96854	1327	13241	13.6711	0.295868	38.7	2.61
bear_JALAAU020000112.1	1	95621	2046	17345	18.1393	2.68941	39.2	0.27
bear_JALAAU020000113.1	1	92258	14	304	0.329511	0.00329511	38.4	0
bear_JALAAU020000114.1	1	90062	2	19	0.0210966	0.000421932	40	0
bear_JALAAU020000115.1	1	89074	12	179	0.200957	0.00285156	35.7	0
bear_JALAAU020000116.1	1	88188	17	287	0.325441	0.00415022	36.3	0.353
bear_JALAAU020000117.1	1	87732	185	1776	2.02435	0.0413304	39.7	0
bear_JALAAU020000118.1	1	87276	376	4636	5.31188	0.0851093	39.4	0
bear_JALAAU020000119.1	1	87275	1	19	0.0217703	0.000217703	40	0
bear_JALAAU020000012.1	1	73797744	488955	4213798	5.70993	0.135503	38.9	1.5
bear_JALAAU020000120.1	1	84924	185	1780	2.09599	0.0425086	38.9	0
bear_JALAAU020000121.1	1	84100	44	469	0.557669	0.0125089	26.8	1.61
bear_JALAAU020000122.1	1	83516	61	1068	1.2788	0.0146559	38.4	0
bear_JALAAU020000123.1	1	81734	1091	8311	10.1684	0.270744	38	1.8
bear_JALAAU020000124.1	1	81183	17	267	0.328887	0.00412648	35.1	0.706
bear_JALAAU020000125.1	1	81085	56	924	1.13954	0.013603	39.3	0
bear_JALAAU020000126.1	1	81080	785	7258	8.95165	0.230044	38.8	3.3
bear_JALAAU020000127.1	1	80790	208	1713	2.12031	0.050885	39.1	0.938
bear_JALAAU020000129.1	1	79402	22	427	0.53777	0.00652377	36	1.27
bear_JALAAU020000013.1	1	71981430	479177	4099825	5.69567	0.135802	39	1.54
bear_JALAAU020000130.1	1	78943	31	494	0.625768	0.00779043	37	1.26
bear_JALAAU020000131.1	1	78387	2	41	0.0523046	0.000523046	40	3.5
bear_JALAAU020000132.1	1	78235	8	135	0.172557	0.00196843	39.7	0
bear_JALAAU020000133.1	1	77661	21	310	0.399171	0.0052021	39.6	0
bear_JALAAU020000135.1	1	76090	304	1919	2.52201	0.0802208	39.5	1.86
bear_JALAAU020000136.1	1	75260	230	3035	4.03269	0.0611347	39	0.235
bear_JALAAU020000137.1	1	74076	1131	11607	15.669	0.299206	39.1	1.4
bear_JALAAU020000138.1	1	74064	152	2103	2.83944	0.0409106	38.9	0.0263
bear_JALAAU020000014.1	1	71886606	586627	5249303	7.3022	0.168725	38.8	1.79
bear_JALAAU020000140.1	1	73358	156	2006	2.73453	0.0556449	39.2	0.923
bear_JALAAU020000141.1	1	73154	1	19	0.0259726	0.000259726	40	0
bear_JALAAU020000142.1	1	72558	3	57	0.0785578	0.000785578	40	0
bear_JALAAU020000143.1	1	71246	75	895	1.25621	0.0205064	38.7	0
bear_JALAAU020000144.1	1	70971	170	1871	2.63629	0.0477237	39.1	0
bear_JALAAU020000145.1	1	70332	23	296	0.420861	0.00632713	39.9	1.43
bear_JALAAU020000146.1	1	69764	3	62	0.0888711	0.000888711	38.5	0
bear_JALAAU020000147.1	1	67459	293	3054	4.52719	0.0997347	38.5	5.36
bear_JALAAU020000148.1	1	67413	1	20	0.0296679	0.000296679	40	0
bear_JALAAU020000015.1	1	64761984	441090	3853396	5.95009	0.139805	38.9	1.43
bear_JALAAU020000150.1	1	65823	853	6484	9.85066	0.250809	38.9	0.975
bear_JALAAU020000151.1	1	65697	17	251	0.382057	0.0052666	36.2	2.82
bear_JALAAU020000152.1	1	64873	25	428	0.659751	0.00789234	36.8	2.32
bear_JALAAU020000153.1	1	64143	1278	11664	18.1844	2.47182	39.2	0.0477
bear_JALAAU020000154.1	1	63994	7	152	0.237522	0.00237522	39.4	0
bear_JALAAU020000155.1	1	63894	35	416	0.651078	0.0108461	37.7	0.686
bear_JALAAU020000156.1	1	63426	177	1739	2.74178	0.0623088	39.4	0.582
bear_JALAAU020000157.1	1	63118	1	20	0.0316867	0.000316867	40	0
bear_JALAAU020000158.1	1	63082	25	418	0.66263	0.00786278	34.7	0.24
bear_JALAAU020000159.1	1	63069	24	373	0.591416	0.00738873	36.5	0
bear_JALAAU020000016.1	1	64080236	387780	3560470	5.55627	0.124596	38.8	1.61
bear_JALAAU020000160.1	1	62881	421	9156	14.5608	0.839125	38.1	4.96
bear_JALAAU020000161.1	1	62862	156	1763	2.80456	0.0508256	37.9	0.256
bear_JALAAU020000162.1	1	62556	41	447	0.71456	0.0131242	36.5	0.585
bear_JALAAU020000163.1	1	62239	161	2245	3.60706	0.0515432	38.8	0
bear_JALAAU020000164.1	1	61562	3	57	0.0925896	0.000925896	38.5	0
bear_JALAAU020000165.1	1	60017	38	672	1.11968	0.0124798	39.1	0
bear_JALAAU020000166.1	1	59359	18	343	0.57784	0.00611533	36.6	0
bear_JALAAU020000167.1	1	58821	16	217	0.368916	0.00535523	37.2	0.938
bear_JALAAU020000168.1	1	58817	31	450	0.765085	0.0103031	38.8	0
bear_JALAAU020000169.1	1	57977	105	1174	2.02494	0.036135	38.9	0
bear_JALAAU020000017.1	1	61112326	410115	3592305	5.8782	0.137457	38.9	1.56
bear_JALAAU020000170.1	1	57573	116	1754	3.04657	0.0415299	38.1	0.00862
bear_JALAAU020000171.1	1	57457	19	215	0.374193	0.00647441	39.5	0
bear_JALAAU020000172.1	1	57077	1253	12115	21.2257	2.6801	39.3	0.0279
bear_JALAAU020000173.1	1	56693	21	490	0.864304	0.00970137	39	0
bear_JALAAU020000174.1	1	56180	13	259	0.461018	0.00461018	32.4	0
bear_JALAAU020000175.1	1	56039	37	565	1.00823	0.0131694	39.5	1.14
bear_JALAAU020000176.1	1	55288	189	2004	3.62466	0.0690566	39	0.243
bear_JALAAU020000177.1	1	54573	9	179	0.328001	0.00377476	37.6	0
bear_JALAAU020000178.1	1	54014	19	359	0.664643	0.00694264	37	0
bear_JALAAU020000179.1	1	52877	1342	11533	21.811	3.19303	39.2	0
bear_JALAAU020000018.1	1	60946776	445931	3930277	6.4487	0.150351	38.8	1.6
bear_JALAAU020000180.1	1	52383	19	257	0.490617	0.00719699	38.1	0
bear_JALAAU020000181.1	1	52354	1	20	0.0382015	0.000382015	17.4	0
bear_JALAAU020000182.1	1	51873	6	122	0.23519	0.0023519	39.5	0
bear_JALAAU020000183.1	1	51731	121	1133	2.19018	0.0458333	39.4	0
bear_JALAAU020000184.1	1	50962	285	1204	2.36254	0.112123	39.4	0.211
bear_JALAAU020000186.1	1	50255	2	40	0.0795941	0.000795941	40	0
bear_JALAAU020000188.1	1	49134	1487	11578	23.5641	3.83329	39.3	0.0336
bear_JALAAU020000189.1	1	48962	42	665	1.3582	0.0166864	39.7	0
bear_JALAAU020000019.1	1	58187918	471089	4271620	7.34108	0.168691	38.8	1.82
bear_JALAAU020000190.1	1	48951	72	1208	2.46777	0.0313987	38.8	0.472
bear_JALAAU020000191.1	1	48076	21	425	0.884017	0.0146227	38.7	0
bear_JALAAU020000192.1	1	47618	15	463	0.972321	0.0110042	37.3	0
bear_JALAAU020000193.1	1	47086	1086	9440	20.0484	2.89447	39.3	0.00552
bear_JALAAU020000194.1	1	46959	11	197	0.419515	0.00462105	39.7	0.273
bear_JALAAU020000195.1	1	46867	15	216	0.460879	0.00612371	39.7	0
bear_JALAAU020000196.1	1	46687	665	6197	13.2735	1.74083	39.4	0.0767
bear_JALAAU020000197.1	1	46556	89	1369	2.94054	0.0410259	38.8	0
bear_JALAAU020000198.1	1	46332	24	300	0.647501	0.0100578	38.5	0
bear_JALAAU020000199.1	1	45670	58	726	1.58966	0.0257499	38.5	0
bear_JALAAU020000002.1	1	104128533	800845	7097657	6.81625	0.15759	38.8	1.71
bear_JALAAU020000020.1	1	57817726	406950	3169390	5.48169	0.143298	38.4	1.36
bear_JALAAU020000200.1	1	45404	16	175	0.385429	0.00693771	39.6	0
bear_JALAAU020000201.1	1	43764	10	193	0.441002	0.00441002	36.2	0
bear_JALAAU020000202.1	1	43667	5	78	0.178625	0.00226716	39.7	4.8
bear_JALAAU020000203.1	1	43128	155	1820	4.22	0.0719718	38.4	0.987
bear_JALAAU020000204.1	1	42803	3	59	0.137841	0.00137841	39.7	2.67
bear_JALAAU020000205.1	1	42677	20	372	0.871664	0.0128875	38.4	0.2
bear_JALAAU020000206.1	1	42348	945	7772	18.3527	2.71165	39.4	0
bear_JALAAU020000207.1	1	41404	38	516	1.24626	0.018235	38.2	0.921
bear_JALAAU020000208.1	1	41311	15	277	0.670524	0.00716516	39.7	0
bear_JALAAU020000209.1	1	41290	13	180	0.435941	0.00629692	39.9	0
bear_JALAAU020000021.1	1	55690195	362621	3144022	5.64556	0.134416	38.8	1.5
bear_JALAAU020000210.1	1	41253	34	514	1.24597	0.0160231	37.2	0.382
bear_JALAAU020000211.1	1	41114	20	331	0.805079	0.00951014	37.4	0
bear_JALAAU020000212.1	1	40555	39	506	1.24769	0.0186907	37.6	0
bear_JALAAU020000213.1	1	40176	6	120	0.298686	0.00298686	38.1	3.17
bear_JALAAU020000214.1	1	40144	50	640	1.59426	0.0243872	38.8	0.74
bear_JALAAU020000215.1	1	39871	7	117	0.293446	0.003411	39.6	0
bear_JALAAU020000216.1	1	39812	85	994	2.49673	0.0430021	39.6	0
bear_JALAAU020000217.1	1	39687	55	1122	2.82712	0.0343437	38.4	0.127
bear_JALAAU020000218.1	1	39651	4	78	0.196716	0.00196716	39.6	0
bear_JALAAU020000219.1	1	39579	431	1998	5.04813	0.216453	39.3	0.0557
bear_JALAAU020000022.1	1	63106708	423728	3725205	5.90303	0.137064	38.9	1.56
bear_JALAAU020000221.1	1	39195	2	38	0.0969511	0.000969511	40	0
bear_JALAAU020000223.1	1	38867	98	1175	3.02313	0.0504284	38.9	0.122
bear_JALAAU020000224.1	1	38590	204	4805	12.4514	0.426665	37.2	0.681
bear_JALAAU020000225.1	1	38290	4	77	0.201097	0.00201097	39.6	0
bear_JALAAU020000226.1	1	38121	54	568	1.48999	0.0278324	39.9	2
bear_JALAAU020000227.1	1	38058	917	7323	19.2417	2.96955	39.2	0
bear_JALAAU020000228.1	1	37921	32	543	1.43192	0.016719	39.6	0
bear_JALAAU020000229.1	1	37707	12	242	0.641791	0.00641791	39.9	0
bear_JALAAU020000023.1	1	48502576	367909	3326821	6.85906	0.157456	38.8	1.73
bear_JALAAU020000230.1	1	37695	62	690	1.83048	0.0324712	38.7	0
bear_JALAAU020000231.1	1	37067	23	381	1.02787	0.0121941	38.4	1.22
bear_JALAAU020000232.1	1	36929	27	455	1.23209	0.0148664	29.8	0.37
bear_JALAAU020000233.1	1	36877	45	2056	5.57529	0.143667	34.9	1.16
bear_JALAAU020000234.1	1	36758	48	518	1.40922	0.0267425	38.9	0
bear_JALAAU020000235.1	1	36581	154	1014	2.77193	0.0902654	38.8	0
bear_JALAAU020000236.1	1	36055	4	65	0.18028	0.00249619	40	0
bear_JALAAU020000237.1	1	35786	38	768	2.14609	0.0371374	39.3	0
bear_JALAAU020000238.1	1	35772	1	25	0.0698871	0.000698871	40	0
bear_JALAAU020000239.1	1	34890	35	376	1.07767	0.0216394	31.6	1.14
bear_JALAAU020000024.1	1	46151079	502758	3593198	7.78573	0.223695	38.9	1.51
bear_JALAAU020000240.1	1	34852	710	6083	17.4538	2.45174	39.3	0
bear_JALAAU020000241.1	1	34834	725	5859	16.8198	2.60039	39.2	0
bear_JALAAU020000243.1	1	34337	12	154	0.448496	0.00678568	39.8	0
bear_JALAAU020000244.1	1	34309	18	324	0.944359	0.0105803	38.6	0.333
bear_JALAAU020000245.1	1	33886	180	1374	4.05477	0.103494	38.6	0.1
bear_JALAAU020000246.1	1	33785	23	338	1.00044	0.0148587	31.1	0.478
bear_JALAAU020000247.1	1	33635	80	653	1.94143	0.0581537	27.7	0.725
bear_JALAAU020000248.1	1	33391	89	1217	3.64469	0.0575005	30.5	1.1
bear_JALAAU020000249.1	1	33341	101	1236	3.70715	0.0596563	38.6	2.15
bear_JALAAU020000025.1	1	46104908	345104	3040861	6.59553	0.154142	38.8	1.68
bear_JALAAU020000250.1	1	32720	604	6323	19.3246	2.13221	39.1	0.00662
bear_JALAAU020000251.1	1	32693	1	20	0.0611752	0.000611752	40	3
bear_JALAAU020000252.1	1	32462	11	181	0.557575	0.00659232	39.5	1.09
bear_JALAAU020000253.1	1	32309	235	1250	3.86889	0.141168	39.5	0
bear_JALAAU020000254.1	1	32048	5	104	0.324513	0.00333874	36	0
bear_JALAAU020000255.1	1	32026	143	1644	5.13333	0.0888653	38.5	0.042
bear_JALAAU020000256.1	1	31577	18	312	0.988061	0.0114324	37.5	1.72
bear_JALAAU020000257.1	1	31423	25	339	1.07883	0.0159756	35.5	0.48
bear_JALAAU020000258.1	1	31168	201	1095	3.51322	0.129075	39.6	0.567
bear_JALAAU020000259.1	1	31000	132	782	2.52258	0.0825484	39	0.485
bear_JALAAU020000026.1	1	44501725	299073	2580196	5.79797	0.145734	38.4	1.62
bear_JALAAU020000260.1	1	30977	12	238	0.768312	0.00768312	37.2	0
