rname,startpos,endpos,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq
dog_chr1,1,122678785,2874906,22025212,17.9536,0.462928,39.5,1.85
dog_chr10,1,69331447,1700604,12820639,18.4918,0.484337,39.5,1.98
dog_chr11,1,74389097,1591176,12638831,16.9902,0.42285,39.6,1.72
dog_chr12,1,72498081,1607739,12575544,17.346,0.439673,39.6,1.68
dog_chr13,1,63241923,1476080,11339075,17.9297,0.461604,39.5,1.81
dog_chr14,1,60966679,1328891,10466486,17.1676,0.431742,39.6,1.67
dog_chr15,1,64190966,1486295,11385933,17.7376,0.458207,39.5,1.8
dog_chr16,1,59632846,1353092,10543586,17.6808,0.448282,39.6,1.82
dog_chr17,1,64289059,1449686,11341315,17.6411,0.445184,39.5,1.84
dog_chr18,1,55844845,1358324,10310021,18.4619,0.4802,39.5,1.95
dog_chr19,1,53741614,1169436,9268102,17.2457,0.431083,39.6,1.65
dog_chr2,1,85426708,2001468,15292361,17.9011,0.462175,39.5,1.94
dog_chr20,1,58134056,1466331,10681344,18.3736,0.497757,39.5,2.07
dog_chr21,1,50858623,1081986,8543634,16.7988,0.420812,39.6,1.72
dog_chr22,1,61439934,1367935,10820676,17.6118,0.440986,39.6,1.62
dog_chr23,1,52294480,1123028,8890133,17.0001,0.424729,39.6,1.72
dog_chr24,1,47698779,1176445,8806168,18.462,0.486038,39.5,2.04
dog_chr25,1,51628933,1229373,9341506,18.0935,0.470333,39.5,1.85
dog_chr26,1,38964690,903175,6931741,17.7898,0.456468,39.5,2.03
dog_chr27,1,45876710,1006200,7846938,17.1044,0.435025,39.5,1.74
dog_chr28,1,41182112,1014802,7609165,18.4769,0.485607,39.5,2.01
dog_chr29,1,41845238,910827,7177317,17.1521,0.431248,39.6,1.64
dog_chr3,1,91889043,2089042,16194984,17.6245,0.481137,38.7,2.1
dog_chr30,1,40214260,906643,6991245,17.385,0.446497,39.5,1.84
dog_chr31,1,39895921,960979,7305234,18.3107,0.476534,39.6,1.79
dog_chr32,1,38810281,819328,6490924,16.7248,0.419006,39.6,1.54
dog_chr33,1,31377067,716485,5534425,17.6384,0.451865,39.6,1.75
dog_chr34,1,42124431,965572,7549233,17.9213,0.45287,39.6,1.77
dog_chr35,1,26524999,598636,4693092,17.6931,0.445921,39.5,1.86
dog_chr36,1,30810995,713321,5500163,17.8513,0.458152,39.6,1.7
dog_chr37,1,30902991,722534,5577601,18.0487,0.462007,39.6,1.8
dog_chr38,1,23914537,571700,4417134,18.4705,0.472783,39.5,1.83
dog_chr4,1,88276631,1966523,15522486,17.5839,0.440612,39.6,1.76
dog_chr5,1,88915250,2112885,16309767,18.343,0.468254,39.5,1.99
dog_chr6,1,77573801,1831396,14003648,18.052,0.466432,39.5,1.93
dog_chr7,1,80974532,1796970,14158425,17.485,0.438612,39.5,1.79
dog_chr8,1,74330416,1673658,12944630,17.415,0.445576,39.5,1.79
dog_chr9,1,61074082,1541961,11411859,18.6853,0.497617,39.5,2.08
dog_chrX,1,123869142,2339123,18833805,15.2046,0.3737,39.6,1.66
dog_chrUn_JH373233,1,2660953,11852,123053,4.6244,0.0877464,39.5,1.54
dog_chrUn_JH373234,1,1881673,3521,42283,2.2471,0.0365265,39.5,1.56
dog_chrUn_JH373235,1,1415205,3458,39537,2.79373,0.0476616,39.5,1.42
dog_chrUn_JH373236,1,1067467,3309,38221,3.58053,0.0610857,39.5,0.914
dog_chrUn_JH373237,1,866315,1850,20790,2.39982,0.0415749,39.5,1.71
dog_chrUn_JH373238,1,881102,2886,32207,3.65531,0.0644988,39.3,1.18
dog_chrUn_JH373239,1,822601,12387,102350,12.4422,0.298241,39.6,1.43
dog_chrUn_JH373240,1,741967,1338,15842,2.13514,0.0351013,39.6,1.45
dog_chrUn_JH373241,1,745551,2190,23424,3.14184,0.0580966,39.4,1.46
dog_chrUn_JH373242,1,602611,2672,26837,4.45345,0.0881979,39.5,1.62
dog_chrUn_JH373243,1,573630,28477,165857,28.9136,0.972786,39.4,2.82
dog_chrUn_JH373244,1,666183,1120,14788,2.21981,0.0326397,39.5,1.19
dog_chrUn_JH373245,1,557017,2197,23352,4.19233,0.0777355,39.4,1.33
dog_chrUn_JH373246,1,510604,897,11725,2.2963,0.0343397,39.5,1.31
dog_chrUn_JH373247,1,497093,1796,20040,4.03144,0.0708399,39.5,0.776
dog_chrUn_JH373248,1,492630,1478,17478,3.5479,0.0587764,39.5,1.34
dog_chrUn_JH373249,1,577062,2346,24492,4.24426,0.080085,39.2,1.5
dog_chrUn_JH373250,1,561270,1749,20411,3.63657,0.0613519,39.5,1.69
dog_chrUn_JH373251,1,407330,777,10056,2.46876,0.0370019,39.6,1.32
dog_chrUn_AAEX03018827,1,405216,700,8047,1.98585,0.0336956,39.5,1.61
dog_chrUn_JH373252,1,508668,1207,15167,2.98171,0.0467024,39.6,1.04
dog_chrUn_JH373253,1,540093,1262,15991,2.96079,0.0461291,39.4,0.673
dog_chrUn_JH373254,1,448434,4045,37218,8.29955,0.179065,39.6,1.04
dog_chrUn_JH373255,1,377800,1322,15176,4.01694,0.0694971,39.5,0.919
dog_chrUn_JH373256,1,384880,1549,15226,3.95604,0.0797365,39.5,1.5
dog_chrUn_JH373257,1,367143,629,7764,2.11471,0.0333712,39.6,1.39
dog_chrUn_JH373258,1,399987,1043,12534,3.1336,0.0512492,39.4,1.06
dog_chrUn_JH373259,1,376204,732,9327,2.47924,0.0378571,39.6,1.22
dog_chrUn_JH373260,1,416178,571,7529,1.80908,0.0267145,39.4,1.57
dog_chrUn_JH373261,1,365470,1377,14699,4.02194,0.0743864,39.6,2.01
dog_chrUn_JH373262,1,322752,474,6412,1.98666,0.0287341,39.6,1.12
dog_chrUn_JH373263,1,320591,644,7950,2.4798,0.0392993,39.5,1.64
dog_chrUn_JH373264,1,310270,1476,14615,4.71041,0.0936958,39.6,1.45
dog_chrUn_JH373265,1,433650,807,11538,2.66067,0.0366609,39.4,0.491
dog_chrUn_JH373266,1,273228,682,7592,2.77863,0.0489372,39.7,2.01
dog_chrUn_JH373267,1,281659,504,5819,2.06597,0.035156,39.6,1.2
dog_chrUn_JH373268,1,320442,1101,11031,3.44243,0.0670511,39.6,0.946
dog_chrUn_JH373269,1,265648,608,7013,2.63996,0.0444009,39.6,1.64
dog_chrUn_JH373270,1,241365,533,5409,2.241,0.0427692,39.7,1.08
dog_chrUn_JH373271,1,234529,432,5460,2.32807,0.0357141,39.5,0.683
dog_chrUn_JH373272,1,252720,978,11655,4.61182,0.0762939,39.5,0.515
dog_chrUn_JH373273,1,254975,927,10673,4.1859,0.0721835,39.5,1.38
dog_chrUn_JH373274,1,226053,346,4535,2.00617,0.0296391,39.5,0.633
dog_chrUn_JH373275,1,223744,320,4071,1.81949,0.0279158,39.7,1.3
dog_chrUn_JH373276,1,227140,485,5578,2.45575,0.0415559,39.6,0.942
dog_chrUn_JH373277,1,219672,412,4992,2.27248,0.0363405,39.4,1.06
dog_chrUn_AAEX03019065,1,214597,364,4698,2.18922,0.0330899,39.5,1.96
dog_chrUn_JH373278,1,386314,7579,51809,13.4111,0.385619,39.4,2.3
dog_chrUn_JH373279,1,204342,376,5009,2.45128,0.0357244,39.5,1.78
dog_chrUn_AAEX03019090,1,201724,540,5718,2.83457,0.0518976,39.4,1.92
dog_chrUn_JH373280,1,216332,629,6920,3.19879,0.0568432,39.4,0.789
dog_chrUn_AAEX03019097,1,200877,468,5707,2.84104,0.045381,39.6,1.32
dog_chrUn_JH373281,1,310654,461,6104,1.96489,0.0290548,39.6,1.43
dog_chrUn_JH373282,1,200932,947,9886,4.92007,0.0932803,39.6,1.77
dog_chrUn_JH373283,1,201410,381,4847,2.40653,0.0369346,39.7,1.1
dog_chrUn_JH373284,1,292533,473,6642,2.27051,0.0318084,39.6,0.617
dog_chrUn_JH373285,1,192561,678,6878,3.57186,0.0695728,39.4,0.985
dog_chrUn_JH373286,1,210134,498,5736,2.72969,0.0465846,39.2,0.572
dog_chrUn_JH373287,1,197844,553,6728,3.40066,0.0551192,39.5,1.3
dog_chrUn_JH373288,1,196813,690,7411,3.7655,0.0690249,39.5,1.17
dog_chrUn_JH373289,1,180359,342,3966,2.19895,0.0370317,39.6,1.26
dog_chrUn_JH373290,1,210247,1243,14771,7.02555,0.117343,39.5,0.36
dog_chrUn_JH373291,1,177735,1437,15391,8.65952,0.158691,39.6,0.416
dog_chrUn_JH373292,1,172100,627,6887,4.00174,0.071534,39.5,1.15
dog_chrUn_JH373293,1,166866,411,5047,3.02458,0.0482543,39.6,1.13
dog_chrUn_JH373294,1,164926,320,3726,2.2592,0.0377563,39.7,0.997
dog_chrUn_JH373295,1,157598,562,6031,3.82683,0.0707496,39.3,0.907
dog_chrUn_JH373296,1,143980,8034,47140,32.7407,1.09301,39.4,2.83
dog_chrUn_JH373297,1,141074,3420,29467,20.8876,0.474269,39.4,1.59
dog_chrUn_AAEX03019222,1,139526,183,2675,1.91721,0.0254863,39.6,1.57
dog_chrUn_JH373298,1,142260,971,9585,6.73766,0.135456,39.4,0.806
dog_chrUn_AAEX03019231,1,138160,177,2377,1.72047,0.0249855,39.7,1.6
dog_chrUn_JH373299,1,142296,479,5274,3.70636,0.0666287,39.5,1.2
dog_chrUn_JH373300,1,133119,691,7223,5.42597,0.102337,39.3,2
dog_chrUn_AAEX03019240,1,129748,633,5267,4.05941,0.0985063,39.5,4.69
dog_chrUn_AAEX03019241,1,125962,133,1729,1.37264,0.0204665,39.6,0.835
dog_chrUn_JH373301,1,127429,2043,17565,13.7841,0.318107,39.7,1.03
dog_chrUn_JH373302,1,128261,200,2647,2.06376,0.0306017,39.4,1.46
dog_chrUn_JH373303,1,131872,1369,12747,9.66619,0.205935,39.6,0.996
dog_chrUn_JH373304,1,133432,1495,10452,7.8332,0.220832,39.4,1.34
dog_chrUn_JH373305,1,119670,232,3192,2.66734,0.0376786,39.7,0.724
dog_chrUn_JH373306,1,144750,856,10002,6.90984,0.115627,39.6,0.386
dog_chrUn_JH373307,1,120779,452,4957,4.10419,0.0737794,39.5,0.907
dog_chrUn_AAEX03019307,1,115952,1122,10410,8.97785,0.192235,39.6,1.62
dog_chrUn_JH373308,1,118237,3250,28664,24.2428,0.537353,39.4,0.0363
dog_chrUn_JH373309,1,111908,201,2610,2.33227,0.0352164,39.5,1.94
dog_chrUn_JH373310,1,117332,122,1498,1.27672,0.0202161,39.8,0.861
dog_chrUn_JH373311,1,111759,3696,27411,24.5269,0.645684,39.4,2.4
dog_chrUn_JH373312,1,108801,211,2543,2.33729,0.037803,39.6,2.5
dog_chrUn_JH373313,1,112014,363,4008,3.57812,0.0640009,39.3,0.755
dog_chrUn_AAEX03019339,1,106428,467,3959,3.71989,0.0870917,39.5,3.4
dog_chrUn_AAEX03019340,1,104912,182,2329,2.21996,0.0337044,39.2,0.648
