#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
dog_chr1	1	122678785	38767	468342	0.381763	0.0071359	39.3	41.8
dog_chr10	1	69331447	25370	303327	0.437503	0.00823071	39.3	41.8
dog_chr11	1	74389097	18770	241444	0.324569	0.00593746	39.3	41.9
dog_chr12	1	72498081	17573	230538	0.317992	0.00596009	39.3	42
dog_chr13	1	63241923	18141	228917	0.36197	0.0066261	39.2	41.8
dog_chr14	1	60966679	13989	191715	0.314459	0.00545442	39.3	41.7
dog_chr15	1	64190966	18163	228137	0.355404	0.00651462	39.3	41.7
dog_chr16	1	59632846	17248	209021	0.350513	0.0065554	39.3	41.8
dog_chr17	1	64289059	19263	239563	0.372634	0.00686266	39.4	41.8
dog_chr18	1	55844845	19888	233122	0.417446	0.00805226	39.3	41.8
dog_chr19	1	53741614	11646	157377	0.29284	0.00513488	39.4	41.7
dog_chr2	1	85426708	29218	346678	0.405819	0.00767003	39.3	41.7
dog_chr20	1	58134056	26659	286326	0.492527	0.010337	39.3	41.8
dog_chr21	1	50858623	12745	165826	0.326053	0.00587655	39.4	41.8
dog_chr22	1	61439934	13106	173736	0.282774	0.00499268	39.4	41.6
dog_chr23	1	52294480	12638	164869	0.31527	0.00567787	39.4	41.8
dog_chr24	1	47698779	18882	222765	0.467025	0.00885478	39.3	41.8
dog_chr25	1	51628933	16504	198774	0.385005	0.00723629	39.3	41.7
dog_chr26	1	38964690	14971	173255	0.444646	0.00855534	39.3	41.9
dog_chr27	1	45876710	11755	154060	0.335813	0.00601935	39.3	41.8
dog_chr28	1	41182112	15452	182280	0.442619	0.00838806	39.3	41.8
dog_chr29	1	41845238	9142	117676	0.281217	0.00505384	39.3	41.6
dog_chr3	1	91889043	27642	315231	0.343056	0.00997666	37	41.8
dog_chr30	1	40214260	11782	152787	0.379932	0.00685389	39.3	41.9
dog_chr31	1	39895921	11216	134579	0.337325	0.00632358	39.4	41.6
dog_chr32	1	38810281	6916	103972	0.267898	0.00450404	39.4	41.9
dog_chr33	1	31377067	7982	105939	0.337632	0.00596158	39.3	41.6
dog_chr34	1	42124431	11427	140596	0.333764	0.0061542	39.4	41.7
dog_chr35	1	26524999	7525	95519	0.360109	0.0064892	39.3	42
dog_chr36	1	30810995	7820	100492	0.326156	0.00585583	39.3	41.8
dog_chr37	1	30902991	8965	108075	0.349723	0.00650866	39.4	41.6
dog_chr38	1	23914537	7160	87887	0.367505	0.00684032	39.3	41.7
dog_chr4	1	88276631	24073	300848	0.340801	0.00629402	39.3	41.8
dog_chr5	1	88915250	33777	402211	0.452353	0.00853122	39.3	41.8
dog_chr6	1	77573801	26403	311208	0.401177	0.00761699	39.3	41.7
dog_chr7	1	80974532	22284	286997	0.354429	0.00649373	39.3	41.9
dog_chr8	1	74330416	21299	258906	0.348318	0.00658748	39.3	41.7
dog_chr9	1	61074082	27541	313369	0.513097	0.00993313	39.3	41.8
dog_chrX	1	123869142	25443	290150	0.234239	0.00446453	39.3	41.5
dog_chrUn_JH373233	1	2660953	124	1827	0.0686596	0.00121348	39.5	42.7
dog_chrUn_JH373234	1	1881673	28	968	0.0514436	0.000698846	39.2	42.6
dog_chrUn_JH373235	1	1415205	53	1036	0.0732049	0.00109737	39.6	42.1
dog_chrUn_JH373236	1	1067467	28	387	0.036254	0.000758806	39.6	44.6
dog_chrUn_JH373237	1	866315	20	156	0.0180073	0.000445565	39.4	41.2
dog_chrUn_JH373238	1	881102	28	955	0.108387	0.0015038	39.8	43.2
dog_chrUn_JH373239	1	822601	139	2932	0.35643	0.0054352	39.5	42.2
dog_chrUn_JH373240	1	741967	20	756	0.101891	0.00122647	39.7	43.5
dog_chrUn_JH373241	1	745551	29	829	0.111193	0.00146737	39.9	42.4
dog_chrUn_JH373242	1	602611	40	1198	0.198802	0.00268166	39.6	40.7
dog_chrUn_JH373243	1	573630	620	5874	1.02401	0.0219445	39.3	41.2
dog_chrUn_JH373244	1	666183	10	541	0.0812089	0.00107628	39.8	44.9
dog_chrUn_JH373245	1	557017	40	961	0.172526	0.00235361	38.5	43.4
dog_chrUn_JH373246	1	510604	10	350	0.0685463	0.000898935	39.6	43.8
dog_chrUn_JH373247	1	497093	6	59	0.011869	0.00023738	39.8	44
dog_chrUn_JH373248	1	492630	22	487	0.0988572	0.00143718	39.1	40.3
dog_chrUn_JH373249	1	577062	23	456	0.079021	0.00122344	39	40
dog_chrUn_JH373250	1	561270	30	701	0.124895	0.00197944	39.6	45.5
dog_chrUn_JH373251	1	407330	8	819	0.201065	0.00230035	39.9	51
dog_chrUn_AAEX03018827	1	405216	14	416	0.102661	0.00130794	39.8	40.4
dog_chrUn_JH373252	1	508668	8	639	0.125622	0.00133093	38.3	42.9
dog_chrUn_JH373253	1	540093	10	653	0.120905	0.00131459	39.1	46.5
dog_chrUn_JH373254	1	448434	45	886	0.197576	0.00387571	38.1	42.8
dog_chrUn_JH373255	1	377800	4	210	0.055585	0.000894653	39.8	45.8
dog_chrUn_JH373256	1	384880	18	536	0.139264	0.00227084	38.3	46.4
