#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
bear_CM057520.1	1	121185270	200	5571	0.00459709	4.73242e-05	23	36.9
bear_CM057521.1	1	30884109	21	696	0.00225359	2.25359e-05	26.9	42.3
bear_JALAAU020000001.1	1	109684021	225	6399	0.00583403	6.65275e-05	24.7	38.9
bear_JALAAU020000010.1	1	80592695	170	4623	0.00573625	6.23878e-05	21.8	39.4
bear_JALAAU020000011.1	1	75848702	132	3745	0.00493746	5.14182e-05	24.3	38.8
bear_JALAAU020000012.1	1	73797744	163	5066	0.00686471	7.0639e-05	24.2	39
bear_JALAAU020000013.1	1	71981430	131	3642	0.00505964	5.55699e-05	23.5	39.5
bear_JALAAU020000014.1	1	71886606	202	6747	0.00938561	0.000106181	24.7	39.8
bear_JALAAU020000015.1	1	64761984	169	4962	0.0076619	0.000111732	28.7	40.1
bear_JALAAU020000016.1	1	64080236	113	3439	0.00536671	5.61171e-05	23	38.3
bear_JALAAU020000017.1	1	61112326	123	3768	0.0061657	6.67787e-05	24.8	40.4
bear_JALAAU020000018.1	1	60946776	162	5041	0.00827115	8.71252e-05	25	39.1
bear_JALAAU020000019.1	1	58187918	143	3891	0.00668696	7.69232e-05	23.1	37.8
bear_JALAAU020000002.1	1	104128533	265	7668	0.00736398	7.97284e-05	23.3	38.1
bear_JALAAU020000020.1	1	57817726	117	3357	0.00580618	6.26451e-05	23.8	37.8
bear_JALAAU020000021.1	1	55690195	111	3271	0.00587357	6.05672e-05	22.9	37.3
bear_JALAAU020000217.1	1	39687	1	25	0.0629929	0.000629929	9.96	33
bear_JALAAU020000022.1	1	63106708	137	4074	0.00645573	6.98499e-05	23.9	37.6
bear_JALAAU020000023.1	1	48502576	133	4058	0.00836657	8.76242e-05	23.6	38.9
bear_JALAAU020000024.1	1	46151079	142	3995	0.00865635	0.000105046	26.3	38.6
bear_JALAAU020000025.1	1	46104908	116	3297	0.00715108	8.22689e-05	23.6	38.5
bear_JALAAU020000026.1	1	44501725	102	2981	0.00669862	7.86486e-05	22.8	39.3
bear_JALAAU020000027.1	1	40274696	92	2913	0.00723283	7.67479e-05	23.4	38.9
bear_JALAAU020000028.1	1	39022016	109	3176	0.008139	8.67459e-05	23.7	38.2
bear_JALAAU020000029.1	1	37441217	73	2245	0.00599607	6.68515e-05	27.1	38.7
bear_JALAAU020000003.1	1	102679788	223	6321	0.00615603	6.85237e-05	24.1	38.9
bear_JALAAU020000030.1	1	36411587	80	2205	0.00605576	6.36061e-05	21.8	37.3
bear_JALAAU020000031.1	1	36125228	95	2676	0.00740757	8.13282e-05	22.6	38.1
bear_JALAAU020000032.1	1	33442570	77	2317	0.0069283	7.5682e-05	25.2	38.2
bear_JALAAU020000033.1	1	34954471	84	2484	0.00710639	7.30665e-05	23.8	39.8
bear_JALAAU020000034.1	1	31325472	79	2986	0.00953218	0.0001026	25.9	36.6
bear_JALAAU020000036.1	1	27273918	54	1543	0.00565742	5.75275e-05	23.6	38.8
bear_JALAAU020000037.1	1	29106684	61	1838	0.0063147	6.9125e-05	22.4	37.9
bear_JALAAU020000038.1	1	2246981	4	359	0.015977	0.000208279	31.9	39.5
bear_JALAAU020000039.1	1	1668763	1	25	0.00149812	1.49812e-05	27.9	36
bear_JALAAU020000004.1	1	95035812	236	6470	0.00680796	8.13062e-05	24.4	38.8
bear_JALAAU020000042.1	1	738372	3	315	0.0426614	0.000514646	29.5	38.7
bear_JALAAU020000046.1	1	918162	4	421	0.0458525	0.000603379	34.5	35.5
bear_JALAAU020000047.1	1	856399	2	34	0.00397011	7.58992e-05	24.4	34
bear_JALAAU020000005.1	1	90760572	209	6005	0.00661631	6.96007e-05	23.9	38.2
bear_JALAAU020000006.1	1	86743189	169	5208	0.00600393	6.31173e-05	25.5	39.2
bear_JALAAU020000007.1	1	86716647	161	4624	0.00533231	5.46954e-05	21	36.8
bear_JALAAU020000008.1	1	85619472	177	5068	0.00591921	6.67605e-05	24.7	39
bear_JALAAU020000082.1	1	150664	11	551	0.365714	0.0103674	33.1	55.1
bear_JALAAU020000086.1	1	140083	1	104	0.0742417	0.000742417	40.2	34
bear_JALAAU020000009.1	1	83187821	177	5046	0.00606579	6.94453e-05	25.1	39.1
dog_chr1	1	122678785	383	9596	0.00782205	0.000106595	23	40.1
dog_chr10	1	69331447	297	6067	0.00875072	0.000206169	29.3	38.8
dog_chr11	1	74389097	229	6577	0.00884135	9.45434e-05	24.2	39.3
dog_chr12	1	72498081	268	6812	0.00939611	0.000123341	24.6	40.7
dog_chr13	1	63241923	235	5909	0.00934349	0.000124285	23.3	39.6
dog_chr14	1	60966679	184	4858	0.00796829	9.21323e-05	23.2	38.7
dog_chr15	1	64190966	263	5908	0.00920379	0.000151174	21.9	39.1
dog_chr16	1	59632846	177	4952	0.00830415	8.63953e-05	23.2	38.3
dog_chr17	1	64289059	214	6149	0.00956461	0.000104668	24.1	39.6
dog_chr18	1	55844845	171	4495	0.00804909	9.52281e-05	24.6	40.5
dog_chr19	1	53741614	186	4631	0.00861716	0.000107924	24.2	39.8
dog_chr2	1	85426708	322	8998	0.010533	0.000131188	25.5	38.8
dog_chr20	1	58134056	305	5881	0.0101163	0.000276791	27.3	39.6
dog_chr21	1	50858623	156	4292	0.00843908	9.92162e-05	25.2	41.4
dog_chr22	1	61439934	188	5400	0.00878907	0.000105469	25.6	40.3
dog_chr23	1	52294480	169	4547	0.00869499	9.73908e-05	24.5	39.2
dog_chr24	1	47698779	172	4634	0.00971513	0.000111009	24.5	39.4
dog_chr25	1	51628933	165	4843	0.0093804	0.000109009	23.9	38.6
dog_chr26	1	38964690	108	3114	0.00799185	8.21256e-05	22.3	37.3
dog_chr27	1	45876710	201	4463	0.00972825	0.000158446	22	39.2
dog_chr28	1	41182112	120	3115	0.00756396	8.71252e-05	23.6	38.4
dog_chr29	1	41845238	118	3223	0.00770219	9.87448e-05	24.7	39.8
dog_chr3	1	91889043	7055	8084	0.00879757	0.0108546	31.8	54.6
dog_chr30	1	40214260	140	3778	0.00939468	0.000114437	23.8	39.8
dog_chr31	1	39895921	120	3573	0.0089558	9.86567e-05	24.4	40.5
dog_chr32	1	38810281	125	3181	0.00819628	9.86079e-05	26.9	40.4
dog_chr33	1	31377067	118	3268	0.0104153	0.000118239	24.2	41
dog_chr34	1	42124431	125	3503	0.00831584	9.12297e-05	23.8	39.6
dog_chr35	1	26524999	110	2945	0.0111027	0.000126861	24.7	39.1
dog_chr36	1	30810995	101	2858	0.00927591	0.000101522	23.9	40.4
dog_chr37	1	30902991	74	2087	0.00675339	7.75653e-05	26	39.7
dog_chr38	1	23914537	95	2569	0.0107424	0.000124903	25.3	40.9
dog_chr4	1	88276631	262	7650	0.00866594	9.27539e-05	23.9	39.9
dog_chr5	1	88915250	317	8065	0.00907044	0.000136197	25.6	39.6
dog_chr6	1	77573801	294	7274	0.00937688	0.000124565	23	38.2
dog_chr7	1	80974532	273	7280	0.00899048	0.000101909	23.1	37.7
dog_chr8	1	74330416	259	7022	0.00944701	0.000122547	24.5	39.2
dog_chr9	1	61074082	300	6271	0.0102679	0.00022882	26.3	40
dog_chrX	1	123869142	343	9290	0.00749985	9.2961e-05	25.2	39.8
dog_chrUn_JH373233	1	2660953	5	169	0.00635111	6.35111e-05	20	33.4
dog_chrUn_JH373243	1	573630	3	97	0.0169099	0.000169099	20.7	37
dog_chrUn_JH373248	1	492630	6	27	0.00548079	0.000324787	25.2	37
dog_chrUn_JH373250	1	561270	1	24	0.00427602	4.27602e-05	12.2	30
dog_chrUn_JH373260	1	416178	1	42	0.0100918	0.000100918	29	42
dog_chrUn_JH373273	1	254975	1	43	0.0168644	0.000168644	28.4	39
dog_chrUn_JH373278	1	386314	1	25	0.00647142	6.47142e-05	11.4	36
dog_chrUn_JH373287	1	197844	1	54	0.0272942	0.000272942	40.6	60
dog_chrUn_JH373290	1	210247	3	63	0.0299648	0.000784791	30.2	50.3
dog_chrUn_JH373296	1	143980	1	98	0.068065	0.00068065	32.6	32
dog_chrUn_JH373303	1	131872	1	27	0.0204744	0.000204744	22.8	31
dog_chrUn_JH373311	1	111759	2	57	0.0510026	0.000510026	17.2	45
dog_chrUn_JH373335	1	230124	1	32	0.0139055	0.000139055	25.8	48
dog_chrUn_JH373340	1	79078	2	36	0.0455247	0.000910493	41.2	43
dog_chrUn_JH373345	1	79712	1	26	0.0326174	0.000326174	16.8	31
dog_chrUn_JH373363	1	65696	1	24	0.0365319	0.000365319	15.9	30
dog_chrUn_JH373367	1	92437	1	37	0.0400273	0.000400273	27	39
dog_chrUn_JH373368	1	70351	2	58	0.0824437	0.000824437	33	38.5
dog_chrUn_JH373372	1	64123	1	28	0.0436661	0.000436661	23	33
dog_chrUn_JH373376	1	90840	1	32	0.0352268	0.000352268	30.3	39
dog_chrUn_JH373382	1	70666	1	24	0.0339626	0.000339626	23.9	30
