rname,startpos,endpos,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq
dog_chr1,1,122678785,1674537,17459663,14.232,0.273178,38.8,1.99
dog_chr10,1,69331447,1039706,10349772,14.928,0.299512,38.8,2.07
dog_chr11,1,74389097,867782,9795981,13.1686,0.234072,38.9,1.93
dog_chr12,1,72498081,836531,9592212,13.231,0.232139,38.9,1.89
dog_chr13,1,63241923,818212,8836094,13.9719,0.259263,38.9,1.99
dog_chr14,1,60966679,688126,7996522,13.1162,0.226902,38.9,1.87
dog_chr15,1,64190966,827748,8895292,13.8575,0.258805,38.8,1.97
dog_chr16,1,59632846,766085,8296870,13.9133,0.257346,38.9,1.96
dog_chr17,1,64289059,835064,8977264,13.9639,0.259847,38.8,1.98
dog_chr18,1,55844845,829960,8292320,14.8489,0.296594,38.8,2.02
dog_chr19,1,53741614,602566,7038649,13.0972,0.225148,38.9,1.84
dog_chr2,1,85426708,1217752,12345572,14.4517,0.284956,38.8,2.03
dog_chr20,1,58134056,954505,8764802,15.0769,0.327928,38.8,2.11
dog_chr21,1,50858623,587872,6639248,13.0543,0.23213,38.9,1.94
dog_chr22,1,61439934,687127,8177180,13.3092,0.225723,39,1.86
dog_chr23,1,52294480,599542,6862127,13.1221,0.229922,38.9,1.93
dog_chr24,1,47698779,751220,7215669,15.1276,0.314191,38.8,2.09
dog_chr25,1,51628933,717872,7390483,14.3146,0.278352,38.8,2
dog_chr26,1,38964690,587017,5764810,14.795,0.300978,38.8,2.08
dog_chr27,1,45876710,555027,6083539,13.2606,0.245016,38.6,1.94
dog_chr28,1,41182112,635706,6200791,15.057,0.307798,38.8,2.08
dog_chr29,1,41845238,462028,5450947,13.0264,0.221835,38.9,1.88
dog_chr3,1,91889043,1252816,12618264,13.7321,0.400511,36.6,4.46
dog_chr30,1,40214260,525539,5523151,13.7343,0.264497,38.6,1.99
dog_chr31,1,39895921,531882,5651747,14.1662,0.266809,38.9,1.96
dog_chr32,1,38810281,384632,4783016,12.3241,0.199224,39,1.77
dog_chr33,1,31377067,381299,4237514,13.5051,0.243166,38.9,1.93
dog_chr34,1,42124431,529587,5892592,13.9885,0.251682,38.9,1.94
dog_chr35,1,26524999,340675,3699782,13.9483,0.257138,38.8,1.99
dog_chr36,1,30810995,370539,4176692,13.5558,0.240832,38.9,1.9
dog_chr37,1,30902991,401601,4338749,14.0399,0.259834,38.9,1.94
dog_chr38,1,23914537,325026,3471524,14.5164,0.271671,38.8,1.95
dog_chr4,1,88276631,1080479,12070896,13.6739,0.245578,38.9,1.91
dog_chr5,1,88915250,1332614,13350537,15.0149,0.299031,38.8,2.05
dog_chr6,1,77573801,1109620,11224365,14.4693,0.286458,38.7,2.02
dog_chr7,1,80974532,1008952,11108137,13.7181,0.249753,38.8,1.93
dog_chr8,1,74330416,933008,10121798,13.6173,0.251867,38.8,1.96
dog_chr9,1,61074082,1034779,9555360,15.6455,0.338432,38.7,2.09
dog_chrX,1,123869142,1257517,14637715,11.8171,0.204335,38.9,1.86
dog_chrUn_JH373233,1,2660953,8073,110907,4.16794,0.064295,38.6,1.88
dog_chrUn_JH373234,1,1881673,2812,46333,2.46233,0.0349583,39.1,2.03
dog_chrUn_JH373235,1,1415205,2699,44449,3.14082,0.0441364,39,1.99
dog_chrUn_JH373236,1,1067467,2292,33806,3.16694,0.0456895,38.6,1.49
dog_chrUn_JH373237,1,866315,1464,20102,2.3204,0.0354444,38.9,1.39
dog_chrUn_JH373238,1,881102,1942,32328,3.66904,0.0503597,38.7,1.7
dog_chrUn_JH373239,1,822601,7100,85832,10.4342,0.184244,38.9,2.1
dog_chrUn_JH373240,1,741967,1108,20333,2.74042,0.0374114,39.1,2.5
dog_chrUn_JH373241,1,745551,1474,21400,2.87036,0.0428207,38.6,1.83
dog_chrUn_JH373242,1,602611,1830,23144,3.84062,0.0638588,38.6,1.76
dog_chrUn_JH373243,1,573630,23329,150356,26.2113,0.801238,38.8,2.35
dog_chrUn_JH373244,1,666183,906,14911,2.23827,0.0299497,39.2,1.14
dog_chrUn_JH373245,1,557017,1492,21174,3.80132,0.056711,38.6,1.48
dog_chrUn_JH373246,1,510604,705,16171,3.16703,0.0410005,39.3,3.28
dog_chrUn_JH373247,1,497093,1287,17783,3.5774,0.0537968,38.7,1.2
dog_chrUn_JH373248,1,492630,1101,19081,3.87329,0.0545135,38.7,2.59
dog_chrUn_JH373249,1,577062,1626,22348,3.87272,0.0594477,38.6,1.71
dog_chrUn_JH373250,1,561270,1247,17002,3.0292,0.0455093,38.7,1.84
dog_chrUn_JH373251,1,407330,590,10533,2.58586,0.034704,39,2.23
dog_chrUn_AAEX03018827,1,405216,590,13052,3.221,0.0422515,39,4.1
dog_chrUn_JH373252,1,508668,829,14135,2.77883,0.0366565,38.9,1.52
dog_chrUn_JH373253,1,540093,800,18184,3.36683,0.0420094,38.9,2.09
dog_chrUn_JH373254,1,448434,2075,28338,6.31932,0.0948278,38.8,1.68
dog_chrUn_JH373255,1,377800,942,14384,3.80731,0.055532,38.6,1.67
dog_chrUn_JH373256,1,384880,942,15200,3.94928,0.0553263,38.4,2.61
dog_chrUn_JH373257,1,367143,553,9458,2.57611,0.0384836,39.2,2.15
dog_chrUn_JH373258,1,399987,699,12362,3.0906,0.0395063,38.8,1.62
dog_chrUn_JH373259,1,376204,566,8968,2.38381,0.035704,39,2.1
dog_chrUn_JH373260,1,416178,524,8048,1.93379,0.0277694,39,1.89
