#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
dog_chr1	1	122678785	35512	836301	0.6817	0.00984103	39.3	43.1
dog_chr10	1	69331447	22984	514261	0.741743	0.0108582	39.3	43
dog_chr11	1	74389097	17163	447925	0.602138	0.00850322	39.3	43.4
dog_chr12	1	72498081	15610	427653	0.589882	0.00834034	39.3	43.8
dog_chr13	1	63241923	16041	402005	0.635662	0.00901486	39.3	43.3
dog_chr14	1	60966679	12570	364819	0.598391	0.00808123	39.3	43.8
dog_chr15	1	64190966	16228	410515	0.639521	0.00905978	39.2	43.4
dog_chr16	1	59632846	15543	395208	0.662735	0.00940614	39.3	43.3
dog_chr17	1	64289059	17610	430269	0.669273	0.00952206	39.3	43.3
dog_chr18	1	55844845	18446	390265	0.698838	0.0106187	39.3	43
dog_chr19	1	53741614	10479	312940	0.582305	0.00778899	39.4	43.7
dog_chr2	1	85426708	26628	615553	0.720563	0.0104443	39.3	43.1
dog_chr20	1	58134056	23917	465182	0.800188	0.0127305	39.3	42.8
dog_chr21	1	50858623	11260	317427	0.624136	0.00855542	39.3	43.7
dog_chr22	1	61439934	11986	357870	0.582471	0.00779262	39.4	43.8
dog_chr23	1	52294480	11451	310544	0.593837	0.00822819	39.3	43.6
dog_chr24	1	47698779	17415	377953	0.792375	0.0117284	39.2	43
dog_chr25	1	51628933	14856	361811	0.700791	0.00999538	39.3	43.2
dog_chr26	1	38964690	13867	313285	0.804023	0.011782	39.3	43
dog_chr27	1	45876710	10578	278059	0.606101	0.00843286	39.3	43.4
dog_chr28	1	41182112	14472	316134	0.767649	0.0113273	39.3	42.8
dog_chr29	1	41845238	8013	234389	0.560133	0.00758992	39.3	43.8
dog_chr3	1	91889043	24295	576815	0.62773	0.0117606	37.6	43.4
dog_chr30	1	40214260	11065	272832	0.678446	0.00962624	39.3	43.3
dog_chr31	1	39895921	10147	250661	0.628287	0.00888402	39.3	43.2
dog_chr32	1	38810281	5917	182412	0.470009	0.00623131	39.4	43.9
dog_chr33	1	31377067	7107	176627	0.562917	0.00796024	39.3	43.2
dog_chr34	1	42124431	10443	266127	0.631764	0.00891684	39.3	43.5
dog_chr35	1	26524999	6978	174998	0.659747	0.00927936	39.3	43.4
dog_chr36	1	30810995	6886	181350	0.588589	0.00813385	39.4	43.4
dog_chr37	1	30902991	7847	192756	0.623745	0.00887477	39.3	43.3
dog_chr38	1	23914537	6618	154120	0.644462	0.00931371	39.3	43
dog_chr4	1	88276631	20621	538379	0.609877	0.00853484	39.3	43.5
dog_chr5	1	88915250	30383	658381	0.740459	0.0109883	39.3	42.9
