#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
bear_CM057520.1	1	121185270	7999	266405	0.219833	0.00722521	39	51.4
bear_CM057521.1	1	30884109	7469	127479	0.412766	0.0228447	39.6	50.8
bear_JALAAU020000001.1	1	109684021	10228	230436	0.210091	0.0098308	39.1	50.9
bear_JALAAU020000010.1	1	80592695	7603	165910	0.205862	0.00989755	39.2	51.4
bear_JALAAU020000103.1	1	103861	7	117	0.112651	0.00275368	39.5	43.1
bear_JALAAU020000104.1	1	103710	98	2076	2.00174	0.112352	38.2	53.5
bear_JALAAU020000107.1	1	99161	1	26	0.02622	0.0002622	24.5	42
bear_JALAAU020000011.1	1	75848702	6331	140322	0.185003	0.00914241	39	51.8
bear_JALAAU020000111.1	1	96854	31	593	0.612262	0.0316352	36.7	55.3
bear_JALAAU020000012.1	1	73797744	7587	169266	0.229365	0.0108311	39	50.9
bear_JALAAU020000123.1	1	81734	2	64	0.0783028	0.000783028	26.7	33
bear_JALAAU020000126.1	1	81080	110	2355	2.90454	0.157005	39.4	54.3
bear_JALAAU020000013.1	1	71981430	8295	172206	0.239237	0.0126319	39.2	51.8
bear_JALAAU020000014.1	1	71886606	11210	250940	0.349078	0.0168548	38.6	52
bear_JALAAU020000147.1	1	67459	2	245	0.363184	0.00407655	30.9	35
bear_JALAAU020000015.1	1	64761984	5686	128221	0.197988	0.00954832	39.1	51.4
bear_JALAAU020000150.1	1	65823	1	35	0.0531729	0.000531729	40.1	33
bear_JALAAU020000151.1	1	65697	1	25	0.0380535	0.000380535	28.7	36
bear_JALAAU020000016.1	1	64080236	5490	123361	0.19251	0.0090711	38.7	51.2
bear_JALAAU020000160.1	1	62881	27	1367	2.17395	0.0572987	38.1	40.5
bear_JALAAU020000017.1	1	61112326	6989	146871	0.24033	0.0126051	39.2	51.8
bear_JALAAU020000018.1	1	60946776	6235	138945	0.227978	0.0107511	38.7	51.1
bear_JALAAU020000184.1	1	50962	2	31	0.0608296	0.00121659	41	60
bear_JALAAU020000019.1	1	58187918	11853	244187	0.419652	0.0235841	38.6	52.6
bear_JALAAU020000002.1	1	104128533	13467	289005	0.277546	0.01371	38.9	51.5
bear_JALAAU020000020.1	1	57817726	5290	116118	0.200835	0.00977332	39.2	50.6
bear_JALAAU020000203.1	1	43128	3	55	0.127527	0.00194769	34.6	44
bear_JALAAU020000021.1	1	55690195	6780	143713	0.258058	0.0133541	38.9	51.5
bear_JALAAU020000022.1	1	63106708	7028	139636	0.22127	0.011777	39.1	51.2
bear_JALAAU020000224.1	1	38590	4	267	0.691889	0.0114278	37.1	42.5
bear_JALAAU020000023.1	1	48502576	8256	163810	0.337735	0.0185616	38.8	51.7
bear_JALAAU020000230.1	1	37695	1	30	0.0795862	0.000795862	27.1	31
bear_JALAAU020000234.1	1	36758	1	24	0.0652919	0.000652919	34.9	30
bear_JALAAU020000024.1	1	46151079	10654	201528	0.43667	0.0252608	38.8	51.4
bear_JALAAU020000247.1	1	33635	1	30	0.0891928	0.000891928	32.2	60
bear_JALAAU020000025.1	1	46104908	6200	130045	0.282063	0.0147639	39	51.7
bear_JALAAU020000026.1	1	44501725	4922	112664	0.253168	0.0120655	38.8	51.4
bear_JALAAU020000027.1	1	40274696	3431	71982	0.178728	0.00846628	39	50.2
bear_JALAAU020000028.1	1	39022016	4935	109687	0.28109	0.0132878	38.9	50.6
bear_JALAAU020000285.1	1	24998	1	25	0.100008	0.00100008	31.9	36
bear_JALAAU020000029.1	1	37441217	3742	82924	0.221478	0.0108814	39.1	51.6
bear_JALAAU020000292.1	1	23732	2	291	1.22619	0.0122619	24.2	35
bear_JALAAU020000003.1	1	102679788	11487	230752	0.22473	0.0117526	39	51
bear_JALAAU020000030.1	1	36411587	2845	61437	0.168729	0.00801094	39	50.4
bear_JALAAU020000304.1	1	23000	167	1460	6.34783	1.05322	32.3	36.9
bear_JALAAU020000031.1	1	36125228	3790	86534	0.239539	0.0108945	38.7	50.3
bear_JALAAU020000032.1	1	33442570	5937	124513	0.372319	0.0184982	38.7	51
