#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
bear_CM057520.1	1	121185270	4497471	118488302	97.7745	4.89255	33.3	45.9
bear_CM057521.1	1	30884109	1199975	26632018	86.2321	4.65875	32.3	8.06
bear_JALAAU020000001.1	1	109684021	7690228	109315617	99.6641	9.64678	33.4	52.4
bear_JALAAU020000010.1	1	80592695	5555975	80264181	99.5924	9.49516	33.4	52.7
bear_JALAAU020000100.1	1	109353	3700	99721	91.1918	4.90991	33.3	0.376
bear_JALAAU020000101.1	1	106065	9487	93335	87.9979	12.5869	32.8	0.483
bear_JALAAU020000102.1	1	104563	3438	88856	84.9784	4.41606	32.9	17.8
bear_JALAAU020000103.1	1	103861	3690	100826	97.0778	4.82088	33.2	8.24
bear_JALAAU020000104.1	1	103710	8385	102801	99.1235	11.0585	33.1	54.8
bear_JALAAU020000105.1	1	101563	3614	94983	93.5213	5.23499	33.5	0.0581
bear_JALAAU020000106.1	1	101150	12128	96270	95.1755	17.2402	33.6	0.147
bear_JALAAU020000107.1	1	99161	5521	98247	99.0783	7.62225	33.4	44.5
bear_JALAAU020000108.1	1	98021	23806	96342	98.2871	34.2499	32.6	1.27
bear_JALAAU020000109.1	1	97343	9150	83288	85.5614	12.7234	32.7	0.787
bear_JALAAU020000011.1	1	75848702	5111809	75159541	99.0914	9.24505	33.4	51.5
bear_JALAAU020000110.1	1	97305	2867	87811	90.2431	3.97029	33.3	9.31
bear_JALAAU020000111.1	1	96854	8500	96058	99.1781	12.0586	33.1	55.3
bear_JALAAU020000112.1	1	95621	21739	88586	92.6428	32.8699	33.1	0.0488
bear_JALAAU020000113.1	1	92258	4118	89704	97.2317	6.5509	33.2	0.0287
bear_JALAAU020000114.1	1	90062	7807	75842	84.2109	12.4976	33	0.592
bear_JALAAU020000115.1	1	89074	3509	85750	96.2683	5.76887	33.8	0
bear_JALAAU020000116.1	1	88188	4413	84891	96.2614	7.32042	33.6	0.489
bear_JALAAU020000117.1	1	87732	4083	86963	99.1235	6.69477	33.5	0.0284
bear_JALAAU020000118.1	1	87276	2923	82563	94.5999	4.65019	33.6	1.17
bear_JALAAU020000119.1	1	87275	19153	81415	93.2856	31.2599	33	0.934
bear_JALAAU020000012.1	1	73797744	5092693	73415350	99.4818	9.54058	33.4	53.2
bear_JALAAU020000120.1	1	84924	3261	83766	98.6364	5.41153	33.4	1.08
bear_JALAAU020000121.1	1	84100	13803	80071	95.2093	22.5151	31.6	0.794
bear_JALAAU020000122.1	1	83516	3205	79204	94.8369	5.57648	33.6	0
bear_JALAAU020000123.1	1	81734	6235	81525	99.7443	9.98186	32.7	52
bear_JALAAU020000124.1	1	81183	5316	73160	90.1174	8.51055	31.5	1.02
bear_JALAAU020000125.1	1	81085	3055	77336	95.3765	5.47273	33.5	0
bear_JALAAU020000126.1	1	81080	5996	81005	99.9075	10.2614	33	55.4
bear_JALAAU020000127.1	1	80790	8189	78810	97.5492	13.9075	32.7	22
bear_JALAAU020000128.1	1	79710	10377	78845	98.9148	18.7011	32.8	0.646
bear_JALAAU020000129.1	1	79402	4276	57896	72.915	6.17215	32.2	4.9
bear_JALAAU020000013.1	1	71981430	4944601	71362214	99.1398	9.47588	33.4	52.9
bear_JALAAU020000130.1	1	78943	3412	69648	88.2257	5.25202	31.2	0.411
bear_JALAAU020000131.1	1	78387	627	32072	40.9149	0.972955	31.1	0.0159
bear_JALAAU020000132.1	1	78235	4551	59230	75.7078	7.17017	32.2	1.47
bear_JALAAU020000133.1	1	77661	6117	76087	97.9732	10.8336	31.7	0.0381
bear_JALAAU020000134.1	1	76652	5445	63781	83.2085	9.41353	32.6	0.916
bear_JALAAU020000135.1	1	76090	2217	67466	88.6661	3.98083	33.3	13
bear_JALAAU020000136.1	1	75260	1744	55260	73.4255	3.05011	33.4	12.7
bear_JALAAU020000137.1	1	74076	5502	66417	89.6606	10.4071	33.2	54.1
bear_JALAAU020000138.1	1	74064	2736	72806	98.3015	5.09837	33.3	1.28
bear_JALAAU020000139.1	1	73438	8302	70204	95.5963	16.3346	33.7	0.0125
bear_JALAAU020000014.1	1	71886606	5224014	71357079	99.2634	10.024	33.2	53.6
bear_JALAAU020000140.1	1	73358	8935	72253	98.4937	16.7292	32.2	18.2
bear_JALAAU020000141.1	1	73154	8157	70016	95.7104	16.1785	33.6	0.0343
bear_JALAAU020000142.1	1	72558	5966	60976	84.0376	10.8858	32.7	1
bear_JALAAU020000143.1	1	71246	8173	70004	98.2567	16.7148	33.3	1.77
bear_JALAAU020000144.1	1	70971	2530	69810	98.3641	4.92031	33.6	0.915
bear_JALAAU020000145.1	1	70332	5326	68410	97.2672	10.3821	31.7	0.141
bear_JALAAU020000146.1	1	69764	20363	69049	98.9751	41.899	32.9	0.317
bear_JALAAU020000147.1	1	67459	3493	65170	96.6068	6.14656	32.3	39.3
bear_JALAAU020000148.1	1	67413	1600	61029	90.53	2.7225	31.4	0.00313
bear_JALAAU020000149.1	1	66149	8533	64123	96.9372	18.8507	33.9	0.0118
bear_JALAAU020000015.1	1	64761984	4535726	64418771	99.47	9.656	33.4	52.9
bear_JALAAU020000150.1	1	65823	5429	65565	99.608	11.6695	33.3	56.8
