#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
bear_CM057520.1	1	121185270	25000	612249	0.505217	0.00722928	39.4	43.2
bear_CM057521.1	1	30884109	639	22977	0.0743975	0.000985944	39.3	44
bear_JALAAU020000001.1	1	109684021	33770	1026189	0.935587	0.013131	38.8	44.3
bear_JALAAU020000010.1	1	80592695	22805	743759	0.922862	0.0123475	39.4	44.5
bear_JALAAU020000102.1	1	104563	4	41	0.0392108	0.000765089	40	43
bear_JALAAU020000103.1	1	103861	2	19	0.0182937	0.000365874	38.8	40
bear_JALAAU020000104.1	1	103710	249	2855	2.75287	0.063234	39.4	43.5
bear_JALAAU020000107.1	1	99161	8	300	0.302538	0.00423554	39.4	48.5
bear_JALAAU020000011.1	1	75848702	17518	629255	0.829619	0.0108423	39.4	44.9
bear_JALAAU020000110.1	1	97305	5	62	0.0637172	0.0010277	39.7	38
bear_JALAAU020000111.1	1	96854	126	1677	1.73147	0.031181	39.6	42.5
bear_JALAAU020000012.1	1	73797744	22666	695601	0.942578	0.012816	39.4	44.4
bear_JALAAU020000123.1	1	81734	112	1240	1.51712	0.0321776	39	40.9
bear_JALAAU020000126.1	1	81080	40	984	1.21362	0.0162556	39.5	44.8
bear_JALAAU020000127.1	1	80790	10	79	0.0977844	0.00240129	39.2	42.4
bear_JALAAU020000013.1	1	71981430	20662	663468	0.921721	0.0123731	39.3	44.5
bear_JALAAU020000130.1	1	78943	2	26	0.0329352	0.000658703	40	42
bear_JALAAU020000132.1	1	78235	2	24	0.0306768	0.000613536	35.2	51
bear_JALAAU020000136.1	1	75260	2	293	0.389317	0.00398618	39.9	50
bear_JALAAU020000137.1	1	74076	127	1472	1.98715	0.03761	39.2	41.6
bear_JALAAU020000014.1	1	71886606	40038	882604	1.22777	0.0185519	39.3	43.3
bear_JALAAU020000140.1	1	73358	2	197	0.268546	0.00408953	35.9	51.5
bear_JALAAU020000147.1	1	67459	8	80	0.118591	0.00235699	39.8	44.5
bear_JALAAU020000015.1	1	64761984	21383	641294	0.990232	0.0135607	39.3	44.3
bear_JALAAU020000150.1	1	65823	53	1063	1.61494	0.0235632	39.2	42.2
bear_JALAAU020000151.1	1	65697	2	19	0.0289207	0.000578413	40	40
bear_JALAAU020000155.1	1	63894	2	19	0.0297368	0.000594735	40	40
bear_JALAAU020000156.1	1	63426	9	740	1.16671	0.0130231	39.2	48.3
bear_JALAAU020000158.1	1	63082	2	300	0.475571	0.00475571	39.7	40.5
bear_JALAAU020000159.1	1	63069	2	19	0.0301257	0.000602515	37.2	40
bear_JALAAU020000016.1	1	64080236	24151	591481	0.923032	0.0134076	39.3	43.6
bear_JALAAU020000162.1	1	62556	4	38	0.0607456	0.00121491	40	40
bear_JALAAU020000017.1	1	61112326	19050	572437	0.936696	0.0127968	39.3	44.3
bear_JALAAU020000170.1	1	57573	4	564	0.979626	0.0104216	39.3	50.5
bear_JALAAU020000172.1	1	57077	1	36	0.0630727	0.000630727	37.9	60
bear_JALAAU020000175.1	1	56039	2	21	0.0374739	0.000731633	39.6	46
bear_JALAAU020000179.1	1	52877	2	19	0.0359324	0.000718649	39.6	40
bear_JALAAU020000018.1	1	60946776	26052	661016	1.08458	0.0169493	39.1	44.1
bear_JALAAU020000188.1	1	49134	2	166	0.337852	0.00606505	39.9	40
bear_JALAAU020000019.1	1	58187918	31665	707832	1.21646	0.0182477	39.3	43.3
bear_JALAAU020000190.1	1	48951	2	214	0.437172	0.00612858	40	48
bear_JALAAU020000195.1	1	46867	2	19	0.0405403	0.000810805	39.3	40
bear_JALAAU020000002.1	1	104128533	48212	1182152	1.13528	0.016475	39.3	43.6
bear_JALAAU020000020.1	1	57817726	15875	532726	0.921389	0.0122563	39.2	44.7
bear_JALAAU020000203.1	1	43128	6	58	0.134483	0.00268967	39.7	42
bear_JALAAU020000207.1	1	41404	2	19	0.0458893	0.000917786	40	40
bear_JALAAU020000021.1	1	55690195	16962	502841	0.902926	0.0124595	39.3	44.3
bear_JALAAU020000214.1	1	40144	2	19	0.0473296	0.000946592	39.3	40
