rname,startpos,endpos,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq
dog_chr1,1,122678785,2657216,93559139,76.2635,2.05735,39.4,34.7
dog_chr10,1,69331447,1562531,53613033,77.3286,2.12651,39.4,34.8
dog_chr11,1,74389097,1533198,55813338,75.0289,1.97807,39.4,34.7
dog_chr12,1,72498081,1469209,52905281,72.9747,1.88536,39.4,33.9
dog_chr13,1,63241923,1312646,46755676,73.9315,1.93811,39.4,34.1
dog_chr14,1,60966679,1218856,44577086,73.1171,1.884,39.4,34.3
dog_chr15,1,64190966,1337638,47711373,74.3272,1.96137,39.4,34.4
dog_chr16,1,59632846,1284960,44919905,75.3275,2.06952,39.4,34.4
dog_chr17,1,64289059,1373867,49115572,76.398,2.05858,39.4,35.3
dog_chr18,1,55844845,1250797,42959164,76.9259,2.12778,39.4,34.6
dog_chr19,1,53741614,1062418,38911942,72.4056,1.84666,39.4,34
dog_chr2,1,85426708,1924018,66479779,77.8208,2.18248,39.4,34.6
dog_chr20,1,58134056,1345546,45980301,79.0936,2.21713,39.4,35.5
dog_chr21,1,50858623,1039066,37959443,74.6372,1.96721,39.4,35.2
dog_chr22,1,61439934,1206089,43766725,71.235,1.80336,39.4,33.3
dog_chr23,1,52294480,1077382,39220285,74.9989,1.98071,39.4,35.5
dog_chr24,1,47698779,1107598,37896393,79.4494,2.22583,39.4,35.6
dog_chr25,1,51628933,1109770,39114871,75.7615,2.02415,39.4,34.5
dog_chr26,1,38964690,917337,31365012,80.496,2.34059,39.4,35.8
dog_chr27,1,45876710,949216,34239601,74.634,1.97902,39.4,34.8
dog_chr28,1,41182112,942026,32269182,78.3573,2.16793,39.4,35
dog_chr29,1,41845238,827282,30352252,72.5345,1.84095,39.4,33.9
dog_chr3,1,91889043,1963410,68533926,74.5833,2.02435,39.1,34
dog_chr30,1,40214260,854914,30613243,76.1253,2.03491,39.4,35.3
dog_chr31,1,39895921,809223,28499215,71.4339,1.83797,39.4,32.1
dog_chr32,1,38810281,729159,27357308,70.4898,1.7359,39.4,33.6
