rname,startpos,endpos,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq
dog_chr1,1,122678785,15703,652220,0.531649,0.00663644,39.3,45.2
dog_chr10,1,69331447,10309,395495,0.570441,0.00722425,39.2,44.8
dog_chr11,1,74389097,7715,357658,0.480794,0.0059434,39.3,46
dog_chr12,1,72498081,6951,345850,0.477047,0.00576881,39.3,46.5
dog_chr13,1,63241923,7412,320713,0.507121,0.00631328,39.3,45.5
dog_chr14,1,60966679,5799,299660,0.491514,0.00587939,39.3,46.7
dog_chr15,1,64190966,7499,328122,0.511165,0.00635871,39.2,45.6
dog_chr16,1,59632846,7285,318698,0.534434,0.00665427,39.3,45.6
dog_chr17,1,64289059,7784,338132,0.525956,0.00649406,39.3,45.6
dog_chr18,1,55844845,7813,292599,0.52395,0.00673478,39.2,44.7
dog_chr19,1,53741614,4983,258979,0.481897,0.00575671,39.4,46.5
dog_chr2,1,85426708,11780,477651,0.559135,0.00700982,39.3,45.2
dog_chr20,1,58134056,9902,341052,0.586665,0.00783599,39.3,44.6
dog_chr21,1,50858623,5214,259426,0.510092,0.00617005,39.3,46.4
dog_chr22,1,61439934,5610,295328,0.480678,0.00571768,39.4,46.8
dog_chr23,1,52294480,5230,251489,0.480909,0.00586175,39.3,46.3
dog_chr24,1,47698779,7530,285951,0.599493,0.00761562,39.2,45
dog_chr25,1,51628933,6644,284548,0.551141,0.00683533,39.3,45.5
dog_chr26,1,38964690,6016,241322,0.619335,0.00778741,39.3,45
dog_chr27,1,45876710,4728,222803,0.485656,0.00590504,39.3,45.9
dog_chr28,1,41182112,6460,242158,0.588017,0.00746766,39.3,44.6
dog_chr29,1,41845238,3784,191729,0.458186,0.00555014,39.2,46.5
dog_chr3,1,91889043,78347,459836,0.500425,0.117,34.7,46.1
dog_chr30,1,40214260,4898,214834,0.534223,0.00658664,39.3,45.7
dog_chr31,1,39895921,4833,200040,0.501405,0.0062265,39.3,45.2
dog_chr32,1,38810281,2744,151317,0.389889,0.00460422,39.4,46.9
dog_chr33,1,31377067,3341,141024,0.449449,0.00558813,39.3,45.3
dog_chr34,1,42124431,4803,212454,0.504349,0.00624248,39.3,45.8
dog_chr35,1,26524999,3190,138862,0.523514,0.00645666,39.3,45.6
dog_chr36,1,30810995,3139,144900,0.470287,0.00569482,39.4,45.9
dog_chr37,1,30902991,3452,150944,0.488445,0.00604272,39.3,45.7
dog_chr38,1,23914537,2853,119338,0.499019,0.00620518,39.2,45.3
dog_chr4,1,88276631,9252,430319,0.487466,0.00597244,39.3,46.1
dog_chr5,1,88915250,12997,498445,0.560584,0.00711011,39.3,44.8
dog_chr6,1,77573801,10425,409225,0.52753,0.00670814,39.2,44.9
dog_chr7,1,80974532,8854,413234,0.510326,0.00622711,39.3,46
dog_chr8,1,74330416,8689,386601,0.520111,0.00650095,39.3,45.7
dog_chr9,1,61074082,10635,400039,0.655006,0.00834185,39.2,44.8
dog_chrX,1,123869142,11000,584282,0.471693,0.00565104,39.3,47
dog_chrUn_JH373233,1,2660953,109,9444,0.35491,0.00415716,39.6,48.1
dog_chrUn_JH373234,1,1881673,65,4839,0.257165,0.00290486,39.8,43.2
