#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
bear_CM057520.1	1	121185270	3043	150190	0.123934	0.00244209	39.3	49.1
bear_CM057521.1	1	30884109	95	6031	0.0195278	0.000242358	39.2	50.2
bear_JALAAU020000001.1	1	109684021	2720	124285	0.113312	0.00221502	39.1	47.9
bear_JALAAU020000010.1	1	80592695	1688	84356	0.10467	0.00196968	39.3	49.3
bear_JALAAU020000103.1	1	103861	2	58	0.0558439	0.00111688	39.7	42
bear_JALAAU020000104.1	1	103710	70	1843	1.77707	0.0481535	39.5	49.4
bear_JALAAU020000011.1	1	75848702	1562	74562	0.0983036	0.00200022	39.2	49.5
bear_JALAAU020000111.1	1	96854	23	907	0.936461	0.0256675	38.9	51.5
bear_JALAAU020000112.1	1	95621	1	49	0.051244	0.00051244	40	60
bear_JALAAU020000012.1	1	73797744	2205	98229	0.133106	0.00262196	39.2	47.1
bear_JALAAU020000123.1	1	81734	2	49	0.0599506	0.000599506	40	31.5
bear_JALAAU020000126.1	1	81080	28	1283	1.58239	0.0388012	39.4	53.1
bear_JALAAU020000013.1	1	71981430	1947	95681	0.132925	0.00251609	39.4	48.5
bear_JALAAU020000130.1	1	78943	1	24	0.0304017	0.000304017	39.3	30
bear_JALAAU020000137.1	1	74076	3	49	0.0661483	0.000998974	40	32
bear_JALAAU020000014.1	1	71886606	3848	176852	0.246015	0.0053849	39	50.6
bear_JALAAU020000147.1	1	67459	1	24	0.0355772	0.000355772	40	30
bear_JALAAU020000015.1	1	64761984	1468	65085	0.100499	0.00193052	39	47.8
bear_JALAAU020000016.1	1	64080236	1940	84015	0.131109	0.0028831	39	49.3
bear_JALAAU020000160.1	1	62881	32	778	1.23726	0.0669837	39.1	42.9
bear_JALAAU020000017.1	1	61112326	1706	84463	0.138209	0.00268584	39.4	49.9
bear_JALAAU020000018.1	1	60946776	2085	90894	0.149137	0.00321838	39	49.3
bear_JALAAU020000184.1	1	50962	1	31	0.0608296	0.000608296	40	60
bear_JALAAU020000019.1	1	58187918	3683	166244	0.285702	0.00670168	39.1	50.7
bear_JALAAU020000196.1	1	46687	1	62	0.132799	0.00132799	39.7	51
bear_JALAAU020000002.1	1	104128533	4354	190005	0.182472	0.00403022	39.1	49.7
bear_JALAAU020000020.1	1	57817726	1347	60697	0.10498	0.00206238	39.2	47.7
bear_JALAAU020000203.1	1	43128	1	29	0.0672417	0.000672417	40	33
bear_JALAAU020000021.1	1	55690195	1736	83324	0.149621	0.00305528	39.1	50.1
bear_JALAAU020000022.1	1	63106708	1905	82970	0.131476	0.00277587	39.2	48.3
bear_JALAAU020000023.1	1	48502576	2391	109791	0.226361	0.00496813	39	50.2
bear_JALAAU020000024.1	1	46151079	3184	134947	0.292403	0.00715743	39.2	50.9
bear_JALAAU020000248.1	1	33391	1	26	0.0778653	0.000778653	14.9	39
bear_JALAAU020000025.1	1	46104908	1773	81794	0.177408	0.00360339	39.2	48.7
bear_JALAAU020000026.1	1	44501725	1795	65834	0.147936	0.0038203	38.1	49.8
bear_JALAAU020000027.1	1	40274696	799	37447	0.092979	0.00176595	39.3	48
bear_JALAAU020000028.1	1	39022016	1729	70717	0.181223	0.00385867	39.1	47.2
bear_JALAAU020000029.1	1	37441217	889	47348	0.12646	0.00237869	39.1	49.5
bear_JALAAU020000003.1	1	102679788	3133	133059	0.129586	0.00263647	39.2	47.8
bear_JALAAU020000030.1	1	36411587	921	35128	0.0964748	0.00221756	39.1	47.5
bear_JALAAU020000304.1	1	23000	19	1120	4.86957	0.115826	36.5	39.2
bear_JALAAU020000031.1	1	36125228	1015	47336	0.131033	0.00268483	39	49.2
bear_JALAAU020000032.1	1	33442570	2187	91482	0.27355	0.00622216	39.1	49.2
bear_JALAAU020000322.1	1	19686	1	26	0.132074	0.00132074	40	39
bear_JALAAU020000033.1	1	34954471	794	34490	0.0986712	0.00198278	39.1	48
bear_JALAAU020000034.1	1	31325472	1669	54875	0.175177	0.00581856	39	46.2
bear_JALAAU020000036.1	1	27273918	645	28136	0.103161	0.00201764	39.1	47.4
bear_JALAAU020000037.1	1	29106684	666	31263	0.107408	0.00216778	39.2	48.3
bear_JALAAU020000038.1	1	2246981	15	1568	0.0697825	0.000874952	38.8	35.1
bear_JALAAU020000039.1	1	1668763	9	173	0.010367	0.00019116	37.8	54.7
bear_JALAAU020000004.1	1	95035812	2963	145359	0.152952	0.00296889	39.3	49.1
bear_JALAAU020000040.1	1	1601906	8	749	0.0467568	0.000681688	36.4	38.6
bear_JALAAU020000041.1	1	1456759	1	150	0.0102968	0.000102968	39.4	39
bear_JALAAU020000044.1	1	1087097	3	81	0.00745104	7.45104e-05	32.1	40
bear_JALAAU020000046.1	1	918162	6	450	0.049011	0.000908336	36.1	37.3
bear_JALAAU020000005.1	1	90760572	2202	99529	0.109661	0.00215494	39.2	48.4
bear_JALAAU020000053.1	1	396820	2	232	0.0584648	0.00071821	37.6	42.5
bear_JALAAU020000056.1	1	354992	1	26	0.00732411	7.32411e-05	40	42
bear_JALAAU020000057.1	1	313359	9	233	0.0743556	0.0015286	39.7	38.1
bear_JALAAU020000006.1	1	86743189	2191	97976	0.11295	0.00232611	39.2	47.8
bear_JALAAU020000062.1	1	233966	122	5639	2.41018	0.0543284	39.4	50.8
bear_JALAAU020000069.1	1	194158	10	648	0.333749	0.00527921	37.3	35.7
bear_JALAAU020000007.1	1	86716647	3158	151404	0.174596	0.00363198	39.3	50.2
bear_JALAAU020000075.1	1	172041	1	33	0.0191815	0.000191815	37.8	60
bear_JALAAU020000077.1	1	165429	1	149	0.0900689	0.000900689	33.4	40
bear_JALAAU020000008.1	1	85619472	2939	137071	0.160093	0.00325955	39.2	49.1
bear_JALAAU020000082.1	1	150664	55	2726	1.80932	0.0383104	39	43.5
bear_JALAAU020000086.1	1	140083	2	63	0.0449733	0.000449733	35.4	39.5
bear_JALAAU020000009.1	1	83187821	2058	87307	0.104952	0.0020366	39.2	46.3
bear_JALAAU020000097.1	1	113543	4	433	0.381353	0.00465903	39.4	37.8
bear_AF303110.1	1	17020	3	159	0.934195	0.0119271	34.6	39
dog_chr1	1	122678785	1511474	89822317	73.2175	1.82291	39.5	59.7
dog_chr10	1	69331447	891136	51881859	74.8316	1.89987	39.5	59.7
dog_chr11	1	74389097	872727	53105892	71.3893	1.73702	39.5	59.6
dog_chr12	1	72498081	815871	50818529	70.0964	1.66553	39.5	59.7
dog_chr13	1	63241923	733122	44879738	70.9652	1.71577	39.5	59.7
dog_chr14	1	60966679	687217	42798669	70.2001	1.66966	39.5	59.7
dog_chr15	1	64190966	756102	45939787	71.5674	1.742	39.5	59.7
dog_chr16	1	59632846	724507	42686917	71.5829	1.79791	39.5	59.5
dog_chr17	1	64289059	796289	47238308	73.478	1.83303	39.5	59.7
dog_chr18	1	55844845	710038	41087323	73.5741	1.87932	39.5	59.7
dog_chr19	1	53741614	593564	37323336	69.4496	1.63526	39.5	59.7
dog_chr2	1	85426708	1091286	63070431	73.8299	1.88896	39.5	59.6
dog_chr20	1	58134056	783605	44599214	76.7179	1.99208	39.5	59.7
dog_chr21	1	50858623	601921	36533386	71.8332	1.75215	39.5	59.6
dog_chr22	1	61439934	658198	41909027	68.2114	1.58758	39.5	59.7
dog_chr23	1	52294480	627637	37874540	72.4255	1.77697	39.5	59.7
dog_chr24	1	47698779	646388	36788406	77.1265	2.00359	39.5	59.7
dog_chr25	1	51628933	627435	37624651	72.8751	1.79854	39.5	59.7
dog_chr26	1	38964690	538661	29858975	76.6309	2.04292	39.5	59.6
dog_chr27	1	45876710	542091	32961537	71.8481	1.74776	39.5	59.7
dog_chr28	1	41182112	541279	31261980	75.9116	1.94327	39.5	59.7
dog_chr29	1	41845238	459845	29115477	69.5789	1.62697	39.5	59.7
dog_chr3	1	91889043	1083467	65977005	71.8007	1.74514	39.5	59.7
dog_chr30	1	40214260	495862	29634816	73.6923	1.82259	39.5	59.7
dog_chr31	1	39895921	425305	26369685	66.0962	1.57668	39.5	59.7
dog_chr32	1	38810281	401819	26212417	67.5399	1.53262	39.5	59.6
dog_chr33	1	31377067	360100	22149650	70.5918	1.69369	39.5	59.7
dog_chr34	1	42124431	502114	30495964	72.395	1.76373	39.5	59.7
dog_chr35	1	26524999	337446	19900726	75.0263	1.88147	39.5	59.7
dog_chr36	1	30810995	347886	21703457	70.4406	1.6706	39.5	59.7
dog_chr37	1	30902991	366433	22271537	72.0692	1.75337	39.5	59.7
dog_chr38	1	23914537	289039	17210105	71.965	1.78467	39.5	59.7
dog_chr4	1	88276631	1049036	63689720	72.1479	1.7592	39.5	59.7
dog_chr5	1	88915250	1218442	68746716	77.3171	2.026	39.5	59.8
dog_chr6	1	77573801	995118	57884634	74.6188	1.8965	39.5	59.7
dog_chr7	1	80974532	1000520	58918990	72.7624	1.82824	39.5	59.6
dog_chr8	1	74330416	899772	53552177	72.0461	1.79103	39.5	59.6
dog_chr9	1	61074082	875740	46968150	76.9036	2.11744	39.4	59.6
dog_chrX	1	123869142	1426648	87102922	70.3185	1.70761	39.5	59.5
dog_chrUn_JH373233	1	2660953	32771	1845062	69.3384	1.83998	39.5	54
dog_chrUn_JH373234	1	1881673	9616	487735	25.9203	0.764004	39.6	48.5
dog_chrUn_JH373235	1	1415205	12246	593929	41.9677	1.29252	39.6	51.7
dog_chrUn_JH373236	1	1067467	8867	465484	43.6064	1.24107	39.5	50.8
dog_chrUn_JH373237	1	866315	1032	61761	7.12916	0.177948	39.6	44.5
dog_chrUn_JH373238	1	881102	11637	509782	57.8573	1.97501	39.5	51.1
dog_chrUn_JH373239	1	822601	9363	441156	53.6294	1.68949	39.5	58.5
dog_chrUn_JH373240	1	741967	3500	237103	31.956	0.705393	39.6	47.9
dog_chrUn_JH373241	1	745551	5590	316595	42.4646	1.12036	39.5	53.6
dog_chrUn_JH373242	1	602611	7779	435566	72.2798	1.92843	39.5	54.5
dog_chrUn_JH373243	1	573630	9350	463819	80.8568	2.40035	39.4	59.7
dog_chrUn_JH373244	1	666183	5286	255403	38.3383	1.18662	39.6	49.3
dog_chrUn_JH373245	1	557017	7356	392968	70.5487	1.97471	39.5	54.2
dog_chrUn_JH373246	1	510604	2194	120164	23.5337	0.642316	39.5	47
dog_chrUn_JH373247	1	497093	5718	255777	51.4546	1.71528	39.5	54
dog_chrUn_JH373248	1	492630	5995	298461	60.5852	1.80992	39.5	51.1
dog_chrUn_JH373249	1	577062	5767	307658	53.3145	1.49157	39.5	55.3
dog_chrUn_JH373250	1	561270	5638	317869	56.6339	1.50054	39.6	54.3
dog_chrUn_JH373251	1	407330	2390	163131	40.0489	0.876879	39.6	49.9
dog_chrUn_AAEX03018827	1	405216	4529	191200	47.1847	1.67164	39.6	48.2
dog_chrUn_JH373252	1	508668	3913	222545	43.7505	1.15093	39.5	50.6
dog_chrUn_JH373253	1	540093	10671	217801	40.3266	2.95466	39.5	50.4
dog_chrUn_JH373254	1	448434	4090	240170	53.5575	1.3544	39.5	57.4
dog_chrUn_JH373255	1	377800	3963	218353	57.7959	1.56909	39.5	50.8
dog_chrUn_JH373256	1	384880	4463	250439	65.0694	1.73165	39.5	54.4
dog_chrUn_JH373257	1	367143	3794	148258	40.3815	1.54455	39.6	47.8
dog_chrUn_JH373258	1	399987	3932	219151	54.7895	1.47081	39.5	51.3
dog_chrUn_JH373259	1	376204	2414	127242	33.8226	0.960064	39.6	49
dog_chrUn_JH373260	1	416178	911	49010	11.7762	0.32748	39.6	45
dog_chrUn_JH373261	1	365470	4092	221346	60.5648	1.65345	39.5	54.1
dog_chrUn_JH373262	1	322752	2624	138578	42.9364	1.21626	39.6	48.6
dog_chrUn_JH373263	1	320591	2185	98327	30.6705	1.01833	39.6	48
dog_chrUn_JH373264	1	310270	3959	220975	71.2202	1.90376	39.6	53.8
dog_chrUn_JH373265	1	433650	3903	133111	30.6955	1.34202	39.5	47.6
dog_chrUn_JH373266	1	273228	1343	66642	24.3906	0.731777	39.6	49.1
dog_chrUn_JH373267	1	281659	2760	88468	31.4096	1.46556	39.5	46.8
dog_chrUn_JH373268	1	320442	3167	169258	52.8202	1.4775	39.6	51.4
dog_chrUn_JH373269	1	265648	2072	113198	42.612	1.16559	39.6	50.2
dog_chrUn_JH373270	1	241365	1337	73654	30.5156	0.827688	39.6	47.2
dog_chrUn_JH373271	1	234529	2663	107108	45.6694	1.69988	39.6	48.4
dog_chrUn_JH373272	1	252720	1882	105783	41.8578	1.08979	39.5	53.4
dog_chrUn_JH373273	1	254975	2771	154742	60.6891	1.61977	39.5	54.4
