#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
dog_chr1	1	122678785	2144119	21625150	17.6275	0.347818	38.8	2.49
dog_chr10	1	69331447	1310613	12716695	18.3419	0.376016	38.7	2.56
dog_chr11	1	74389097	1131190	12357643	16.6122	0.303209	38.8	2.37
dog_chr12	1	72498081	1106912	12215158	16.8489	0.305777	38.8	2.34
dog_chr13	1	63241923	1053304	11063038	17.4932	0.331979	38.8	2.41
dog_chr14	1	60966679	910088	10187448	16.7099	0.297984	38.8	2.31
dog_chr15	1	64190966	1068055	11164081	17.392	0.33186	38.8	2.4
dog_chr16	1	59632846	977009	10280836	17.2402	0.326316	38.8	2.4
dog_chr17	1	64289059	1071756	11156436	17.3536	0.331663	38.8	2.46
dog_chr18	1	55844845	1050916	10177395	18.2244	0.373904	38.7	2.55
dog_chr19	1	53741614	790123	8964776	16.6813	0.29335	38.9	2.24
dog_chr2	1	85426708	1539325	15149791	17.7343	0.358413	38.7	2.52
dog_chr20	1	58134056	1218676	10733562	18.4635	0.416528	38.7	2.72
dog_chr21	1	50858623	765761	8358130	16.434	0.300422	38.8	2.37
dog_chr22	1	61439934	907955	10431916	16.979	0.295878	38.9	2.27
dog_chr23	1	52294480	783954	8684867	16.6076	0.298691	38.8	2.36
dog_chr24	1	47698779	944185	8779381	18.4059	0.393145	38.7	2.62
dog_chr25	1	51628933	911752	9149932	17.7225	0.351591	38.7	2.46
dog_chr26	1	38964690	735696	6952631	17.8434	0.375438	38.7	2.62
dog_chr27	1	45876710	724999	7679908	16.7403	0.316234	38.6	2.38
dog_chr28	1	41182112	798290	7581575	18.4099	0.384716	38.7	2.58
dog_chr29	1	41845238	610537	6967500	16.6506	0.291116	38.9	2.27
dog_chr3	1	91889043	1570836	15822877	17.2195	0.441805	37.1	2.41
dog_chr30	1	40214260	676984	6913649	17.192	0.338015	38.6	2.47
dog_chr31	1	39895921	681417	7075866	17.7358	0.339978	38.9	2.36
dog_chr32	1	38810281	518554	6197892	15.9697	0.266562	38.9	2.16
dog_chr33	1	31377067	495631	5364627	17.0973	0.314425	38.8	2.34
dog_chr34	1	42124431	679529	7346660	17.4404	0.321047	38.8	2.38
dog_chr35	1	26524999	434572	4583313	17.2792	0.326346	38.8	2.42
dog_chr36	1	30810995	486070	5324940	17.2826	0.314062	38.8	2.33
dog_chr37	1	30902991	518300	5445716	17.622	0.333453	38.8	2.39
dog_chr38	1	23914537	415027	4308019	18.0142	0.345054	38.8	2.42
dog_chr4	1	88276631	1402990	15165698	17.1797	0.316897	38.8	2.36
dog_chr5	1	88915250	1688566	16302681	18.3351	0.377131	38.7	2.59
dog_chr6	1	77573801	1415223	13864179	17.8722	0.363273	38.7	2.52
dog_chr7	1	80974532	1307431	13894901	17.1596	0.322388	38.8	2.39
dog_chr8	1	74330416	1212987	12694126	17.078	0.32559	38.8	2.44
dog_chr9	1	61074082	1310839	11576069	18.9541	0.426758	38.6	2.69
dog_chrX	1	123869142	1644954	18484868	14.9229	0.265461	38.8	2.28
dog_chrUn_JH373233	1	2660953	9362	125469	4.71519	0.0737364	38.5	2.12
dog_chrUn_JH373234	1	1881673	2914	48175	2.56022	0.0359834	39.1	2.19
dog_chrUn_JH373235	1	1415205	2948	47137	3.33075	0.0475246	39	2.31
dog_chrUn_JH373236	1	1067467	2680	38326	3.59037	0.0527848	38.5	1.62
dog_chrUn_JH373237	1	866315	1550	20972	2.42083	0.0373386	39	1.78
dog_chrUn_JH373238	1	881102	2357	37588	4.26602	0.0596582	38.5	1.85
dog_chrUn_JH373239	1	822601	8833	102821	12.4995	0.225239	38.9	2.18
dog_chrUn_JH373240	1	741967	1211	21522	2.90067	0.040084	39.1	3.12
dog_chrUn_JH373241	1	745551	1698	23688	3.17725	0.048713	38.6	2
dog_chrUn_JH373242	1	602611	2099	26954	4.47287	0.0725294	38.6	2.26
dog_chrUn_JH373243	1	573630	26683	166129	28.961	0.914579	38.7	2.91
dog_chrUn_JH373244	1	666183	997	16307	2.44783	0.0325736	39.2	1.3
dog_chrUn_JH373245	1	557017	1708	24163	4.33793	0.0642548	38.5	1.76
dog_chrUn_JH373246	1	510604	769	17042	3.33762	0.0433898	39.3	3.59
dog_chrUn_JH373247	1	497093	1499	20191	4.06182	0.0616484	38.5	1.27
dog_chrUn_JH373248	1	492630	1235	21285	4.32069	0.05984	38.4	2.55
dog_chrUn_JH373249	1	577062	1837	24355	4.22052	0.0665007	38.5	2.02
dog_chrUn_JH373250	1	561270	1448	19469	3.46874	0.0525968	38.7	1.94
dog_chrUn_JH373251	1	407330	647	11386	2.79528	0.0373751	39	2.5
dog_chrUn_AAEX03018827	1	405216	616	13484	3.32761	0.0434608	39	4.5
dog_chrUn_JH373252	1	508668	949	15796	3.10537	0.0413138	38.7	1.8
dog_chrUn_JH373253	1	540093	981	20547	3.80434	0.0486416	38.8	1.84
dog_chrUn_JH373254	1	448434	2607	34344	7.65865	0.120573	38.7	1.74
dog_chrUn_JH373255	1	377800	1076	16093	4.25966	0.0630254	38.5	1.74
dog_chrUn_JH373256	1	384880	1122	17137	4.45256	0.0644954	38.1	2.38
dog_chrUn_JH373257	1	367143	569	9837	2.67934	0.0393117	39.2	2.57
dog_chrUn_JH373258	1	399987	813	13594	3.39861	0.0451265	38.6	1.9
dog_chrUn_JH373259	1	376204	622	9469	2.51699	0.0384579	39.2	2.09
dog_chrUn_JH373260	1	416178	568	8656	2.07988	0.0298742	38.9	2.32
dog_chrUn_JH373261	1	365470	1049	13537	3.704	0.0581689	38.7	1.88
dog_chrUn_JH373262	1	322752	454	10290	3.18821	0.0405915	39.2	2.43
dog_chrUn_JH373263	1	320591	527	10966	3.42056	0.0453475	38.9	2.75
dog_chrUn_JH373264	1	310270	1090	14078	4.53734	0.0749895	38.8	2.48
dog_chrUn_JH373265	1	433650	764	14520	3.34832	0.0438372	38.9	1.36
dog_chrUn_JH373266	1	273228	561	9777	3.57833	0.0498521	38.4	2.83
dog_chrUn_JH373267	1	281659	458	9722	3.45169	0.0458249	39	2.78
dog_chrUn_JH373268	1	320442	757	11864	3.70239	0.0504896	38.4	1.69
dog_chrUn_JH373269	1	265648	488	7794	2.93396	0.0416529	39.1	2.17
dog_chrUn_JH373270	1	241365	383	5224	2.16436	0.0341267	39	1.06
dog_chrUn_JH373271	1	234529	365	6388	2.72376	0.0374495	39.2	2.21
dog_chrUn_JH373272	1	252720	723	11252	4.45236	0.0622745	38.6	1.68
dog_chrUn_JH373273	1	254975	804	10904	4.2765	0.0675439	38.8	2.06
dog_chrUn_JH373274	1	226053	362	6813	3.01389	0.0409727	39	2.75
dog_chrUn_JH373275	1	223744	287	6041	2.69996	0.0352859	39.3	2.82
dog_chrUn_JH373276	1	227140	426	6856	3.0184	0.0429383	39	1.44
dog_chrUn_JH373277	1	219672	367	6415	2.92026	0.0418214	38.9	2.29
dog_chrUn_AAEX03019065	1	214597	306	5995	2.79361	0.0379222	39.2	4.42
dog_chrUn_JH373278	1	386314	7385	52164	13.503	0.378842	38.7	2.92
dog_chrUn_JH373279	1	204342	341	6696	3.27686	0.0431923	39.1	2.49
dog_chrUn_AAEX03019090	1	201724	491	9039	4.48087	0.0646824	39.2	3.18
dog_chrUn_JH373280	1	216332	531	8116	3.75164	0.0564179	37.9	1.63
dog_chrUn_AAEX03019097	1	200877	380	6614	3.29256	0.044709	39	3.24
dog_chrUn_JH373281	1	310654	369	6584	2.1194	0.028205	39	1.31
dog_chrUn_JH373282	1	200932	715	9702	4.8285	0.0748711	38.4	2.21
dog_chrUn_JH373283	1	201410	303	6184	3.07035	0.0401172	39	1.9
dog_chrUn_JH373284	1	292533	477	9864	3.37193	0.0416363	38.7	1.53
dog_chrUn_JH373285	1	192561	591	8163	4.23918	0.0668048	39	2.15
dog_chrUn_JH373286	1	210134	348	5983	2.84723	0.037281	38.2	1.4
dog_chrUn_JH373287	1	197844	499	7407	3.74386	0.0562059	38.8	2.32
dog_chrUn_JH373288	1	196813	498	8484	4.31069	0.0583955	38.7	1.86
dog_chrUn_JH373289	1	180359	290	4832	2.6791	0.037198	38.9	2.44
dog_chrUn_JH373290	1	210247	753	12181	5.79366	0.0788929	38.6	1.03
dog_chrUn_JH373291	1	177735	1028	16031	9.01961	0.128033	38.8	0.976
dog_chrUn_JH373292	1	172100	532	8592	4.99245	0.070796	38.9	1.84
dog_chrUn_JH373293	1	166866	387	7161	4.29147	0.0587178	38.5	2.99
dog_chrUn_JH373294	1	164926	306	4834	2.93101	0.0402302	39	1.98
dog_chrUn_JH373295	1	157598	387	6319	4.00957	0.053922	39	1.84
dog_chrUn_JH373296	1	143980	7433	46980	32.6295	1.01854	38.7	3.14
dog_chrUn_JH373297	1	141074	3019	29337	20.7955	0.422296	38.7	2.07
dog_chrUn_AAEX03019222	1	139526	187	3546	2.54146	0.033621	38.8	2.6
dog_chrUn_JH373298	1	142260	703	9681	6.80515	0.103226	38.4	1.45
dog_chrUn_AAEX03019231	1	138160	163	2243	1.62348	0.0230457	39	1.37
dog_chrUn_JH373299	1	142296	403	5393	3.78999	0.0589897	38.3	2.33
dog_chrUn_JH373300	1	133119	563	6769	5.08492	0.0827455	38.9	1.45
dog_chrUn_AAEX03019240	1	129748	407	5535	4.26596	0.0639702	38.6	2.29
dog_chrUn_AAEX03019241	1	125962	163	4399	3.49232	0.0438227	38.8	4.93
dog_chrUn_JH373301	1	127429	1101	14980	11.7556	0.170636	38.9	1.23
dog_chrUn_JH373302	1	128261	177	4137	3.22545	0.038905	39.1	1.81
dog_chrUn_JH373303	1	131872	884	11731	8.89575	0.13576	38.6	1.67
dog_chrUn_JH373304	1	133432	1280	9851	7.38279	0.194459	38.6	1.63
dog_chrUn_JH373305	1	119670	193	3359	2.80689	0.0390156	39.2	1.35
dog_chrUn_JH373306	1	144750	665	9238	6.38204	0.0933955	38.9	0.466
dog_chrUn_JH373307	1	120779	318	4452	3.68607	0.0537925	38.5	1.8
