#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
bear_CM057520.1	1	121185270	64042	2342252	1.93279	0.0264941	39.6	45.7
bear_CM057521.1	1	30884109	2023	117051	0.379001	0.00489375	39.6	46.9
bear_JALAAU020000001.1	1	109684021	92341	4172529	3.80414	0.0508562	39.5	47.3
bear_JALAAU020000010.1	1	80592695	62492	2946199	3.65567	0.0483004	39.6	47.5
bear_JALAAU020000103.1	1	103861	4	20	0.0192565	0.000751004	39.8	43
bear_JALAAU020000104.1	1	103710	618	8777	8.46302	0.169984	39.5	43.3
bear_JALAAU020000107.1	1	99161	38	2612	2.6341	0.0384123	39.8	52.9
bear_JALAAU020000011.1	1	75848702	50598	2639372	3.47979	0.045391	39.6	48.3
bear_JALAAU020000110.1	1	97305	6	491	0.504599	0.00657726	39.9	51.3
bear_JALAAU020000111.1	1	96854	329	6040	6.23619	0.104446	39.8	42.9
bear_JALAAU020000112.1	1	95621	4	238	0.248899	0.00353479	39.6	37.5
bear_JALAAU020000012.1	1	73797744	62989	2866312	3.88401	0.051741	39.6	47.3
bear_JALAAU020000121.1	1	84100	8	23	0.0273484	0.00180737	39.9	40
bear_JALAAU020000123.1	1	81734	260	4658	5.69897	0.102821	39.5	43.5
bear_JALAAU020000126.1	1	81080	153	3793	4.6781	0.0724223	39.7	44.2
bear_JALAAU020000127.1	1	80790	39	1703	2.10793	0.0322193	39.1	47.3
bear_JALAAU020000013.1	1	71981430	58159	2688508	3.735	0.04962	39.6	47.4
bear_JALAAU020000130.1	1	78943	4	266	0.336952	0.00443358	39	38
bear_JALAAU020000133.1	1	77661	2	19	0.0244653	0.000489306	40	40
bear_JALAAU020000135.1	1	76090	2	284	0.373242	0.0039427	39.9	48
bear_JALAAU020000136.1	1	75260	18	1259	1.67287	0.0220037	39.9	50.3
bear_JALAAU020000137.1	1	74076	232	3683	4.97192	0.0901372	39.6	43.7
bear_JALAAU020000014.1	1	71886606	103198	3156399	4.3908	0.0640546	39.6	45.3
bear_JALAAU020000140.1	1	73358	25	1254	1.70943	0.020952	38.1	45.2
bear_JALAAU020000145.1	1	70332	7	82	0.11659	0.00199056	39.6	40.3
bear_JALAAU020000147.1	1	67459	10	545	0.807898	0.0106731	39.8	51.6
bear_JALAAU020000015.1	1	64761984	56002	2424431	3.7436	0.0502604	39.6	47
bear_JALAAU020000150.1	1	65823	115	2477	3.76312	0.0540085	39.5	43.5
bear_JALAAU020000151.1	1	65697	2	20	0.0304428	0.000593634	40	43
bear_JALAAU020000152.1	1	64873	4	39	0.0601175	0.00120235	35.3	43
bear_JALAAU020000155.1	1	63894	5	66	0.103296	0.00164335	40	41
bear_JALAAU020000156.1	1	63426	20	784	1.23609	0.0184152	39.7	45.2
bear_JALAAU020000159.1	1	63069	4	38	0.0602515	0.00120503	40	40
bear_JALAAU020000016.1	1	64080236	61436	2159542	3.37006	0.0474817	39.6	45.9
bear_JALAAU020000162.1	1	62556	8	76	0.121491	0.00242982	39.9	40
bear_JALAAU020000017.1	1	61112326	52350	2302193	3.76715	0.0505641	39.6	47.1
bear_JALAAU020000170.1	1	57573	4	523	0.908412	0.0104216	39.8	60
bear_JALAAU020000172.1	1	57077	6	149	0.261051	0.00846225	40	40
bear_JALAAU020000174.1	1	56180	2	19	0.0338199	0.000676397	40	40
bear_JALAAU020000175.1	1	56039	8	80	0.142758	0.00285515	39.8	46
