rname,startpos,endpos,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq
dog_chr1,1,122678785,2205747,21260236,17.33,0.35501,38.9,1.78
dog_chr10,1,69331447,1334349,12318142,17.767,0.379564,38.9,1.87
dog_chr11,1,74389097,1176729,12201342,16.4021,0.312673,38.9,1.71
dog_chr12,1,72498081,1151434,12089225,16.6752,0.31466,39,1.69
dog_chr13,1,63241923,1100497,10941357,17.3008,0.34404,38.9,1.79
dog_chr14,1,60966679,954355,10150480,16.6492,0.309791,39,1.68
dog_chr15,1,64190966,1107888,11044133,17.2051,0.34135,38.9,1.77
dog_chr16,1,59632846,1023311,10148688,17.0186,0.338566,38.9,1.75
dog_chr17,1,64289059,1104259,10909769,16.9699,0.338939,38.9,1.78
dog_chr18,1,55844845,1067924,9898168,17.7244,0.377264,38.9,1.84
dog_chr19,1,53741614,830956,8982260,16.7138,0.306052,39,1.67
dog_chr2,1,85426708,1569940,14692863,17.1994,0.362396,38.9,1.84
dog_chr20,1,58134056,1204707,10303382,17.7235,0.409027,38.8,1.93
dog_chr21,1,50858623,801673,8272842,16.2664,0.311558,39,1.72
dog_chr22,1,61439934,961199,10435105,16.9842,0.309377,39,1.65
dog_chr23,1,52294480,824700,8628142,16.4991,0.311649,39,1.72
dog_chr24,1,47698779,949266,8459332,17.7349,0.392074,38.8,1.9
dog_chr25,1,51628933,940170,8979707,17.3928,0.359505,38.9,1.79
dog_chr26,1,38964690,745105,6659961,17.0923,0.376631,38.8,1.87
dog_chr27,1,45876710,745908,7564628,16.489,0.324477,38.7,1.75
dog_chr28,1,41182112,808420,7347469,17.8414,0.386743,38.9,1.88
dog_chr29,1,41845238,645654,6961461,16.6362,0.305291,39,1.66
dog_chr3,1,91889043,1666182,15681944,17.0662,0.51013,36.8,4.01
dog_chr30,1,40214260,696359,6776120,16.85,0.345375,38.7,1.76
dog_chr31,1,39895921,707365,7006619,17.5622,0.350153,39,1.74
dog_chr32,1,38810281,558905,6266495,16.1465,0.28573,39,1.59
dog_chr33,1,31377067,518602,5347275,17.042,0.326812,39,1.73
dog_chr34,1,42124431,717920,7289590,17.3049,0.336177,39,1.74
dog_chr35,1,26524999,450722,4520081,17.0408,0.335248,38.9,1.76
dog_chr36,1,30810995,509823,5333721,17.3111,0.327008,39,1.71
