#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
bear_CM057520.1	1	121185270	56260	1435539	1.18458	0.0176355	39.6	43.5
bear_CM057521.1	1	30884109	1415	32717	0.105935	0.00162673	39.6	42.3
bear_JALAAU020000001.1	1	109684021	72979	1822989	1.66204	0.0251207	39.5	43.4
bear_JALAAU020000010.1	1	80592695	49335	1293460	1.60493	0.0237886	39.6	43.6
bear_JALAAU020000102.1	1	104563	2	21	0.0200836	0.000401672	39.6	42
bear_JALAAU020000103.1	1	103861	5	242	0.233004	0.00350468	39.9	43.6
bear_JALAAU020000104.1	1	103710	523	4989	4.81053	0.111474	39.6	41.7
bear_JALAAU020000107.1	1	99161	30	763	0.769456	0.0111132	39.9	44
bear_JALAAU020000011.1	1	75848702	38397	1125641	1.48406	0.0213345	39.6	44
bear_JALAAU020000110.1	1	97305	8	293	0.301115	0.00425466	39.9	41.1
bear_JALAAU020000111.1	1	96854	395	5728	5.91406	0.108772	39.5	42
bear_JALAAU020000012.1	1	73797744	48689	1211652	1.64186	0.0247198	39.6	43.5
bear_JALAAU020000121.1	1	84100	2	19	0.0225922	0.000451843	40	40
bear_JALAAU020000123.1	1	81734	263	2178	2.66474	0.0718306	39.7	41.6
bear_JALAAU020000124.1	1	81183	2	20	0.0246357	0.000492714	40	42
bear_JALAAU020000126.1	1	81080	126	2150	2.6517	0.0444129	39.8	42.9
bear_JALAAU020000127.1	1	80790	20	357	0.441886	0.00804555	39.5	41
bear_JALAAU020000013.1	1	71981430	45556	1167545	1.62201	0.0241608	39.6	43.5
bear_JALAAU020000130.1	1	78943	2	22	0.0278682	0.000557364	40	48
bear_JALAAU020000135.1	1	76090	10	722	0.948876	0.0128532	39.9	46.1
bear_JALAAU020000136.1	1	75260	2	21	0.0279033	0.000558065	40	45.5
bear_JALAAU020000137.1	1	74076	275	2768	3.7367	0.0839813	39.7	41.5
bear_JALAAU020000014.1	1	71886606	88004	1595404	2.21933	0.0374003	39.6	42.6
bear_JALAAU020000140.1	1	73358	20	578	0.787917	0.0124594	39.9	45
bear_JALAAU020000145.1	1	70332	2	21	0.0298584	0.000582949	40	47
bear_JALAAU020000147.1	1	67459	34	797	1.18146	0.0174476	39.8	43.2
bear_JALAAU020000015.1	1	64761984	45282	1109750	1.71358	0.025707	39.6	43.4
bear_JALAAU020000150.1	1	65823	109	1437	2.18313	0.0404266	39.5	42.2
bear_JALAAU020000151.1	1	65697	2	19	0.0289207	0.000578413	39.6	40
bear_JALAAU020000152.1	1	64873	2	19	0.029288	0.00058576	39.6	40
bear_JALAAU020000156.1	1	63426	16	336	0.529751	0.00901838	39.7	43
bear_JALAAU020000158.1	1	63082	1	27	0.0428014	0.000428014	39.4	48
bear_JALAAU020000016.1	1	64080236	51864	1058368	1.65163	0.0264946	39.6	42.9
bear_JALAAU020000162.1	1	62556	10	78	0.124688	0.00306925	39.9	41.2
bear_JALAAU020000167.1	1	58821	4	38	0.0646028	0.00129206	35.1	38
bear_JALAAU020000017.1	1	61112326	41635	1004360	1.64347	0.0249857	39.6	43.4
bear_JALAAU020000170.1	1	57573	4	592	1.02826	0.0104216	39.8	60
bear_JALAAU020000172.1	1	57077	2	124	0.21725	0.00282075	40	31
bear_JALAAU020000175.1	1	56039	4	40	0.0713789	0.00142758	38.1	44
bear_JALAAU020000177.1	1	54573	2	221	0.404962	0.0054789	36.3	39
bear_JALAAU020000018.1	1	60946776	54193	1118115	1.83458	0.0296482	39.6	43
bear_JALAAU020000188.1	1	49134	4	172	0.350063	0.0118452	39.9	40
bear_JALAAU020000019.1	1	58187918	68496	1274175	2.18976	0.0364257	39.6	42.7
bear_JALAAU020000190.1	1	48951	4	19	0.0388143	0.00155257	39.4	40
bear_JALAAU020000193.1	1	47086	2	19	0.0403517	0.000807034	39.3	36
bear_JALAAU020000195.1	1	46867	4	20	0.0426739	0.00170696	38	46
bear_JALAAU020000196.1	1	46687	2	300	0.642577	0.00642577	39.2	37
bear_JALAAU020000002.1	1	104128533	106180	2082847	2.00027	0.0325439	39.6	42.8
bear_JALAAU020000020.1	1	57817726	34336	943264	1.63144	0.023836	39.6	43.8
bear_JALAAU020000201.1	1	43764	2	19	0.0434147	0.000868294	40	40
bear_JALAAU020000203.1	1	43128	4	248	0.575032	0.00783714	39.2	45
bear_JALAAU020000207.1	1	41404	4	39	0.0941938	0.00185972	38.8	40.5
bear_JALAAU020000021.1	1	55690195	36490	883421	1.58631	0.0240874	39.6	43.4
bear_JALAAU020000214.1	1	40144	6	374	0.931646	0.0147469	35.6	39
bear_JALAAU020000219.1	1	39579	1	24	0.0606382	0.000606382	40	30
bear_JALAAU020000022.1	1	63106708	45123	1113459	1.76441	0.0265167	39.6	43.5
bear_JALAAU020000224.1	1	38590	1	150	0.388702	0.00388702	38.6	31
bear_JALAAU020000226.1	1	38121	6	59	0.15477	0.00306917	39.6	42
bear_JALAAU020000023.1	1	48502576	49773	965158	1.98991	0.0328177	39.6	42.8
bear_JALAAU020000231.1	1	37067	8	79	0.213128	0.0042086	39.7	41.5
bear_JALAAU020000232.1	1	36929	6	59	0.159766	0.00319532	39.5	42.7
bear_JALAAU020000235.1	1	36581	2	19	0.0519395	0.00103879	40	40
bear_JALAAU020000239.1	1	34890	2	19	0.0544569	0.00108914	40	40
bear_JALAAU020000024.1	1	46151079	58830	1046307	2.26713	0.0381484	39.6	42.5
bear_JALAAU020000240.1	1	34852	6	432	1.23953	0.0258235	39.7	31
bear_JALAAU020000247.1	1	33635	4	34	0.101085	0.00225955	40	40
bear_JALAAU020000248.1	1	33391	6	57	0.170705	0.00341409	39.4	37.3
bear_JALAAU020000249.1	1	33341	24	213	0.638853	0.0145167	39.5	40.2
