#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
dog_chr1	1	122678785	36715	705398	0.574996	0.00875705	39.4	42.6
dog_chr10	1	69331447	23298	430227	0.620537	0.00963727	39.3	42.7
dog_chr11	1	74389097	17959	388968	0.522883	0.00774003	39.4	42.8
dog_chr12	1	72498081	16567	348414	0.480584	0.0071783	39.3	42.8
dog_chr13	1	63241923	16792	335582	0.530632	0.00798757	39.3	42.7
dog_chr14	1	60966679	13452	301647	0.494774	0.00716199	39.3	42.9
dog_chr15	1	64190966	16962	340387	0.530272	0.00797533	39.3	42.7
dog_chr16	1	59632846	15820	319820	0.536315	0.00805177	39.4	42.7
dog_chr17	1	64289059	17862	351958	0.547462	0.00823422	39.4	42.6
dog_chr18	1	55844845	18618	329250	0.58958	0.00932206	39.4	42.4
dog_chr19	1	53741614	11036	240765	0.448005	0.00647519	39.4	42.7
dog_chr2	1	85426708	27073	498025	0.582985	0.00899803	39.4	42.5
dog_chr20	1	58134056	23758	406150	0.698644	0.0114325	39.3	42.6
dog_chr21	1	50858623	11816	252017	0.495525	0.00727531	39.4	42.8
dog_chr22	1	61439934	13013	283934	0.462133	0.00669654	39.4	42.7
dog_chr23	1	52294480	12168	261916	0.500848	0.00729721	39.4	42.8
dog_chr24	1	47698779	17757	305839	0.641188	0.0101767	39.4	42.4
dog_chr25	1	51628933	15275	294386	0.570196	0.00866411	39.3	42.7
dog_chr26	1	38964690	14045	245353	0.62968	0.010039	39.3	42.5
dog_chr27	1	45876710	11378	245413	0.53494	0.00783814	39.3	42.9
dog_chr28	1	41182112	14847	258480	0.627651	0.00990066	39.3	42.4
dog_chr29	1	41845238	8730	191121	0.456733	0.00662711	39.3	42.7
dog_chr3	1	91889043	25326	475341	0.517299	0.0105064	37.6	42.6
dog_chr30	1	40214260	11465	228101	0.567214	0.00854311	39.4	42.8
dog_chr31	1	39895921	10478	202706	0.508087	0.00769923	39.3	42.5
dog_chr32	1	38810281	6929	181325	0.467209	0.00642747	39.4	43.3
dog_chr33	1	31377067	7654	159733	0.509076	0.00748814	39.4	42.7
dog_chr34	1	42124431	11178	230064	0.546153	0.00813037	39.4	42.8
dog_chr35	1	26524999	7197	147558	0.556298	0.00832106	39.4	42.7
dog_chr36	1	30810995	7210	151381	0.491321	0.00724563	39.3	42.8
dog_chr37	1	30902991	8351	168496	0.545242	0.00815698	39.4	42.8
dog_chr38	1	23914537	6910	137376	0.574446	0.0086907	39.3	42.7
dog_chr4	1	88276631	22272	462158	0.523534	0.00778112	39.4	42.7
dog_chr5	1	88915250	31186	562121	0.632199	0.00988981	39.3	42.5
dog_chr6	1	77573801	24893	456631	0.588641	0.00918124	39.3	42.5
dog_chr7	1	80974532	21006	422696	0.522011	0.00796508	39.4	42.7
dog_chr8	1	74330416	19894	403426	0.542747	0.00821502	39.3	42.8
dog_chr9	1	61074082	25352	424089	0.694385	0.0111646	39.3	42.4
dog_chrX	1	123869142	23909	413746	0.334019	0.00524323	39.3	42.1
dog_chrUn_JH373233	1	2660953	178	11184	0.420301	0.0048167	39.5	45.6
dog_chrUn_JH373234	1	1881673	26	1082	0.057502	0.000684497	39.8	45.5
dog_chrUn_JH373235	1	1415205	64	3255	0.230002	0.0027148	39.5	45.3
dog_chrUn_JH373236	1	1067467	30	1890	0.177055	0.00218555	39.2	43.3
dog_chrUn_JH373237	1	866315	15	441	0.0509053	0.000642953	39.1	41.9
dog_chrUn_JH373238	1	881102	40	2449	0.277947	0.00324367	38.1	44.3
dog_chrUn_JH373239	1	822601	97	3713	0.451373	0.0056297	39.4	45.3
dog_chrUn_JH373240	1	741967	28	1519	0.204726	0.00250011	39.7	44.3
dog_chrUn_JH373241	1	745551	30	1707	0.228958	0.00256455	39.6	47.1
dog_chrUn_JH373242	1	602611	58	2254	0.374039	0.00546123	39.6	44.3
dog_chrUn_JH373243	1	573630	556	7040	1.22727	0.0219323	39.3	42
dog_chrUn_JH373244	1	666183	17	1200	0.180131	0.00207451	39.4	43.6
dog_chrUn_JH373245	1	557017	40	2703	0.485263	0.00562101	39.2	47.2
dog_chrUn_JH373246	1	510604	18	442	0.0865641	0.00119075	39.9	42.6
dog_chrUn_JH373247	1	497093	26	1007	0.202578	0.00259106	39.4	44
dog_chrUn_JH373248	1	492630	24	1591	0.32296	0.00359702	39	46.5
dog_chrUn_JH373249	1	577062	43	1404	0.243301	0.00332373	39.3	44
dog_chrUn_JH373250	1	561270	30	1294	0.230549	0.00292016	38.7	45.6
dog_chrUn_JH373251	1	407330	26	1650	0.405077	0.00443621	39.9	44.6
dog_chrUn_AAEX03018827	1	405216	6	519	0.12808	0.00152511	39.9	41.3
dog_chrUn_JH373252	1	508668	22	1836	0.360943	0.00391218	39.8	45.7
dog_chrUn_JH373253	1	540093	26	2600	0.481399	0.00528428	39.8	46.5
dog_chrUn_JH373254	1	448434	45	1125	0.250873	0.00342079	39.7	44.1
dog_chrUn_JH373255	1	377800	12	1212	0.320805	0.00338274	37.2	46.7
dog_chrUn_JH373256	1	384880	18	987	0.256444	0.00293598	39.7	44.6
dog_chrUn_JH373257	1	367143	12	676	0.184124	0.00205097	39.7	45
dog_chrUn_JH373258	1	399987	16	727	0.181756	0.00211757	39.9	46
dog_chrUn_JH373259	1	376204	13	554	0.147261	0.00207069	39.2	43.5
dog_chrUn_JH373260	1	416178	3	44	0.0105724	0.000151378	40	37
dog_chrUn_JH373261	1	365470	22	1011	0.27663	0.00331081	39.6	45.5
dog_chrUn_JH373262	1	322752	4	38	0.0117737	0.000235475	38.7	40
dog_chrUn_JH373263	1	320591	4	39	0.012165	0.000243301	40	43
dog_chrUn_JH373264	1	310270	27	1126	0.36291	0.0047088	39.6	41.9
dog_chrUn_JH373265	1	433650	8	816	0.18817	0.00210308	39.7	43.9
dog_chrUn_JH373266	1	273228	7	470	0.172018	0.00187023	38.8	48.9
dog_chrUn_JH373267	1	281659	18	718	0.254918	0.00311369	39.8	43.9
