rname,startpos,endpos,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq
dog_chr1,1,122678785,31684,302255,0.246379,0.00519445,39.6,40.6
dog_chr10,1,69331447,21443,219919,0.317199,0.0064217,39.6,41
dog_chr11,1,74389097,14741,142008,0.190899,0.00401181,39.6,40.6
dog_chr12,1,72498081,13631,137340,0.189439,0.00389107,39.7,40.6
dog_chr13,1,63241923,14805,141075,0.223072,0.00471442,39.6,40.6
dog_chr14,1,60966679,10902,105830,0.173587,0.00360653,39.7,40.5
dog_chr15,1,64190966,15354,146354,0.227998,0.00484387,39.6,40.6
dog_chr16,1,59632846,14365,135275,0.226846,0.0048474,39.7,40.7
dog_chr17,1,64289059,16022,154345,0.24008,0.00498089,39.7,40.8
dog_chr18,1,55844845,16920,160222,0.286906,0.00610987,39.6,40.8
dog_chr19,1,53741614,9264,90197,0.167835,0.00348235,39.6,40.6
dog_chr2,1,85426708,24787,235895,0.276137,0.00580783,39.6,40.8
dog_chr20,1,58134056,20637,190395,0.32751,0.00728891,39.6,41
dog_chr21,1,50858623,9734,94337,0.185489,0.00390687,39.7,40.7
dog_chr22,1,61439934,10241,101162,0.164652,0.00338457,39.7,40.5
dog_chr23,1,52294480,10096,97429,0.186308,0.00392219,39.7,40.6
dog_chr24,1,47698779,16148,153895,0.322639,0.00678906,39.6,40.7
dog_chr25,1,51628933,13747,130647,0.25305,0.00532264,39.6,40.8
dog_chr26,1,38964690,12350,117085,0.30049,0.00635883,39.6,40.8
dog_chr27,1,45876710,9153,90121,0.196442,0.00406568,39.6,40.8
dog_chr28,1,41182112,13595,128769,0.312682,0.00657858,39.6,40.8
dog_chr29,1,41845238,7009,67904,0.162274,0.00340306,39.6,40.5
dog_chr3,1,91889043,34292,194477,0.211643,0.0271769,32.6,42.9
dog_chr30,1,40214260,9762,95507,0.237495,0.0048998,39.6,40.7
dog_chr31,1,39895921,10024,92552,0.231984,0.00503934,39.7,40.8
dog_chr32,1,38810281,5038,49314,0.127064,0.00269088,39.7,40.3
dog_chr33,1,31377067,6610,63186,0.201376,0.00424864,39.7,40.5
dog_chr34,1,42124431,9461,90297,0.214358,0.0045282,39.7,40.5
dog_chr35,1,26524999,6581,63385,0.238963,0.00495928,39.7,40.7
dog_chr36,1,30810995,6266,59978,0.194664,0.00412918,39.7,40.6
dog_chr37,1,30902991,7342,71154,0.23025,0.00478934,39.7,40.7
dog_chr38,1,23914537,6029,59614,0.249279,0.00515097,39.7,40.7
dog_chr4,1,88276631,18600,178479,0.202181,0.00427478,39.6,40.7
dog_chr5,1,88915250,27966,266541,0.29977,0.00629675,39.7,40.8
dog_chr6,1,77573801,21720,214638,0.276689,0.00572256,39.6,40.8
dog_chr7,1,80974532,17962,172251,0.212722,0.00446012,39.6,40.6
dog_chr8,1,74330416,16935,159393,0.214438,0.00468258,39.6,40.6
dog_chr9,1,61074082,22470,212825,0.34847,0.00738112,39.6,40.8
dog_chrX,1,123869142,20313,200205,0.161626,0.00335549,39.6,40.7
dog_chrUn_JH373233,1,2660953,131,1247,0.0468629,0.000962437,39.6,41.4
dog_chrUn_JH373234,1,1881673,51,367,0.0195039,0.000579272,39.8,37
dog_chrUn_JH373235,1,1415205,40,400,0.0282645,0.000560343,39.3,41.7
dog_chrUn_JH373236,1,1067467,12,117,0.0109605,0.000219211,39.9,42.3
dog_chrUn_JH373237,1,866315,28,280,0.0323208,0.000645262,39.9,41.1
dog_chrUn_JH373238,1,881102,14,142,0.0161162,0.000314379,39.3,41.4
dog_chrUn_JH373239,1,822601,83,862,0.10479,0.00202164,39.7,40.6
dog_chrUn_JH373240,1,741967,18,172,0.0231816,0.000463632,38.8,40.7
dog_chrUn_JH373241,1,745551,23,238,0.0319227,0.000671986,38.9,41.7
dog_chrUn_JH373242,1,602611,38,305,0.0506131,0.00129437,39.8,41.1
dog_chrUn_JH373243,1,573630,706,6661,1.1612,0.0244408,39.7,40.9
dog_chrUn_JH373244,1,666183,14,137,0.0205649,0.000411298,39.8,42
dog_chrUn_JH373245,1,557017,17,206,0.0369827,0.000608599,39.8,38.6
dog_chrUn_JH373246,1,510604,8,79,0.0154719,0.000309437,39.4,43.5
dog_chrUn_JH373247,1,497093,7,90,0.0181053,0.000311813,39.3,40.9
dog_chrUn_JH373248,1,492630,22,220,0.0446583,0.000885046,39.9,40.2
dog_chrUn_JH373249,1,577062,26,219,0.0379509,0.00088552,39.9,40.2
dog_chrUn_JH373250,1,561270,24,195,0.0347426,0.00083026,39.9,41.3
dog_chrUn_JH373251,1,407330,8,76,0.0186581,0.000373162,40,40
dog_chrUn_AAEX03018827,1,405216,4,40,0.00987128,0.000197426,38.8,39
dog_chrUn_JH373252,1,508668,8,76,0.014941,0.00029882,40,40
dog_chrUn_JH373253,1,540093,4,44,0.00814675,0.000162935,39.8,38
dog_chrUn_JH373254,1,448434,14,142,0.0316658,0.000631085,39.8,41.1
dog_chrUn_JH373255,1,377800,4,40,0.0105876,0.000209105,40,43.5
dog_chrUn_JH373256,1,384880,11,121,0.0314384,0.000563812,39.7,40.2
dog_chrUn_JH373257,1,367143,4,39,0.0106226,0.000209728,40,40
dog_chrUn_JH373258,1,399987,4,39,0.00975032,0.000195006,38.1,41
dog_chrUn_JH373259,1,376204,8,78,0.0207334,0.000414669,39.7,42
dog_chrUn_JH373260,1,416178,10,79,0.0189823,0.000463744,39.6,40.4
dog_chrUn_JH373261,1,365470,14,134,0.0366651,0.000733302,39.7,39.9
dog_chrUn_JH373262,1,322752,2,19,0.00588687,0.000117737,40,40
dog_chrUn_JH373263,1,320591,2,19,0.00592655,0.000118531,40,40
dog_chrUn_JH373264,1,310270,12,150,0.048345,0.000802527,39.5,42
dog_chrUn_JH373265,1,433650,2,20,0.00461201,8.99E-05,37.2,40
dog_chrUn_JH373266,1,273228,12,145,0.0530692,0.000878387,39.6,38.8
dog_chrUn_JH373268,1,320442,8,80,0.0249655,0.00049619,40,43.5
dog_chrUn_JH373269,1,265648,8,81,0.0304915,0.000606065,39.7,46
dog_chrUn_JH373270,1,241365,8,58,0.02403,0.000629752,39.5,40
dog_chrUn_JH373271,1,234529,2,19,0.00810134,0.000162027,36.1,40
dog_chrUn_JH373273,1,254975,11,124,0.0486322,0.000878518,39.9,37.5
dog_chrUn_JH373275,1,223744,2,22,0.00983267,0.000196653,40,37
dog_chrUn_JH373276,1,227140,2,19,0.00836489,0.000167298,39.6,40
dog_chrUn_JH373277,1,219672,4,42,0.0191194,0.000382388,39.8,45
dog_chrUn_AAEX03019065,1,214597,8,77,0.0358812,0.000717624,39.7,41.5
dog_chrUn_JH373278,1,386314,141,1356,0.35101,0.00723246,39.8,41.5
dog_chrUn_JH373279,1,204342,8,78,0.0381713,0.000763426,39.9,43
dog_chrUn_AAEX03019090,1,201724,12,84,0.0416411,0.00119966,38.4,38.5
dog_chrUn_JH373280,1,216332,2,20,0.00924505,0.000184901,40,42
dog_chrUn_AAEX03019097,1,200877,2,19,0.00945852,0.00018917,40,40
dog_chrUn_JH373281,1,310654,8,64,0.0206017,0.000540795,39,43.9
dog_chrUn_JH373282,1,200932,16,173,0.0860988,0.00173193,39.8,42.5
dog_chrUn_JH373283,1,201410,2,19,0.00943349,0.00018867,40,40
dog_chrUn_JH373284,1,292533,2,19,0.00649499,0.0001299,40,40
dog_chrUn_JH373285,1,192561,2,20,0.0103863,0.000207726,40,42
dog_chrUn_JH373287,1,197844,6,62,0.0313378,0.000626756,39.6,41
dog_chrUn_JH373288,1,196813,4,40,0.0203239,0.000406477,40,44
dog_chrUn_JH373289,1,180359,4,38,0.0210691,0.000421382,39.6,40
dog_chrUn_JH373290,1,210247,2,19,0.00903699,0.00018074,39.6,40
dog_chrUn_JH373291,1,177735,3,45,0.0253186,0.000360087,39.5,38.7
dog_chrUn_JH373292,1,172100,4,38,0.0220802,0.000441604,38,40
dog_chrUn_JH373293,1,166866,2,19,0.0113864,0.000227728,40,40
dog_chrUn_JH373294,1,164926,3,43,0.0260723,0.000375926,40,36.7
dog_chrUn_JH373295,1,157598,2,19,0.012056,0.00024112,40,40
dog_chrUn_JH373296,1,143980,211,1947,1.35227,0.0288096,39.6,41.3
dog_chrUn_JH373297,1,141074,47,472,0.334576,0.00668444,39.8,41.6
dog_chrUn_AAEX03019222,1,139526,4,41,0.0293852,0.000587704,40,44
dog_chrUn_AAEX03019231,1,138160,2,19,0.0137522,0.000275043,40,40
dog_chrUn_JH373299,1,142296,2,20,0.0140552,0.000281104,40,42
dog_chrUn_JH373300,1,133119,6,57,0.0428188,0.000856377,40,40
dog_chrUn_AAEX03019240,1,129748,12,98,0.075531,0.0018035,39.8,42.3
dog_chrUn_JH373301,1,127429,10,95,0.0745513,0.00149103,40,40
dog_chrUn_JH373302,1,128261,2,20,0.0155932,0.000311864,40,42
dog_chrUn_JH373303,1,131872,4,39,0.0295741,0.000591483,39.6,41
dog_chrUn_JH373304,1,133432,16,166,0.124408,0.00236825,39.3,39
dog_chrUn_JH373305,1,119670,2,19,0.015877,0.00031754,40,40
dog_chrUn_JH373307,1,120779,4,39,0.0322904,0.000645808,40,43
dog_chrUn_AAEX03019307,1,115952,13,107,0.0922796,0.00224231,39.5,39.5
dog_chrUn_JH373309,1,111908,6,60,0.0536155,0.0010455,39.5,40
dog_chrUn_JH373311,1,111759,82,687,0.614716,0.0144686,39.6,40.6
dog_chrUn_JH373312,1,108801,8,59,0.0542274,0.00147057,39.7,44
dog_chrUn_AAEX03019339,1,106428,14,22,0.0206713,0.00264968,39.8,45.3
dog_chrUn_AAEX03019341,1,104646,4,38,0.0363129,0.000726258,39.4,40
dog_chrUn_JH373314,1,103248,4,38,0.0368046,0.000736092,40,40
dog_chrUn_JH373316,1,118473,30,303,0.255754,0.00508133,39.9,41.4
dog_chrUn_JH373318,1,109585,2,21,0.0191632,0.000383264,40,48
dog_chrUn_JH373319,1,124049,14,115,0.0927053,0.00215238,39.8,40
dog_chrUn_JH373321,1,101741,25,192,0.188714,0.005514,39.8,37
dog_chrUn_JH373324,1,102992,8,78,0.075734,0.00151468,39.6,40.5
dog_chrUn_JH373325,1,95509,4,39,0.0408338,0.000806207,38.8,40
dog_chrUn_JH373326,1,92047,4,19,0.0206416,0.000825665,40,40
dog_chrUn_AAEX03019443,1,87753,2,19,0.0216517,0.000433034,40,40
dog_chrUn_JH373327,1,96536,2,20,0.0207177,0.000414353,40,46
dog_chrUn_JH373328,1,86544,8,62,0.0716399,0.00183722,39.8,40.5
dog_chrUn_JH373329,1,85476,46,458,0.535823,0.0106229,39.5,41.9
dog_chrUn_AAEX03019490,1,83291,2,19,0.0228116,0.000456232,40,40
dog_chrUn_AAEX03019491,1,82459,8,76,0.092167,0.00184334,39.9,40
dog_chrUn_AAEX03019492,1,81605,2,20,0.0245083,0.000490166,40,46
dog_chrUn_JH373331,1,82380,2,19,0.0230639,0.000461277,40,40
dog_chrUn_JH373332,1,102198,4,39,0.0381612,0.000763224,40,43
