#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
bear_CM057520.1	1	121185270	2629721	27818044	22.955	0.44772	39.4	2.65
bear_CM057521.1	1	30884109	182819	2589186	8.38355	0.13786	39.4	1.1
bear_JALAAU020000001.1	1	109684021	2926660	30567643	27.8688	0.563467	39.4	3.13
bear_JALAAU020000010.1	1	80592695	2122792	22394249	27.7869	0.553693	39.5	3.02
bear_JALAAU020000100.1	1	109353	154	2887	2.64007	0.0324179	39.5	0.0779
bear_JALAAU020000101.1	1	106065	57	5785	5.4542	0.0719087	39.6	0.842
bear_JALAAU020000102.1	1	104563	1399	19638	18.781	0.28226	39.2	0.329
bear_JALAAU020000103.1	1	103861	1836	19313	18.595	0.368078	39.3	0.145
bear_JALAAU020000104.1	1	103710	9810	43860	42.291	1.91384	39.4	4.96
bear_JALAAU020000105.1	1	101563	84	2904	2.85931	0.0315962	39.6	0.393
bear_JALAAU020000106.1	1	101150	51	5596	5.53238	0.0678596	39.4	0
bear_JALAAU020000107.1	1	99161	1955	23687	23.8874	0.42552	39.5	2.42
bear_JALAAU020000108.1	1	98021	77	6726	6.86179	0.0961835	39.7	1.12
bear_JALAAU020000109.1	1	97343	103	9738	10.0038	0.130415	39.5	0.816
bear_JALAAU020000011.1	1	75848702	1856151	20262641	26.7146	0.517467	39.5	2.91
bear_JALAAU020000110.1	1	97305	1415	16910	17.3783	0.299574	39.6	0.426
bear_JALAAU020000111.1	1	96854	6333	39065	40.3339	1.31702	39.3	4.15
bear_JALAAU020000112.1	1	95621	1205	39581	41.3936	0.940243	39.3	0.222
bear_JALAAU020000113.1	1	92258	61	2743	2.97318	0.0357259	39.4	0
bear_JALAAU020000114.1	1	90062	49	4841	5.37519	0.0728609	39.8	0.531
bear_JALAAU020000115.1	1	89074	73	2851	3.20071	0.0366661	39.6	0.123
bear_JALAAU020000116.1	1	88188	79	3499	3.96766	0.0486461	39.8	0.0886
bear_JALAAU020000117.1	1	87732	516	8476	9.66124	0.125541	39.4	0
bear_JALAAU020000118.1	1	87276	1950	20352	23.3191	0.456712	39.5	0.0528
bear_JALAAU020000119.1	1	87275	95	7483	8.57405	0.135824	39.4	0.316
bear_JALAAU020000012.1	1	73797744	1919440	20103887	27.2419	0.548981	39.4	3.18
bear_JALAAU020000120.1	1	84924	723	10868	12.7973	0.17949	39.4	0
bear_JALAAU020000121.1	1	84100	228	7607	9.04518	0.142949	36.5	2.07
bear_JALAAU020000122.1	1	83516	262	5244	6.27904	0.0773026	39.6	0
bear_JALAAU020000123.1	1	81734	5101	27061	33.1086	1.3066	38.5	4.46
bear_JALAAU020000124.1	1	81183	103	4763	5.86699	0.0798689	39.5	0.825
bear_JALAAU020000125.1	1	81085	244	4593	5.66443	0.0720972	39.3	0
bear_JALAAU020000126.1	1	81080	2577	23084	28.4706	0.659373	39.4	4.42
bear_JALAAU020000127.1	1	80790	735	9513	11.775	0.240005	39	3.69
bear_JALAAU020000128.1	1	79710	64	7128	8.94242	0.113461	39.5	0.688
bear_JALAAU020000129.1	1	79402	52	1407	1.772	0.0209441	39.3	1.44
bear_JALAAU020000013.1	1	71981430	1907368	19990836	27.7722	0.557481	39.5	3.08
bear_JALAAU020000130.1	1	78943	168	6403	8.11092	0.119567	39.3	1.63
bear_JALAAU020000131.1	1	78387	31	416	0.5307	0.0076033	39.9	0.194
bear_JALAAU020000132.1	1	78235	28	1151	1.47121	0.0170001	39	2.04
bear_JALAAU020000133.1	1	77661	108	3954	5.09136	0.0708206	39.6	1.36
bear_JALAAU020000134.1	1	76652	34	2879	3.75594	0.0431561	39.4	0.912
bear_JALAAU020000135.1	1	76090	877	12456	16.3701	0.247588	39.6	0.473
bear_JALAAU020000136.1	1	75260	1214	15641	20.7826	0.350385	39.5	0.89
bear_JALAAU020000137.1	1	74076	5940	32881	44.3882	1.62312	39.4	3.47
bear_JALAAU020000138.1	1	74064	904	13273	17.921	0.261017	39.5	0
bear_JALAAU020000139.1	1	73438	30	2810	3.82636	0.0505597	39.1	0
bear_JALAAU020000014.1	1	71886606	2413920	20849516	29.0033	0.696981	39.4	3.7
bear_JALAAU020000140.1	1	73358	546	9388	12.7975	0.202432	39	3.25
bear_JALAAU020000141.1	1	73154	41	3770	5.15351	0.0643984	39.8	0
bear_JALAAU020000142.1	1	72558	26	2074	2.8584	0.0358196	39.3	0
bear_JALAAU020000143.1	1	71246	357	7053	9.8995	0.138267	39.4	0.171
bear_JALAAU020000144.1	1	70971	690	10556	14.8737	0.213848	39.5	0
bear_JALAAU020000145.1	1	70332	149	3296	4.68634	0.0709919	38.8	3.27
bear_JALAAU020000146.1	1	69764	73	7615	10.9154	0.136044	39.7	0.356
bear_JALAAU020000147.1	1	67459	900	8592	12.7366	0.270075	39.5	2.11
bear_JALAAU020000148.1	1	67413	16	1782	2.64341	0.0319671	39.5	0
bear_JALAAU020000149.1	1	66149	20	2128	3.21698	0.0413914	39.8	0
bear_JALAAU020000015.1	1	64761984	1735277	18050161	27.8715	0.562222	39.5	3.18
bear_JALAAU020000150.1	1	65823	2729	22394	34.0215	0.830166	39.4	3.6
bear_JALAAU020000151.1	1	65697	124	6532	9.94262	0.135486	38.9	1.78
bear_JALAAU020000152.1	1	64873	226	13483	20.7837	0.312102	39.1	1.15
bear_JALAAU020000153.1	1	64143	792	24980	38.9442	0.823441	39.3	0.0783
bear_JALAAU020000154.1	1	63994	51	3112	4.86296	0.0572554	38.9	1.04
bear_JALAAU020000155.1	1	63894	160	5828	9.12136	0.128431	38.6	1.59
bear_JALAAU020000156.1	1	63426	486	5496	8.66522	0.167707	39.2	2.69
bear_JALAAU020000157.1	1	63118	23	2271	3.59802	0.040147	39.6	0
bear_JALAAU020000158.1	1	63082	151	5450	8.63955	0.146207	39.2	0.358
bear_JALAAU020000159.1	1	63069	98	2931	4.64729	0.0647386	39.5	2.57
bear_JALAAU020000016.1	1	64080236	1550763	14979770	23.3766	0.511042	39.4	3.49
bear_JALAAU020000160.1	1	62881	49	3514	5.58833	0.0748875	38	1.65
bear_JALAAU020000161.1	1	62862	925	12267	19.5142	0.303108	39.3	0.208
bear_JALAAU020000162.1	1	62556	141	2317	3.70388	0.0695857	38.6	4.14
bear_JALAAU020000163.1	1	62239	745	10091	16.2133	0.243111	39.4	0.0188
bear_JALAAU020000164.1	1	61562	20	1962	3.18703	0.0421851	39.3	0
bear_JALAAU020000165.1	1	60017	286	5703	9.50231	0.108153	39.7	0.0035
bear_JALAAU020000166.1	1	59359	71	1394	2.34842	0.0281339	39.3	0
bear_JALAAU020000167.1	1	58821	182	12351	20.9976	0.297921	39.5	0.819
bear_JALAAU020000168.1	1	58817	162	2513	4.27257	0.0713739	39.3	0.0432
bear_JALAAU020000169.1	1	57977	355	6443	11.113	0.147214	39.5	0
bear_JALAAU020000017.1	1	61112326	1617428	16784443	27.4649	0.556641	39.4	3.16
bear_JALAAU020000170.1	1	57573	518	7363	12.789	0.203047	39.3	0.707
bear_JALAAU020000171.1	1	57457	61	1743	3.03357	0.038829	39.8	0
bear_JALAAU020000172.1	1	57077	803	26624	46.6458	1.02742	39.3	0.331
bear_JALAAU020000173.1	1	56693	49	2259	3.98462	0.0541689	39.4	0
bear_JALAAU020000174.1	1	56180	101	2472	4.40014	0.0555892	39.5	0.792
bear_JALAAU020000175.1	1	56039	230	5988	10.6854	0.172969	39.5	2.42
bear_JALAAU020000176.1	1	55288	730	10433	18.8703	0.27912	39.6	0.571
bear_JALAAU020000177.1	1	54573	43	2256	4.13391	0.0506844	39.7	0.14
bear_JALAAU020000178.1	1	54014	125	3074	5.69112	0.0787388	39.3	0.24
bear_JALAAU020000179.1	1	52877	720	24656	46.629	0.985287	39.2	0.167
bear_JALAAU020000018.1	1	60946776	1802916	17251451	28.3058	0.61941	39.4	3.4
bear_JALAAU020000180.1	1	52383	60	1646	3.14224	0.0374549	39.7	0
bear_JALAAU020000181.1	1	52354	3	65	0.124155	0.00124155	37.2	0
bear_JALAAU020000182.1	1	51873	38	2177	4.19679	0.0469223	39.8	0
bear_JALAAU020000183.1	1	51731	397	7078	13.6823	0.18198	39.4	0
bear_JALAAU020000184.1	1	50962	482	7418	14.5559	0.216259	39.5	0
bear_JALAAU020000185.1	1	50928	12	1139	2.23649	0.0251532	39.9	0
bear_JALAAU020000186.1	1	50255	38	3135	6.23819	0.0818625	39.1	0.0789
bear_JALAAU020000187.1	1	49370	5	512	1.03707	0.0151914	36.7	0
bear_JALAAU020000188.1	1	49134	911	23305	47.4315	1.42056	39.4	0.729
bear_JALAAU020000189.1	1	48962	203	4080	8.33299	0.0985254	39.7	0
bear_JALAAU020000019.1	1	58187918	1915148	16957014	29.1418	0.684621	39.4	3.66
bear_JALAAU020000190.1	1	48951	430	7125	14.5554	0.19589	39.4	0.498
bear_JALAAU020000191.1	1	48076	72	3925	8.16416	0.104959	39.4	0.0417
bear_JALAAU020000192.1	1	47618	30	1054	2.21345	0.0233945	39.6	0
bear_JALAAU020000193.1	1	47086	663	20242	42.9894	0.988256	39.4	0.136
bear_JALAAU020000194.1	1	46959	115	5823	12.4002	0.169169	39.5	0
bear_JALAAU020000195.1	1	46867	137	3576	7.6301	0.123925	39.5	3.76
bear_JALAAU020000196.1	1	46687	449	18522	39.6727	0.768115	39.2	0.307
bear_JALAAU020000197.1	1	46556	410	6051	12.9973	0.206697	39.4	0
bear_JALAAU020000198.1	1	46332	54	1790	3.86342	0.0452387	39.8	0
bear_JALAAU020000199.1	1	45670	196	4015	8.79133	0.108802	39.7	0.0051
bear_JALAAU020000002.1	1	104128533	3199040	29716798	28.5386	0.640571	39.4	3.54
bear_JALAAU020000020.1	1	57817726	1451219	15626706	27.0275	0.530619	39.4	3.06
bear_JALAAU020000200.1	1	45404	62	1323	2.91384	0.0334993	38.9	0
bear_JALAAU020000201.1	1	43764	95	1702	3.88904	0.0589526	38.6	1.41
bear_JALAAU020000202.1	1	43667	25	381	0.872512	0.0117709	38.5	0.24
bear_JALAAU020000203.1	1	43128	561	6238	14.4639	0.271703	39.1	2.47
bear_JALAAU020000204.1	1	42803	17	1960	4.57912	0.0565147	39.9	0
bear_JALAAU020000205.1	1	42677	26	951	2.22837	0.0242988	39.2	0
bear_JALAAU020000206.1	1	42348	605	19021	44.9159	1.0405	39.4	0
bear_JALAAU020000207.1	1	41404	171	1561	3.77017	0.0930103	39.5	2.88
bear_JALAAU020000208.1	1	41311	76	2168	5.248	0.0611944	39.7	0
bear_JALAAU020000209.1	1	41290	56	1629	3.94527	0.0456527	39.7	0
bear_JALAAU020000021.1	1	55690195	1413606	14674532	26.3503	0.536571	39.4	3.18
bear_JALAAU020000210.1	1	41253	265	7868	19.0726	0.330497	37.1	0.86
bear_JALAAU020000211.1	1	41114	133	8583	20.8761	0.315391	37.5	0
bear_JALAAU020000212.1	1	40555	156	4409	10.8717	0.140279	39.2	0
bear_JALAAU020000213.1	1	40176	53	3671	9.1373	0.118429	39	1.02
bear_JALAAU020000214.1	1	40144	390	13778	34.3214	0.856342	35.6	1.15
bear_JALAAU020000215.1	1	39871	68	4470	11.2112	0.147952	39.7	0
bear_JALAAU020000216.1	1	39812	282	4317	10.8435	0.14576	39.4	0.0213
bear_JALAAU020000217.1	1	39687	385	5528	13.929	0.20707	39.6	0
bear_JALAAU020000218.1	1	39651	43	1453	3.66447	0.0512471	39.5	0.698
bear_JALAAU020000219.1	1	39579	669	8132	20.5462	0.342985	39.3	0.511
bear_JALAAU020000022.1	1	63106708	1654861	17155012	27.1841	0.552203	39.4	3.27
bear_JALAAU020000220.1	1	39569	13	1402	3.54318	0.0459703	39.9	0
bear_JALAAU020000221.1	1	39195	24	1827	4.66131	0.0519709	37.9	0.0417
bear_JALAAU020000222.1	1	38932	17	1536	3.94534	0.0617487	39.8	0
bear_JALAAU020000223.1	1	38867	572	8163	21.0024	0.329843	39.4	0.217
bear_JALAAU020000224.1	1	38590	130	4909	12.7209	0.185255	37.6	1.9
bear_JALAAU020000225.1	1	38290	22	1870	4.88378	0.0546618	39.8	0
bear_JALAAU020000226.1	1	38121	191	3804	9.97875	0.190184	38.8	3.39
bear_JALAAU020000227.1	1	38058	514	16819	44.1931	0.953045	39.3	0.0233
bear_JALAAU020000228.1	1	37921	166	3524	9.293	0.11371	39.4	0.62
bear_JALAAU020000229.1	1	37707	62	1872	4.9646	0.0596441	39.3	0
bear_JALAAU020000023.1	1	48502576	1499671	13815954	28.485	0.644692	39.4	3.5
bear_JALAAU020000230.1	1	37695	229	3561	9.44688	0.122324	38.8	0
bear_JALAAU020000231.1	1	37067	133	3548	9.57186	0.134243	39.5	1.71
bear_JALAAU020000232.1	1	36929	113	4196	11.3623	0.154404	38.3	2.75
bear_JALAAU020000233.1	1	36877	32	2166	5.87358	0.0706402	36.5	3.91
bear_JALAAU020000234.1	1	36758	250	3153	8.57772	0.147288	39.4	0
bear_JALAAU020000235.1	1	36581	526	7024	19.2012	0.305104	39.6	0.538
bear_JALAAU020000236.1	1	36055	29	1241	3.44196	0.0376647	39.8	0
bear_JALAAU020000237.1	1	35786	60	1286	3.59358	0.0473649	39.8	0
bear_JALAAU020000238.1	1	35772	21	619	1.7304	0.0189534	39.9	0
bear_JALAAU020000239.1	1	34890	127	4458	12.7773	0.178533	37.5	4.09
bear_JALAAU020000024.1	1	46151079	1667068	13845403	30.0002	0.74813	39.3	3.61
bear_JALAAU020000240.1	1	34852	538	16715	47.9599	1.23319	39.1	1.95
bear_JALAAU020000241.1	1	34834	435	17663	50.7062	0.994431	39.5	0
bear_JALAAU020000242.1	1	34456	38	3171	9.20304	0.112317	38.8	0.158
bear_JALAAU020000243.1	1	34337	63	1809	5.26837	0.0662259	39.7	0
bear_JALAAU020000244.1	1	34309	77	2006	5.84686	0.0827771	39.1	2.74
bear_JALAAU020000245.1	1	33886	462	6714	19.8135	0.298442	39.3	0.773
bear_JALAAU020000246.1	1	33785	64	3473	10.2797	0.130916	38.7	0.828
bear_JALAAU020000247.1	1	33635	235	4509	13.4057	0.268203	35.5	0.443
bear_JALAAU020000248.1	1	33391	349	3479	10.419	0.221736	37.4	1.87
bear_JALAAU020000249.1	1	33341	453	4191	12.5701	0.305	39.3	3.62
bear_JALAAU020000025.1	1	46104908	1374048	13193898	28.6171	0.623753	39.4	3.45
bear_JALAAU020000250.1	1	32720	467	15993	48.8784	1.0294	38.6	1.13
bear_JALAAU020000251.1	1	32693	5	511	1.56303	0.0189337	39.7	0
bear_JALAAU020000252.1	1	32462	67	1447	4.45752	0.0680796	39.6	1.73
bear_JALAAU020000253.1	1	32309	309	4915	15.2125	0.203566	39.6	0
bear_JALAAU020000254.1	1	32048	25	841	2.62419	0.0316088	39.1	0
bear_JALAAU020000255.1	1	32026	508	6798	21.2265	0.328296	39.6	0.0984
bear_JALAAU020000256.1	1	31577	82	3108	9.84261	0.166514	39.2	1.44
bear_JALAAU020000257.1	1	31423	102	1155	3.67565	0.0749133	38.7	4.43
bear_JALAAU020000258.1	1	31168	411	5480	17.5821	0.284041	39.5	2.74
bear_JALAAU020000259.1	1	31000	262	6747	21.7645	0.670032	39.3	5.4
bear_JALAAU020000026.1	1	44501725	1208788	12179485	27.3686	0.633485	38.2	3.42
bear_JALAAU020000260.1	1	30977	50	1686	5.44275	0.073603	39.5	0
