#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
bear_CM057520.1	1	121185270	3046904	23899425	19.7214	0.504722	39.6	2.3
bear_CM057521.1	1	30884109	198645	1916606	6.2058	0.130977	39.5	0.891
bear_JALAAU020000001.1	1	109684021	3405383	25558978	23.3024	0.62483	39.5	2.54
bear_JALAAU020000010.1	1	80592695	2510358	18808745	23.338	0.625475	39.6	2.45
bear_JALAAU020000100.1	1	109353	159	2516	2.30081	0.028376	39.8	0.00629
bear_JALAAU020000101.1	1	106065	17	1754	1.6537	0.0178853	39.7	0
bear_JALAAU020000102.1	1	104563	1695	15527	14.8494	0.322409	39.5	0.572
bear_JALAAU020000103.1	1	103861	2133	18470	17.7834	0.418973	39.5	0.221
bear_JALAAU020000104.1	1	103710	9215	38785	37.3976	1.75631	39.4	4.52
bear_JALAAU020000105.1	1	101563	98	2860	2.81599	0.0343432	39.5	0
bear_JALAAU020000106.1	1	101150	17	1352	1.33663	0.0161542	39.9	0
bear_JALAAU020000107.1	1	99161	2144	18431	18.5869	0.431742	39.6	2.02
bear_JALAAU020000108.1	1	98021	35	3175	3.2391	0.044215	39	0.857
bear_JALAAU020000109.1	1	97343	42	3383	3.47534	0.0405679	39.6	0.0476
bear_JALAAU020000011.1	1	75848702	2245198	16972419	22.3767	0.595657	39.6	2.32
bear_JALAAU020000110.1	1	97305	1813	15351	15.7762	0.377237	39.6	0.597
bear_JALAAU020000111.1	1	96854	6073	35908	37.0744	1.25635	39.3	4.62
bear_JALAAU020000112.1	1	95621	806	22716	23.7563	0.456741	39.3	0.159
bear_JALAAU020000113.1	1	92258	44	1464	1.58685	0.0178088	39.2	0.409
bear_JALAAU020000114.1	1	90062	21	1842	2.04526	0.0277253	39.8	0
bear_JALAAU020000115.1	1	89074	75	2120	2.38004	0.0286503	39.7	0.16
bear_JALAAU020000116.1	1	88188	78	2329	2.64095	0.0322946	39.4	0.0769
bear_JALAAU020000117.1	1	87732	612	7486	8.5328	0.141066	39.5	0
bear_JALAAU020000118.1	1	87276	1975	17658	20.2324	0.451957	39.6	0.00962
bear_JALAAU020000119.1	1	87275	46	3657	4.1902	0.05446	39.8	0.87
bear_JALAAU020000012.1	1	73797744	2202281	16691037	22.6173	0.599378	39.5	2.56
bear_JALAAU020000120.1	1	84924	851	9401	11.0699	0.201345	39.5	0
bear_JALAAU020000121.1	1	84100	159	2251	2.67658	0.0485612	36	0.648
bear_JALAAU020000122.1	1	83516	258	4030	4.82542	0.0634609	39.6	0
bear_JALAAU020000123.1	1	81734	4626	21441	26.2327	1.15285	38.6	4.58
bear_JALAAU020000124.1	1	81183	75	1967	2.42292	0.034219	39.6	2.13
bear_JALAAU020000125.1	1	81085	279	4472	5.5152	0.0736141	39.7	0
bear_JALAAU020000126.1	1	81080	2713	19391	23.9159	0.669734	39.5	3.46
bear_JALAAU020000127.1	1	80790	652	6347	7.85617	0.178698	39.3	2.48
