rname,startpos,endpos,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq
dog_chr1,1,122678785,1512131,89829919,73.2237,1.8232,39.5,59.7
dog_chr10,1,69331447,891570,51886940,74.839,1.90022,39.5,59.7
dog_chr11,1,74389097,873106,53111512,71.3969,1.7373,39.5,59.6
dog_chr12,1,72498081,816347,50822600,70.102,1.66584,39.5,59.7
dog_chr13,1,63241923,733569,44883234,70.9707,1.71605,39.5,59.7
dog_chr14,1,60966679,687485,42801761,70.2052,1.66993,39.5,59.7
dog_chr15,1,64190966,756527,45943202,71.5727,1.74231,39.5,59.7
dog_chr16,1,59632846,724763,42689464,71.5872,1.79816,39.5,59.5
dog_chr17,1,64289059,796622,47240935,73.4821,1.83332,39.5,59.7
dog_chr18,1,55844845,710366,41090724,73.5802,1.87964,39.5,59.7
dog_chr19,1,53741614,593801,37326812,69.4561,1.6355,39.5,59.7
dog_chr2,1,85426708,1091774,63075832,73.8362,1.88928,39.5,59.6
dog_chr20,1,58134056,783948,44603344,76.725,1.99238,39.5,59.7
dog_chr21,1,50858623,602226,36536414,71.8392,1.75245,39.5,59.6
dog_chr22,1,61439934,658447,41912272,68.2167,1.58779,39.5,59.7
dog_chr23,1,52294480,627905,37876505,72.4293,1.77726,39.5,59.7
dog_chr24,1,47698779,646669,36789955,77.1298,2.00383,39.5,59.7
dog_chr25,1,51628933,627720,37626550,72.8788,1.79879,39.5,59.7
dog_chr26,1,38964690,538884,29861223,76.6366,2.04319,39.5,59.6
dog_chr27,1,45876710,542371,32964671,71.8549,1.74809,39.5,59.7
dog_chr28,1,41182112,541560,31263905,75.9162,1.94359,39.5,59.7
dog_chr29,1,41845238,460169,29118451,69.5861,1.62737,39.5,59.6
dog_chr3,1,91889043,1097879,65979447,71.8034,1.76772,39.4,59.5
dog_chr30,1,40214260,496071,29636766,73.6972,1.82293,39.5,59.7
dog_chr31,1,39895921,425524,26371241,66.1001,1.57689,39.5,59.7
dog_chr32,1,38810281,402200,26214427,67.5451,1.53301,39.5,59.6
dog_chr33,1,31377067,360270,22151474,70.5977,1.69398,39.5,59.7
dog_chr34,1,42124431,502320,30497799,72.3993,1.76406,39.5,59.7
dog_chr35,1,26524999,337689,19902661,75.0336,1.88183,39.5,59.7
dog_chr36,1,30810995,348041,21705963,70.4488,1.67091,39.5,59.7
dog_chr37,1,30902991,366566,22273539,72.0757,1.75358,39.5,59.7
dog_chr38,1,23914537,289158,17211662,71.9715,1.78503,39.5,59.7
dog_chr4,1,88276631,1049424,63695105,72.154,1.75948,39.5,59.7
dog_chr5,1,88915250,1218897,68749909,77.3207,2.02623,39.5,59.8
dog_chr6,1,77573801,995522,57886270,74.6209,1.89672,39.5,59.7
dog_chr7,1,80974532,1001080,58922822,72.7671,1.82871,39.5,59.6
dog_chr8,1,74330416,900155,53555300,72.0503,1.79133,39.5,59.6
dog_chr9,1,61074082,876191,46972547,76.9108,2.11786,39.4,59.6
dog_chrX,1,123869142,1427220,87106637,70.3215,1.70789,39.5,59.5
dog_chrUn_JH373233,1,2660953,32780,1845213,69.3441,1.84038,39.5,54
dog_chrUn_JH373234,1,1881673,9625,487872,25.9276,0.764569,39.6,48.5
dog_chrUn_JH373235,1,1415205,12252,594094,41.9794,1.2931,39.6,51.7
dog_chrUn_JH373236,1,1067467,8872,465583,43.6157,1.24157,39.5,50.8
dog_chrUn_JH373237,1,866315,1032,61761,7.12916,0.177948,39.6,44.5
dog_chrUn_JH373238,1,881102,11647,509978,57.8796,1.97658,39.5,51.1
dog_chrUn_JH373239,1,822601,9363,441153,53.629,1.68949,39.5,58.5
dog_chrUn_JH373240,1,741967,3502,237100,31.9556,0.705752,39.6,47.9
dog_chrUn_JH373241,1,745551,5594,316696,42.4781,1.1209,39.5,53.6
dog_chrUn_JH373242,1,602611,7788,435566,72.2798,1.93032,39.5,54.5
dog_chrUn_JH373243,1,573630,9355,463822,80.8573,2.40081,39.4,59.7
dog_chrUn_JH373244,1,666183,5288,255554,38.3609,1.18698,39.6,49.3
dog_chrUn_JH373245,1,557017,7353,392739,70.5075,1.97394,39.5,54.3
dog_chrUn_JH373246,1,510604,2194,120164,23.5337,0.642316,39.5,47
dog_chrUn_JH373247,1,497093,5721,255777,51.4546,1.716,39.5,54
dog_chrUn_JH373248,1,492630,5994,298461,60.5852,1.80983,39.5,51
dog_chrUn_JH373249,1,577062,5770,307660,53.3149,1.49225,39.5,55.3
dog_chrUn_JH373250,1,561270,5639,317869,56.6339,1.50061,39.6,54.3
dog_chrUn_JH373251,1,407330,2391,163131,40.0489,0.877227,39.6,49.9
dog_chrUn_AAEX03018827,1,405216,4533,191464,47.2499,1.67304,39.6,48.2
dog_chrUn_JH373252,1,508668,3919,222545,43.7505,1.15243,39.5,50.6
dog_chrUn_JH373253,1,540093,10681,217851,40.3358,2.95705,39.5,50.4
