#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
bear_CM057520.1	1	121185270	1396802	12755440	10.5256	0.22845	39.4	1.52
bear_CM057521.1	1	30884109	107933	1144004	3.70418	0.0694649	39.3	0.572
bear_JALAAU020000001.1	1	109684021	1574329	13722281	12.5107	0.284572	39.4	1.69
bear_JALAAU020000010.1	1	80592695	1127356	9855559	12.2288	0.277096	39.4	1.69
bear_JALAAU020000100.1	1	109353	100	1340	1.22539	0.0179693	39.1	0
bear_JALAAU020000101.1	1	106065	2	39	0.0367699	0.000367699	40	0
bear_JALAAU020000102.1	1	104563	902	10113	9.67168	0.171179	39.4	0.448
bear_JALAAU020000103.1	1	103861	1052	9691	9.33074	0.199806	39.3	0.0837
bear_JALAAU020000104.1	1	103710	6871	32971	31.7915	1.30886	39.3	2.69
bear_JALAAU020000105.1	1	101563	33	625	0.615382	0.00680366	38.4	0.364
bear_JALAAU020000106.1	1	101150	2	42	0.0415225	0.000415225	40	0
bear_JALAAU020000107.1	1	99161	1201	9554	9.63484	0.238158	39.4	1.23
bear_JALAAU020000108.1	1	98021	14	218	0.222401	0.00276471	39.8	0
bear_JALAAU020000109.1	1	97343	10	173	0.177722	0.00197241	39.9	0
bear_JALAAU020000011.1	1	75848702	942680	8521601	11.235	0.246968	39.4	1.55
bear_JALAAU020000110.1	1	97305	743	6904	7.09522	0.152562	39.5	0.219
bear_JALAAU020000111.1	1	96854	4669	29221	30.1702	0.94755	39.3	2.37
bear_JALAAU020000112.1	1	95621	863	12585	13.1613	0.419667	39.6	0.0174
bear_JALAAU020000113.1	1	92258	31	607	0.657938	0.00677448	38.4	0
bear_JALAAU020000114.1	1	90062	9	424	0.470787	0.00484111	39.1	0
bear_JALAAU020000115.1	1	89074	38	579	0.650021	0.00853223	39.6	0
bear_JALAAU020000116.1	1	88188	129	630	0.714383	0.0287341	39.3	0.0543
bear_JALAAU020000117.1	1	87732	328	3856	4.3952	0.072995	39.4	0
bear_JALAAU020000118.1	1	87276	1059	10927	12.5201	0.239344	39.3	0.000944
bear_JALAAU020000119.1	1	87275	4	292	0.334575	0.0038499	39.5	0
bear_JALAAU020000012.1	1	73797744	1044475	9115762	12.3524	0.28023	39.4	1.71
bear_JALAAU020000120.1	1	84924	332	4477	5.27177	0.0770571	39.5	0
bear_JALAAU020000121.1	1	84100	109	1322	1.57194	0.0263615	37.1	0.422
bear_JALAAU020000122.1	1	83516	151	2216	2.65338	0.035574	39.3	0
bear_JALAAU020000123.1	1	81734	2991	17478	21.384	0.73278	39.1	2.32
bear_JALAAU020000124.1	1	81183	52	745	0.91768	0.0125273	38.7	0.173
bear_JALAAU020000125.1	1	81085	141	2225	2.74403	0.034285	39.5	0
bear_JALAAU020000126.1	1	81080	1666	13632	16.813	0.409164	39.3	2.14
bear_JALAAU020000127.1	1	80790	505	4221	5.22466	0.1266	39.1	1.64
bear_JALAAU020000128.1	1	79710	3	267	0.334964	0.00401455	39.5	0
bear_JALAAU020000129.1	1	79402	43	709	0.892925	0.0137402	38.6	0.93
bear_JALAAU020000013.1	1	71981430	1027970	8897624	12.361	0.282932	39.4	1.69
bear_JALAAU020000130.1	1	78943	102	1037	1.31361	0.0253221	38.7	1.27
bear_JALAAU020000131.1	1	78387	17	262	0.334239	0.00431194	39.7	0
bear_JALAAU020000132.1	1	78235	18	213	0.272257	0.00442257	39	0
bear_JALAAU020000133.1	1	77661	100	850	1.0945	0.0253795	38.9	1.42
bear_JALAAU020000134.1	1	76652	11	190	0.247874	0.00272661	38.2	0
bear_JALAAU020000135.1	1	76090	390	5086	6.68419	0.101761	39.6	0.0846
bear_JALAAU020000136.1	1	75260	561	6119	8.13048	0.146652	39.3	0.303
bear_JALAAU020000137.1	1	74076	4065	24447	33.0026	1.0778	39.4	2.34
bear_JALAAU020000138.1	1	74064	617	5331	7.19783	0.164425	39.5	0.0146
bear_JALAAU020000139.1	1	73438	4	88	0.119829	0.00119829	40	0
bear_JALAAU020000014.1	1	71886606	1469471	11197177	15.5762	0.403548	39.3	2.02
bear_JALAAU020000140.1	1	73358	410	4409	6.01025	0.109654	39.2	1.52
bear_JALAAU020000141.1	1	73154	1	19	0.0259726	0.000259726	40	0
bear_JALAAU020000142.1	1	72558	6	115	0.158494	0.00158494	39	0
bear_JALAAU020000143.1	1	71246	232	3092	4.33989	0.0642703	39.2	0
bear_JALAAU020000144.1	1	70971	429	4396	6.19408	0.119049	39.6	0
bear_JALAAU020000145.1	1	70332	119	1309	1.86117	0.0369249	39.3	2.18
bear_JALAAU020000146.1	1	69764	9	364	0.521759	0.00623531	40	0
bear_JALAAU020000147.1	1	67459	618	5635	8.35322	0.180391	39.1	1.92
bear_JALAAU020000148.1	1	67413	9	116	0.172074	0.00261077	37.5	0
bear_JALAAU020000149.1	1	66149	2	42	0.063493	0.00063493	39.6	0
bear_JALAAU020000015.1	1	64761984	968925	8413497	12.9914	0.296173	39.4	1.78
bear_JALAAU020000150.1	1	65823	1929	14656	22.2658	0.573158	39.4	2.18
bear_JALAAU020000151.1	1	65697	64	1121	1.70632	0.0243847	39	2.03
bear_JALAAU020000152.1	1	64873	91	1239	1.90989	0.0358238	38.1	2.18
bear_JALAAU020000153.1	1	64143	565	8054	12.5563	0.433812	39.6	0.149
bear_JALAAU020000154.1	1	63994	10	213	0.332844	0.00357846	38.9	0
