#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
dog_chr1	1	122678785	2849770	26390159	21.5116	0.457149	38.9	2.3
dog_chr10	1	69331447	1701067	15202776	21.9277	0.48266	38.8	2.38
dog_chr11	1	74389097	1547544	15345733	20.629	0.409765	38.9	2.19
dog_chr12	1	72498081	1538595	15391440	21.2301	0.419564	38.9	2.16
dog_chr13	1	63241923	1430761	13708660	21.6765	0.445794	38.9	2.25
dog_chr14	1	60966679	1273180	12904493	21.1665	0.411626	38.9	2.14
dog_chr15	1	64190966	1443086	13837411	21.5566	0.443056	38.9	2.24
dog_chr16	1	59632846	1319029	12608852	21.1441	0.435123	38.9	2.22
dog_chr17	1	64289059	1429432	13578193	21.1205	0.437353	38.9	2.27
dog_chr18	1	55844845	1365086	12189403	21.8273	0.480978	38.8	2.36
dog_chr19	1	53741614	1106682	11420551	21.2509	0.406002	39	2.11
dog_chr2	1	85426708	2003648	18098732	21.1863	0.461216	38.8	2.35
dog_chr20	1	58134056	1544944	12654723	21.7682	0.522896	38.8	2.55
dog_chr21	1	50858623	1054379	10403270	20.4553	0.408318	38.9	2.19
dog_chr22	1	61439934	1286447	13288155	21.6279	0.412459	39	2.08
dog_chr23	1	52294480	1090254	10905585	20.8542	0.410442	38.9	2.18
dog_chr24	1	47698779	1200751	10333915	21.6649	0.494645	38.8	2.45
dog_chr25	1	51628933	1207595	11145628	21.5879	0.460237	38.8	2.28
dog_chr26	1	38964690	940562	8089072	20.76	0.474297	38.8	2.42
dog_chr27	1	45876710	985226	9558422	20.835	0.424838	38.8	2.22
dog_chr28	1	41182112	1025457	9015491	21.8918	0.489167	38.8	2.4
dog_chr29	1	41845238	863143	8874630	21.2082	0.406574	39	2.12
dog_chr3	1	91889043	2121572	19640079	21.3737	0.576977	37.4	2.26
dog_chr30	1	40214260	909384	8492617	21.1184	0.448543	38.7	2.25
dog_chr31	1	39895921	918456	8780717	22.0091	0.453183	38.9	2.18
dog_chr32	1	38810281	758425	8056505	20.7587	0.385857	39	2.02
dog_chr33	1	31377067	682902	6762295	21.5517	0.428797	38.9	2.18
dog_chr34	1	42124431	932198	9106215	21.6174	0.435128	38.9	2.21
dog_chr35	1	26524999	582132	5613513	21.1631	0.431766	38.9	2.22
dog_chr36	1	30810995	675598	6765907	21.9594	0.431767	38.9	2.17
dog_chr37	1	30902991	705896	6766334	21.8954	0.449318	38.9	2.24
dog_chr38	1	23914537	555110	5281640	22.0855	0.456868	38.8	2.25
dog_chr4	1	88276631	1940756	18867356	21.373	0.436788	38.9	2.22
dog_chr5	1	88915250	2172719	19298415	21.7043	0.480231	38.8	2.43
dog_chr6	1	77573801	1853809	16694486	21.5208	0.470671	38.8	2.36
dog_chr7	1	80974532	1769603	17143726	21.1718	0.430769	38.9	2.23
dog_chr8	1	74330416	1638277	15689457	21.1077	0.434202	38.9	2.25
dog_chr9	1	61074082	1635936	13350093	21.8589	0.526713	38.7	2.51
dog_chrX	1	123869142	2271943	22976223	18.5488	0.360868	38.9	2.1
dog_chrUn_JH373233	1	2660953	12164	138969	5.22253	0.0908163	38.6	1.74
dog_chrUn_JH373234	1	1881673	3389	41649	2.2134	0.0360222	39.2	1.16
dog_chrUn_JH373235	1	1415205	3745	44526	3.14626	0.053046	39	1.72
dog_chrUn_JH373236	1	1067467	3548	41185	3.8582	0.0656498	38.5	1.41
dog_chrUn_JH373237	1	866315	1878	20704	2.38989	0.0434715	39	1.94
dog_chrUn_JH373238	1	881102	2977	37423	4.24729	0.068159	38.6	1.35
dog_chrUn_JH373239	1	822601	11617	118261	14.3765	0.279986	39	1.72
dog_chrUn_JH373240	1	741967	1259	16757	2.25846	0.0347522	39	1.64
dog_chrUn_JH373241	1	745551	2091	24541	3.29166	0.056129	38.8	1.53
dog_chrUn_JH373242	1	602611	2794	29678	4.9249	0.0946813	38.8	2.05
dog_chrUn_JH373243	1	573630	29473	170294	29.6871	1.00588	38.8	2.74
dog_chrUn_JH373244	1	666183	1152	15339	2.30252	0.0352531	39	1.34
dog_chrUn_JH373245	1	557017	2235	25306	4.54313	0.0793997	38.7	1.74
dog_chrUn_JH373246	1	510604	943	11490	2.25028	0.0369993	39.1	1.51
dog_chrUn_JH373247	1	497093	1787	23079	4.64279	0.0711275	38.6	0.909
dog_chrUn_JH373248	1	492630	1614	20331	4.12703	0.0660638	38.4	1.66
dog_chrUn_JH373249	1	577062	2538	27331	4.73623	0.0870478	38.1	1.58
dog_chrUn_JH373250	1	561270	1936	22530	4.01411	0.0694176	38.6	1.76
dog_chrUn_JH373251	1	407330	737	10953	2.68897	0.0387745	39	1.48
dog_chrUn_AAEX03018827	1	405216	769	9376	2.31383	0.0395814	39.1	2.17
dog_chrUn_JH373252	1	508668	1258	16337	3.21172	0.0501879	38.6	1.59
dog_chrUn_JH373253	1	540093	1296	17698	3.27684	0.0495526	38.7	1.24
dog_chrUn_JH373254	1	448434	3653	43896	9.78873	0.167204	38.6	1.54
dog_chrUn_JH373255	1	377800	1295	15900	4.20858	0.0681578	38.7	1.11
dog_chrUn_JH373256	1	384880	1425	17295	4.49361	0.074948	38.4	1.63
dog_chrUn_JH373257	1	367143	651	8279	2.25498	0.0358253	39	1.64
dog_chrUn_JH373258	1	399987	1036	13970	3.49261	0.0528917	38.5	1.58
dog_chrUn_JH373259	1	376204	677	7954	2.11428	0.0349199	38.8	1.68
dog_chrUn_JH373260	1	416178	741	9266	2.22645	0.0367391	38.9	2.35
dog_chrUn_JH373261	1	365470	1437	17509	4.79082	0.0823132	38.8	1.78
dog_chrUn_JH373262	1	322752	645	7132	2.20975	0.0413382	39.1	1.97
dog_chrUn_JH373263	1	320591	562	7032	2.19345	0.0348887	39.1	1.59
dog_chrUn_JH373264	1	310270	1398	15817	5.09782	0.0890128	38.8	1.8
dog_chrUn_JH373265	1	433650	912	12877	2.96945	0.0438626	38.9	0.753
dog_chrUn_JH373266	1	273228	602	7877	2.88294	0.0438828	39	1.46
dog_chrUn_JH373267	1	281659	558	6710	2.38231	0.038607	38.7	1.08
dog_chrUn_JH373268	1	320442	964	11528	3.59753	0.0597144	38.6	1.6
dog_chrUn_JH373269	1	265648	551	7055	2.65577	0.0412275	39	1.55
dog_chrUn_JH373270	1	241365	408	5013	2.07694	0.0328589	39	0.706
dog_chrUn_JH373271	1	234529	446	5531	2.35834	0.0393256	39	1.1
dog_chrUn_JH373272	1	252720	1022	12588	4.98101	0.0793645	38.6	0.984
dog_chrUn_JH373273	1	254975	1044	11835	4.64163	0.0806275	38.8	1.68
dog_chrUn_JH373274	1	226053	455	5042	2.23045	0.0391014	39.2	0.877
dog_chrUn_JH373275	1	223744	362	4153	1.85614	0.0315763	39.1	0.992
dog_chrUn_JH373276	1	227140	465	5512	2.4267	0.0396363	39.1	0.933
dog_chrUn_JH373277	1	219672	417	5077	2.31117	0.0380886	38.8	0.906
dog_chrUn_AAEX03019065	1	214597	377	4752	2.21438	0.0341524	39.2	2.1
dog_chrUn_JH373278	1	386314	8574	56185	14.5439	0.435638	38.8	2.66
dog_chrUn_JH373279	1	204342	453	5620	2.75029	0.0444011	39.2	1.68
dog_chrUn_AAEX03019090	1	201724	546	6166	3.05665	0.0535385	38.9	1.45
dog_chrUn_JH373280	1	216332	658	7645	3.53392	0.0622192	38.8	0.992
dog_chrUn_AAEX03019097	1	200877	435	5257	2.61702	0.0419361	38.9	1.45
dog_chrUn_JH373281	1	310654	382	5375	1.73022	0.0238883	39.3	0.83
dog_chrUn_JH373282	1	200932	954	10192	5.07236	0.0936187	38.7	2.07
dog_chrUn_JH373283	1	201410	334	4928	2.44675	0.0337322	39	1.02
dog_chrUn_JH373284	1	292533	596	8524	2.91386	0.0416808	38.6	1.1
dog_chrUn_JH373285	1	192561	656	7818	4.06001	0.0693131	38.5	1.86
dog_chrUn_JH373286	1	210134	580	6844	3.25697	0.0575204	38.7	1.34
dog_chrUn_JH373287	1	197844	634	7376	3.72819	0.0627818	38.5	1.48
dog_chrUn_JH373288	1	196813	694	8365	4.25023	0.0693196	38.6	1.16
dog_chrUn_JH373289	1	180359	351	4186	2.32093	0.0378745	39	1.19
dog_chrUn_JH373290	1	210247	1141	17035	8.10237	0.108782	38.9	0.501
dog_chrUn_JH373291	1	177735	1336	18063	10.1629	0.148913	39	0.687
dog_chrUn_JH373292	1	172100	620	7792	4.5276	0.0733178	38.8	1.58
dog_chrUn_JH373293	1	166866	441	5428	3.25291	0.0533422	38.5	1.27
dog_chrUn_JH373294	1	164926	308	3832	2.32347	0.036289	39.2	0.968
dog_chrUn_JH373295	1	157598	555	6547	4.15424	0.0694171	38.8	0.782
dog_chrUn_JH373296	1	143980	8049	47310	32.8587	1.09402	38.7	2.78
dog_chrUn_JH373297	1	141074	3652	31901	22.613	0.508315	38.7	1.93
dog_chrUn_AAEX03019222	1	139526	236	2773	1.98744	0.0329759	39	2.48
dog_chrUn_JH373298	1	142260	909	11461	8.05638	0.128139	38.6	0.983
dog_chrUn_AAEX03019231	1	138160	196	2283	1.65243	0.0275333	39.1	1.76
dog_chrUn_JH373299	1	142296	439	5292	3.71901	0.0601914	38.6	0.884
dog_chrUn_JH373300	1	133119	665	7675	5.76552	0.100151	38.4	1.45
dog_chrUn_AAEX03019240	1	129748	585	6213	4.78851	0.0890958	38.4	1.21
dog_chrUn_AAEX03019241	1	125962	164	2165	1.71877	0.025333	38.9	1.84
dog_chrUn_JH373301	1	127429	1727	20037	15.7241	0.266329	38.9	1.35
