#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
bear_CM057520.1	1	121185270	2330783	19394940	16.0044	0.379636	39.4	2.51
bear_CM057521.1	1	30884109	161489	1601550	5.18568	0.103833	39.3	0.91
bear_JALAAU020000001.1	1	109684021	2619260	20740976	18.9098	0.472933	39.3	2.76
bear_JALAAU020000010.1	1	80592695	1882719	15064141	18.6917	0.460369	39.4	2.69
bear_JALAAU020000100.1	1	109353	169	1931	1.76584	0.0301958	39.6	0
bear_JALAAU020000101.1	1	106065	3	58	0.0546834	0.000546834	40	0
bear_JALAAU020000102.1	1	104563	1373	14431	13.8012	0.26254	39.3	0.503
bear_JALAAU020000103.1	1	103861	1612	13728	13.2177	0.304763	39.3	0.0689
bear_JALAAU020000104.1	1	103710	9176	38971	37.5769	1.74146	39.3	4.85
bear_JALAAU020000105.1	1	101563	45	791	0.778827	0.00899934	39.4	0.267
bear_JALAAU020000106.1	1	101150	2	42	0.0415225	0.000415225	40	0
bear_JALAAU020000107.1	1	99161	2150	15468	15.5989	0.424522	39.4	2.19
bear_JALAAU020000108.1	1	98021	14	218	0.222401	0.00276471	39.9	0
bear_JALAAU020000109.1	1	97343	15	230	0.236278	0.00294834	39.8	0
bear_JALAAU020000011.1	1	75848702	1637025	13368107	17.6247	0.426336	39.4	2.5
bear_JALAAU020000110.1	1	97305	1335	11455	11.7723	0.271435	39.5	0.222
bear_JALAAU020000111.1	1	96854	6242	35144	36.2855	1.26351	39.2	4.28
bear_JALAAU020000112.1	1	95621	1099	13834	14.4675	0.544075	39.5	0.101
bear_JALAAU020000113.1	1	92258	38	734	0.795595	0.00869301	37.7	0.368
bear_JALAAU020000114.1	1	90062	9	436	0.484111	0.00484111	39.1	0
bear_JALAAU020000115.1	1	89074	69	868	0.974471	0.0153131	39.3	0
bear_JALAAU020000116.1	1	88188	135	954	1.08178	0.0300608	39.4	0.0889
bear_JALAAU020000117.1	1	87732	469	5211	5.93968	0.103896	39.4	0
bear_JALAAU020000118.1	1	87276	1536	14910	17.0837	0.345261	39.3	0.00391
bear_JALAAU020000119.1	1	87275	10	370	0.423947	0.00517903	39.6	0
bear_JALAAU020000012.1	1	73797744	1722727	13695771	18.5585	0.459982	39.4	2.81
bear_JALAAU020000120.1	1	84924	516	7106	8.36748	0.119578	39.5	0
bear_JALAAU020000121.1	1	84100	168	1474	1.75268	0.0455172	30.8	0.952
bear_JALAAU020000122.1	1	83516	190	2807	3.36103	0.0444825	39.3	0
bear_JALAAU020000123.1	1	81734	4839	22377	27.3778	1.23	38.1	4.71
bear_JALAAU020000124.1	1	81183	66	870	1.07165	0.0158161	38	0.636
bear_JALAAU020000125.1	1	81085	200	3032	3.73929	0.048406	39.2	0
bear_JALAAU020000126.1	1	81080	2367	17660	21.781	0.57796	39.3	3.64
bear_JALAAU020000127.1	1	80790	684	5108	6.32256	0.174638	39.1	2.93
bear_JALAAU020000128.1	1	79710	3	267	0.334964	0.00401455	39.5	0
bear_JALAAU020000129.1	1	79402	45	707	0.890406	0.0142188	38.7	2.73
bear_JALAAU020000013.1	1	71981430	1698744	13481910	18.7297	0.465393	39.4	2.76
bear_JALAAU020000130.1	1	78943	128	1214	1.53782	0.0317064	38.5	2.06
bear_JALAAU020000131.1	1	78387	16	242	0.308725	0.00403128	39.7	0.0625
bear_JALAAU020000132.1	1	78235	19	232	0.296542	0.00465265	38.7	0
bear_JALAAU020000133.1	1	77661	121	866	1.1151	0.0306846	38.8	5.93
bear_JALAAU020000134.1	1	76652	11	209	0.272661	0.00272661	38.1	0
bear_JALAAU020000135.1	1	76090	703	8085	10.6256	0.183493	39.3	0.257
bear_JALAAU020000136.1	1	75260	929	9538	12.6734	0.242214	39.2	0.778
bear_JALAAU020000137.1	1	74076	5601	29358	39.6323	1.48487	39.4	3.85
bear_JALAAU020000138.1	1	74064	904	8267	11.162	0.239604	39.5	0.0199
bear_JALAAU020000139.1	1	73438	3	63	0.0857866	0.000857866	40	0
bear_JALAAU020000014.1	1	71886606	2209130	15398744	21.4209	0.604989	39.3	3.5
bear_JALAAU020000140.1	1	73358	494	5060	6.89768	0.13171	39.1	2.2
bear_JALAAU020000141.1	1	73154	1	25	0.0341745	0.000341745	40	0
bear_JALAAU020000142.1	1	72558	9	172	0.237052	0.00237052	39.3	0
bear_JALAAU020000143.1	1	71246	312	4037	5.66628	0.0863627	38.9	0
bear_JALAAU020000144.1	1	70971	662	6489	9.14317	0.182723	39.5	0
bear_JALAAU020000145.1	1	70332	143	1346	1.91378	0.0435222	39.3	2.09
bear_JALAAU020000146.1	1	69764	11	400	0.573362	0.00678	40	0
bear_JALAAU020000147.1	1	67459	788	6526	9.67402	0.229028	39.2	2.74
bear_JALAAU020000148.1	1	67413	13	158	0.234376	0.00381232	38.3	0
bear_JALAAU020000149.1	1	66149	5	80	0.120939	0.00149662	39.8	0
bear_JALAAU020000015.1	1	64761984	1562647	12472417	19.2589	0.475387	39.4	2.87
bear_JALAAU020000150.1	1	65823	2410	17675	26.8523	0.713747	39.4	3.92
bear_JALAAU020000151.1	1	65697	72	1186	1.80526	0.0266679	38.9	2.32
bear_JALAAU020000152.1	1	64873	113	1443	2.22435	0.0425138	38	2.02
bear_JALAAU020000153.1	1	64143	712	9594	14.9572	0.515629	39.5	0.323
bear_JALAAU020000154.1	1	63994	16	251	0.392224	0.00535988	39.2	0
bear_JALAAU020000155.1	1	63894	111	1315	2.0581	0.0347137	36.3	2.89
bear_JALAAU020000156.1	1	63426	417	3905	6.15678	0.128512	39	2.23
bear_JALAAU020000157.1	1	63118	4	77	0.121994	0.00121994	40	0
bear_JALAAU020000158.1	1	63082	103	1310	2.07666	0.0321803	38.4	0.951
bear_JALAAU020000159.1	1	63069	67	1072	1.69973	0.0248617	39.1	2.55
bear_JALAAU020000016.1	1	64080236	1420297	10782506	16.8266	0.439315	39.3	3.27
bear_JALAAU020000160.1	1	62881	32	1673	2.66058	0.0391533	37.8	1.69
bear_JALAAU020000161.1	1	62862	552	7645	12.1616	0.178773	39.3	0.216
bear_JALAAU020000162.1	1	62556	124	1073	1.71526	0.039101	36.8	1.67
bear_JALAAU020000163.1	1	62239	599	8033	12.9067	0.188435	39.1	0.0735
bear_JALAAU020000164.1	1	61562	11	193	0.313505	0.00344368	39.5	0
bear_JALAAU020000165.1	1	60017	309	3464	5.7717	0.100522	39.6	0
bear_JALAAU020000166.1	1	59359	44	755	1.27192	0.0148082	39.5	0
bear_JALAAU020000167.1	1	58821	87	1108	1.88368	0.0337975	39	4.94
