rname,startpos,endpos,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq
dog_chr1,1,122678785,1978337,19325114,15.7526,0.318115,38.9,1.82
dog_chr10,1,69331447,1196296,11361740,16.3876,0.340475,38.8,1.94
dog_chr11,1,74389097,1035315,10908395,14.664,0.274957,38.9,1.75
dog_chr12,1,72498081,1020872,10717165,14.7827,0.278725,38.8,1.71
dog_chr13,1,63241923,967341,9814483,15.519,0.30229,38.9,1.84
dog_chr14,1,60966679,832100,8929763,14.647,0.269789,38.9,1.7
dog_chr15,1,64190966,979166,9893215,15.4122,0.301733,38.8,1.82
dog_chr16,1,59632846,901567,9178406,15.3915,0.298091,38.9,1.8
dog_chr17,1,64289059,977281,9913165,15.4197,0.299582,38.9,1.81
dog_chr18,1,55844845,952654,9109102,16.3114,0.336319,38.8,1.91
dog_chr19,1,53741614,724973,7915412,14.7286,0.266757,39,1.69
dog_chr2,1,85426708,1406483,13508577,15.8131,0.324473,38.8,1.9
dog_chr20,1,58134056,1082451,9594548,16.5042,0.367375,38.8,1.97
dog_chr21,1,50858623,702663,7380647,14.5121,0.272789,38.9,1.75
dog_chr22,1,61439934,834710,9164337,14.9159,0.268785,39,1.67
dog_chr23,1,52294480,718558,7659650,14.6471,0.271213,38.9,1.75
dog_chr24,1,47698779,855898,7891630,16.5447,0.353166,38.8,1.96
dog_chr25,1,51628933,835803,8159340,15.8038,0.319404,38.8,1.83
dog_chr26,1,38964690,665383,6239211,16.0125,0.336134,38.8,1.94
dog_chr27,1,45876710,660012,6768797,14.7543,0.286843,38.7,1.78
dog_chr28,1,41182112,728109,6783844,16.4728,0.348019,38.8,1.95
dog_chr29,1,41845238,563510,6113034,14.6087,0.266329,39,1.71
dog_chr3,1,91889043,1462997,14025553,15.2636,0.451457,36.8,4.11
dog_chr30,1,40214260,617606,6126694,15.2351,0.305976,38.7,1.82
dog_chr31,1,39895921,627120,6283295,15.7492,0.310368,39,1.8
dog_chr32,1,38810281,480452,5425515,13.9796,0.245092,39,1.59
dog_chr33,1,31377067,456434,4741125,15.1102,0.287348,38.9,1.75
dog_chr34,1,42124431,630494,6557416,15.5668,0.295106,38.9,1.8
dog_chr35,1,26524999,403274,4115767,15.5166,0.299948,38.9,1.83
dog_chr36,1,30810995,447433,4698501,15.2494,0.286831,39,1.74
dog_chr37,1,30902991,476486,4833471,15.6408,0.304074,38.9,1.8
dog_chr38,1,23914537,381207,3861875,16.1487,0.314586,38.9,1.82
dog_chr4,1,88276631,1283097,13428375,15.2117,0.287107,38.9,1.78
dog_chr5,1,88915250,1524026,14623038,16.446,0.337648,38.8,1.93
dog_chr6,1,77573801,1282424,12370372,15.9466,0.326884,38.8,1.9
dog_chr7,1,80974532,1195502,12325270,15.2212,0.291362,38.9,1.77
dog_chr8,1,74330416,1102510,11230151,15.1084,0.293125,38.9,1.79
dog_chr9,1,61074082,1161672,10344591,16.9378,0.374726,38.7,1.96
dog_chrX,1,123869142,1508330,16230385,13.1028,0.240591,38.9,1.69
