#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
bear_CM057520.1	1	121185270	1566193	18799281	15.5128	0.274533	39.5	2.01
bear_CM057521.1	1	30884109	123791	2008912	6.50468	0.10019	39.4	0.934
bear_JALAAU020000001.1	1	109684021	1754763	21203549	19.3315	0.351805	39.5	2.57
bear_JALAAU020000010.1	1	80592695	1260503	15431835	19.1479	0.343652	39.5	2.53
bear_JALAAU020000100.1	1	109353	105	2193	2.00543	0.0236939	39.6	0.0667
bear_JALAAU020000101.1	1	106065	54	5741	5.41272	0.0713525	39.6	0.889
bear_JALAAU020000102.1	1	104563	915	13733	13.1337	0.188355	39.3	0.348
bear_JALAAU020000103.1	1	103861	1174	13892	13.3756	0.241987	39.5	0.111
bear_JALAAU020000104.1	1	103710	7507	37434	36.0949	1.47573	39.4	2.97
bear_JALAAU020000105.1	1	101563	59	2474	2.43593	0.0267026	39.6	0.475
bear_JALAAU020000106.1	1	101150	49	5558	5.49481	0.0674839	39.4	0
bear_JALAAU020000107.1	1	99161	1096	15937	16.0718	0.256038	39.4	2.46
bear_JALAAU020000108.1	1	98021	75	6697	6.83221	0.0957958	39.7	1.07
bear_JALAAU020000109.1	1	97343	97	9588	9.84971	0.129244	39.5	0.866
bear_JALAAU020000011.1	1	75848702	1060164	13695840	18.0568	0.310962	39.5	2.51
bear_JALAAU020000110.1	1	97305	821	10304	10.5894	0.179826	39.5	0.518
bear_JALAAU020000111.1	1	96854	4642	32580	33.6383	0.976718	39.4	2.63
bear_JALAAU020000112.1	1	95621	996	38147	39.894	0.821661	39.4	0.173
bear_JALAAU020000113.1	1	92258	51	2652	2.87455	0.0335906	39.6	0
bear_JALAAU020000114.1	1	90062	47	4783	5.31079	0.0724279	39.8	0.553
bear_JALAAU020000115.1	1	89074	48	2354	2.64275	0.0310865	39.7	0
bear_JALAAU020000116.1	1	88188	57	2979	3.37801	0.0422847	39.8	0
bear_JALAAU020000117.1	1	87732	297	5299	6.03999	0.0762208	39.5	0
bear_JALAAU020000118.1	1	87276	1396	14840	17.0035	0.328739	39.4	0.0738
bear_JALAAU020000119.1	1	87275	93	7507	8.60155	0.1354	39.4	0.323
bear_JALAAU020000012.1	1	73797744	1157679	14015888	18.9923	0.345766	39.5	2.61
bear_JALAAU020000120.1	1	84924	467	7865	9.26122	0.121285	39.5	0
bear_JALAAU020000121.1	1	84100	169	7433	8.83829	0.12478	38.3	1.25
bear_JALAAU020000122.1	1	83516	185	4085	4.89128	0.0592581	39.6	0
bear_JALAAU020000123.1	1	81734	3198	21865	26.7514	0.814325	39.2	2.41
bear_JALAAU020000124.1	1	81183	91	4501	5.54426	0.074289	39.7	0.462
bear_JALAAU020000125.1	1	81085	156	3506	4.32386	0.0514028	39.1	0
bear_JALAAU020000126.1	1	81080	1805	17416	21.48	0.473236	39.4	2.99
bear_JALAAU020000127.1	1	80790	558	8432	10.4369	0.193415	39.3	2.83
bear_JALAAU020000128.1	1	79710	66	7349	9.21967	0.117225	39.5	0.667
bear_JALAAU020000129.1	1	79402	56	1393	1.75436	0.022002	39.3	1.55
bear_JALAAU020000013.1	1	71981430	1142978	13844735	19.2338	0.348711	39.5	2.56
bear_JALAAU020000130.1	1	78943	147	6252	7.91964	0.114019	39.5	1.88
bear_JALAAU020000131.1	1	78387	23	315	0.401852	0.0056642	39.8	0.261
bear_JALAAU020000132.1	1	78235	23	1091	1.39452	0.0157602	38.9	2.22
bear_JALAAU020000133.1	1	77661	91	3812	4.90851	0.0666229	39.7	1.34
bear_JALAAU020000134.1	1	76652	35	2898	3.78072	0.043404	39.4	0.886
bear_JALAAU020000135.1	1	76090	502	8561	11.2511	0.151295	39.5	0.574
bear_JALAAU020000136.1	1	75260	676	10860	14.43	0.208889	39.5	1.05
bear_JALAAU020000137.1	1	74076	4565	28029	37.8382	1.24002	39.4	2.28
bear_JALAAU020000138.1	1	74064	539	8833	11.9262	0.160982	39.5	0
bear_JALAAU020000139.1	1	73438	28	2772	3.77461	0.0500286	39.1	0
bear_JALAAU020000014.1	1	71886606	1614053	15578811	21.6714	0.478534	39.4	2.65
bear_JALAAU020000140.1	1	73358	489	8799	11.9946	0.187628	38.9	2.17
bear_JALAAU020000141.1	1	73154	35	3718	5.08243	0.0628127	39.8	0
bear_JALAAU020000142.1	1	72558	22	2017	2.77985	0.0347722	39.3	0
bear_JALAAU020000143.1	1	71246	261	6223	8.73453	0.115866	39.6	0.146
bear_JALAAU020000144.1	1	70971	398	7333	10.3324	0.132773	39.6	0
bear_JALAAU020000145.1	1	70332	149	3450	4.90531	0.071063	38.7	2.47
bear_JALAAU020000146.1	1	69764	68	7519	10.7778	0.134668	39.7	0.382
bear_JALAAU020000147.1	1	67459	769	7457	11.0541	0.231993	39.5	1.99
bear_JALAAU020000148.1	1	67413	17	1801	2.67159	0.032249	39.5	0
bear_JALAAU020000149.1	1	66149	21	2147	3.2457	0.0416786	39.8	0
bear_JALAAU020000015.1	1	64761984	1071056	12705340	19.6185	0.360859	39.5	2.58
bear_JALAAU020000150.1	1	65823	2093	18394	27.9446	0.640931	39.4	2.26
bear_JALAAU020000151.1	1	65697	104	6335	9.64275	0.129519	39	1.27
bear_JALAAU020000152.1	1	64873	224	13450	20.7328	0.315524	39.1	0.388
bear_JALAAU020000153.1	1	64143	631	23844	37.1732	0.723633	39.2	0.0507
bear_JALAAU020000154.1	1	63994	34	2826	4.41604	0.0513642	39	1.47
bear_JALAAU020000155.1	1	63894	134	5515	8.63148	0.119996	39.2	0.985
bear_JALAAU020000156.1	1	63426	416	4831	7.61675	0.146328	39.4	1.63
bear_JALAAU020000157.1	1	63118	15	1889	2.99281	0.0335879	39.8	0
bear_JALAAU020000158.1	1	63082	134	5253	8.32726	0.13679	39.3	0.336
bear_JALAAU020000159.1	1	63069	93	2829	4.48556	0.0632482	39.8	0.785
bear_JALAAU020000016.1	1	64080236	1038136	11254142	17.5626	0.353367	39.4	2.6
bear_JALAAU020000160.1	1	62881	39	2969	4.72162	0.0552313	38.7	2.08
bear_JALAAU020000161.1	1	62862	509	7642	12.1568	0.172648	39.1	0.136
bear_JALAAU020000162.1	1	62556	123	2302	3.6799	0.0644383	38.9	2.9
bear_JALAAU020000163.1	1	62239	511	7556	12.1403	0.169524	39.4	0.0137
bear_JALAAU020000164.1	1	61562	18	1924	3.1253	0.0415679	39.3	0
bear_JALAAU020000165.1	1	60017	159	3513	5.85334	0.0652815	39.7	0
bear_JALAAU020000166.1	1	59359	53	1062	1.78911	0.0216648	39.5	0
bear_JALAAU020000167.1	1	58821	167	12013	20.423	0.288349	39.5	0.88
bear_JALAAU020000168.1	1	58817	136	2313	3.93254	0.06289	39.3	0.0441
bear_JALAAU020000169.1	1	57977	220	4660	8.03767	0.101609	39.6	0
bear_JALAAU020000017.1	1	61112326	993968	11810830	19.3264	0.35634	39.5	2.59
bear_JALAAU020000170.1	1	57573	340	5496	9.54614	0.143053	39.4	0.947
bear_JALAAU020000171.1	1	57457	49	1526	2.6559	0.0348957	39.8	0
bear_JALAAU020000172.1	1	57077	676	24858	43.5517	0.888274	39.3	0.355
bear_JALAAU020000173.1	1	56693	50	2268	4.00049	0.0540808	39.2	0
bear_JALAAU020000174.1	1	56180	66	1910	3.39979	0.042435	39.6	0
bear_JALAAU020000175.1	1	56039	209	5794	10.3392	0.165581	39.6	0.78
bear_JALAAU020000176.1	1	55288	376	6122	11.0729	0.154337	39.6	0.931
bear_JALAAU020000177.1	1	54573	31	2027	3.71429	0.0464882	39.6	0.194
bear_JALAAU020000178.1	1	54014	117	3090	5.72074	0.0760173	39.1	0.154
bear_JALAAU020000179.1	1	52877	609	23203	43.8811	0.897801	39.4	0.197
bear_JALAAU020000018.1	1	60946776	1153580	12397181	20.341	0.409132	39.4	2.58
bear_JALAAU020000180.1	1	52383	48	1390	2.65353	0.0329114	39.6	0
bear_JALAAU020000181.1	1	52354	4	84	0.160446	0.00160446	37.7	0
bear_JALAAU020000182.1	1	51873	28	2038	3.92883	0.0431438	39.9	0
bear_JALAAU020000183.1	1	51731	238	4693	9.07193	0.115907	39.7	0
bear_JALAAU020000184.1	1	50962	327	5469	10.7315	0.156214	39.6	0
bear_JALAAU020000185.1	1	50928	10	1101	2.16188	0.024407	39.9	0
bear_JALAAU020000186.1	1	50255	44	3441	6.84708	0.0893443	39	0
bear_JALAAU020000187.1	1	49370	5	512	1.03707	0.0151914	36.7	0
bear_JALAAU020000188.1	1	49134	758	22511	45.8155	1.24325	39.4	0.657
bear_JALAAU020000189.1	1	48962	103	2525	5.15706	0.0580042	39.7	0
bear_JALAAU020000019.1	1	58187918	1276063	12648476	21.7373	0.468776	39.4	2.65
bear_JALAAU020000190.1	1	48951	260	5145	10.5105	0.126943	39.3	0.331
bear_JALAAU020000191.1	1	48076	66	3822	7.94991	0.102588	39.5	0
bear_JALAAU020000192.1	1	47618	24	978	2.05385	0.0210215	39.6	0
bear_JALAAU020000193.1	1	47086	505	19036	40.4282	0.800025	39.3	0.178
bear_JALAAU020000194.1	1	46959	103	5736	12.2149	0.164356	39.5	0
bear_JALAAU020000195.1	1	46867	128	3540	7.55329	0.120298	39.6	1.91
