#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
dog_chr1	1	122678785	18470	187602	0.152921	0.00306929	39.2	41.2
dog_chr10	1	69331447	12149	124698	0.179858	0.00358899	39.2	41.3
dog_chr11	1	74389097	8307	87640	0.117813	0.00229048	39.2	41.1
dog_chr12	1	72498081	7718	79018	0.108993	0.00221278	39.1	41.2
dog_chr13	1	63241923	8148	84004	0.13283	0.00264084	39	41.4
dog_chr14	1	60966679	5969	63537	0.104216	0.00201093	39.3	41
dog_chr15	1	64190966	8268	85202	0.132732	0.00265101	39	41.2
dog_chr16	1	59632846	7728	78724	0.132014	0.00265833	39.2	41.1
dog_chr17	1	64289059	8899	93712	0.145767	0.00282389	39.1	41.4
dog_chr18	1	55844845	9787	98552	0.176475	0.0036944	39.2	41.3
dog_chr19	1	53741614	5107	54410	0.101244	0.00194949	39.3	41
dog_chr2	1	85426708	13876	140647	0.164641	0.0033035	39.2	41.2
dog_chr20	1	58134056	12881	125159	0.215294	0.00473717	39.2	41.4
dog_chr21	1	50858623	5682	57794	0.113637	0.00229538	39.3	41.2
dog_chr22	1	61439934	5664	60104	0.0978256	0.00190288	39.3	41.1
dog_chr23	1	52294480	5657	59372	0.113534	0.00222276	39.1	41.2
dog_chr24	1	47698779	8944	91435	0.191693	0.00380817	39.2	41.3
dog_chr25	1	51628933	7704	79568	0.154115	0.00305474	39.2	41.4
dog_chr26	1	38964690	7395	75318	0.193298	0.00388364	39.2	41.4
dog_chr27	1	45876710	5344	56087	0.122256	0.00239762	39.1	41.3
dog_chr28	1	41182112	7386	75156	0.182497	0.00362735	39.3	41.4
dog_chr29	1	41845238	3965	41404	0.0989455	0.00195736	39.3	41
dog_chr3	1	91889043	13173	119619	0.130178	0.00506537	35.3	41.4
dog_chr30	1	40214260	5617	58838	0.146311	0.00286692	39.2	41.1
dog_chr31	1	39895921	5172	53782	0.134806	0.00266508	39.2	41.3
dog_chr32	1	38810281	2752	29040	0.0748255	0.0014498	39.2	41.1
dog_chr33	1	31377067	3504	37585	0.119785	0.00229416	39.2	41.2
dog_chr34	1	42124431	5159	53880	0.127907	0.00250448	39.2	41.5
dog_chr35	1	26524999	3511	36698	0.138353	0.00268592	39.3	41.2
dog_chr36	1	30810995	3485	36133	0.117273	0.00230502	39.2	41.2
dog_chr37	1	30902991	4098	42348	0.137035	0.00269116	39.2	41.4
dog_chr38	1	23914537	3439	34379	0.143758	0.00294428	39.3	41.1
dog_chr4	1	88276631	10585	110171	0.124802	0.0024763	39.2	41.4
dog_chr5	1	88915250	15809	162624	0.182898	0.00361497	39.2	41.3
dog_chr6	1	77573801	12668	128602	0.16578	0.00334626	39.2	41.5
dog_chr7	1	80974532	10078	104349	0.128866	0.00256143	39.2	41.2
dog_chr8	1	74330416	9622	96231	0.129464	0.00270997	39.3	41.2
dog_chr9	1	61074082	13682	137957	0.225885	0.00456138	39.2	41.3
dog_chrX	1	123869142	11134	114681	0.0925824	0.00183979	39.2	41.1
dog_chrUn_JH373233	1	2660953	57	644	0.0242019	0.000435934	39.4	41.1
dog_chrUn_JH373234	1	1881673	30	229	0.01217	0.000345437	39.7	37.3
dog_chrUn_JH373235	1	1415205	22	247	0.0174533	0.000314442	40	39.8
dog_chrUn_JH373236	1	1067467	14	137	0.0128341	0.000255746	39.8	42.6
dog_chrUn_JH373237	1	866315	16	157	0.0181227	0.000362455	39.7	43.2
dog_chrUn_JH373238	1	881102	9	102	0.0115764	0.000203155	39.4	40.2
dog_chrUn_JH373239	1	822601	59	557	0.067712	0.0014442	39.5	41.4
dog_chrUn_JH373240	1	741967	4	38	0.00512152	0.00010243	40	40
dog_chrUn_JH373241	1	745551	17	166	0.0222654	0.000555294	39.8	43.9
dog_chrUn_JH373242	1	602611	9	107	0.0177561	0.000308657	39.8	43.2
dog_chrUn_JH373243	1	573630	292	2957	0.515489	0.010315	39.3	41.5
dog_chrUn_JH373244	1	666183	8	77	0.0115584	0.000231168	39.7	41.5
dog_chrUn_JH373245	1	557017	12	123	0.0220819	0.000438048	39.2	38.5
dog_chrUn_JH373246	1	510604	4	38	0.00744217	0.000148843	40	40
