#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
dog_chr1	1	122678785	2725087	28872890	23.5354	0.439895	38.9	2.28
dog_chr10	1	69331447	1608140	16588386	23.9262	0.459735	38.9	2.36
dog_chr11	1	74389097	1514744	16891468	22.7069	0.40402	39	2.17
dog_chr12	1	72498081	1530650	16963280	23.3982	0.419024	39	2.11
dog_chr13	1	63241923	1390716	15070492	23.8299	0.435972	39	2.21
dog_chr14	1	60966679	1261804	14238263	23.3542	0.410548	39	2.11
dog_chr15	1	64190966	1401375	15187389	23.6597	0.433022	39	2.21
dog_chr16	1	59632846	1269790	13830762	23.1932	0.421783	39	2.2
dog_chr17	1	64289059	1373883	14884658	23.1527	0.423025	39	2.25
dog_chr18	1	55844845	1287293	13292950	23.8034	0.456239	38.9	2.34
dog_chr19	1	53741614	1101464	12556114	23.3639	0.406387	39.1	2.08
dog_chr2	1	85426708	1895905	19781427	23.156	0.439292	38.9	2.33
dog_chr20	1	58134056	1421905	13751075	23.6541	0.484245	38.9	2.52
dog_chr21	1	50858623	1029325	11446925	22.5073	0.401186	39	2.16
dog_chr22	1	61439934	1286815	14694001	23.916	0.41519	39.1	2.08
dog_chr23	1	52294480	1068394	11994420	22.9363	0.404791	39	2.16
dog_chr24	1	47698779	1118160	11245896	23.5769	0.463297	38.9	2.43
dog_chr25	1	51628933	1157380	12235631	23.6992	0.443986	38.9	2.26
dog_chr26	1	38964690	867005	8773605	22.5168	0.440092	38.9	2.43
dog_chr27	1	45876710	960721	10508532	22.906	0.416722	38.9	2.2
dog_chr28	1	41182112	960813	9798955	23.7942	0.460889	38.9	2.4
dog_chr29	1	41845238	860302	9784686	23.383	0.407694	39.1	2.1
dog_chr3	1	91889043	2045489	21574835	23.4792	0.538435	37.7	2.23
dog_chr30	1	40214260	871790	9307372	23.1445	0.432308	38.8	2.27
dog_chr31	1	39895921	892922	9632161	24.1432	0.44345	39	2.15
dog_chr32	1	38810281	769016	8946920	23.053	0.393702	39.1	2.02
dog_chr33	1	31377067	673800	7455842	23.7621	0.425631	39	2.16
dog_chr34	1	42124431	905971	10000024	23.7393	0.425781	39	2.21
dog_chr35	1	26524999	565944	6172986	23.2723	0.42307	39	2.22
dog_chr36	1	30810995	668442	7431437	24.1194	0.429753	39.1	2.13
dog_chr37	1	30902991	686104	7442977	24.085	0.439663	39	2.21
dog_chr38	1	23914537	538310	5808356	24.288	0.446019	39	2.24
dog_chr4	1	88276631	1875117	20717803	23.4692	0.421856	39	2.19
dog_chr5	1	88915250	2030854	20977822	23.5931	0.451754	38.9	2.41
dog_chr6	1	77573801	1755336	18268623	23.55	0.448682	38.9	2.34
dog_chr7	1	80974532	1714322	18793047	23.2086	0.420147	39	2.21
dog_chr8	1	74330416	1590386	17235875	23.1882	0.424532	39	2.24
dog_chr9	1	61074082	1495171	14430075	23.6272	0.484409	38.8	2.5
dog_chrX	1	123869142	2230448	25212212	20.3539	0.356291	39	2.07
dog_chrUn_JH373233	1	2660953	10952	152484	5.73043	0.085563	38.6	2.03
dog_chrUn_JH373234	1	1881673	2891	46353	2.46339	0.0330855	39.2	1.24
dog_chrUn_JH373235	1	1415205	3163	46298	3.27147	0.0470102	39.1	2.11
dog_chrUn_JH373236	1	1067467	3240	46801	4.3843	0.0627813	38.8	1.42
dog_chrUn_JH373237	1	866315	1665	23197	2.67766	0.0395503	39	1.81
dog_chrUn_JH373238	1	881102	2817	43137	4.8958	0.0686595	38.6	1.65
dog_chrUn_JH373239	1	822601	11151	128886	15.6681	0.270908	39.1	1.59
dog_chrUn_JH373240	1	741967	1115	17735	2.39027	0.0329678	39.1	2.38
dog_chrUn_JH373241	1	745551	2027	28688	3.84789	0.0578726	38.9	2.01
dog_chrUn_JH373242	1	602611	2510	31678	5.25679	0.08694	38.8	2.45
dog_chrUn_JH373243	1	573630	25223	181904	31.711	0.861615	38.8	2.82
dog_chrUn_JH373244	1	666183	1046	17619	2.64477	0.0340897	39.2	1.85
dog_chrUn_JH373245	1	557017	2128	30156	5.41384	0.0800065	38.7	2.04
dog_chrUn_JH373246	1	510604	771	12651	2.47765	0.0325066	39.2	2.42
dog_chrUn_JH373247	1	497093	1749	24803	4.98961	0.0717994	38.7	1.58
dog_chrUn_JH373248	1	492630	1505	21914	4.44837	0.0633153	38.6	1.88
dog_chrUn_JH373249	1	577062	2280	29449	5.10326	0.0810433	38.3	2.06
dog_chrUn_JH373250	1	561270	1841	25194	4.48875	0.0662533	38.8	2
dog_chrUn_JH373251	1	407330	713	12499	3.06852	0.0400756	39.2	2.71
dog_chrUn_AAEX03018827	1	405216	604	10017	2.47201	0.0347469	39	1.44
dog_chrUn_JH373252	1	508668	1183	17400	3.4207	0.0510628	38	1.77
dog_chrUn_JH373253	1	540093	1121	20171	3.73473	0.0480547	39.1	1.76
dog_chrUn_JH373254	1	448434	3707	48646	10.848	0.166524	39	1.6
dog_chrUn_JH373255	1	377800	1228	17965	4.75516	0.0688327	38.6	1.51
dog_chrUn_JH373256	1	384880	1281	18497	4.80591	0.0681589	38.6	1.79
dog_chrUn_JH373257	1	367143	573	9586	2.61097	0.0345478	39.2	2.27
dog_chrUn_JH373258	1	399987	880	13871	3.46786	0.0468265	38.8	2.04
dog_chrUn_JH373259	1	376204	567	9008	2.39445	0.0320305	39.2	1.91
dog_chrUn_JH373260	1	416178	628	9374	2.2524	0.0315442	39.1	1.41
dog_chrUn_JH373261	1	365470	1313	17779	4.86469	0.0754782	38.9	2.06
dog_chrUn_JH373262	1	322752	493	7259	2.2491	0.0313275	39.1	1.24
dog_chrUn_JH373263	1	320591	503	8088	2.52284	0.0337658	39.1	1.03
dog_chrUn_JH373264	1	310270	1340	18271	5.88874	0.0900796	38.9	2.07
dog_chrUn_JH373265	1	433650	851	15411	3.55379	0.0449971	39.1	1.32
dog_chrUn_JH373266	1	273228	603	9683	3.54393	0.0488896	39.2	2.11
dog_chrUn_JH373267	1	281659	522	7896	2.80339	0.0408402	39	2.57
dog_chrUn_JH373268	1	320442	848	12936	4.03692	0.0541752	39	1.58
dog_chrUn_JH373269	1	265648	488	6750	2.54096	0.0367742	39.2	1.55
dog_chrUn_JH373270	1	241365	371	6260	2.59358	0.0347233	39.4	1.6
dog_chrUn_JH373271	1	234529	402	7363	3.13948	0.042272	39.3	2.46
dog_chrUn_JH373272	1	252720	966	14398	5.69721	0.0788303	38.9	1.13
dog_chrUn_JH373273	1	254975	850	12315	4.82989	0.0678851	38.8	1.56
dog_chrUn_JH373274	1	226053	394	5504	2.43483	0.0349962	39.1	2.34
dog_chrUn_JH373275	1	223744	341	5762	2.57526	0.0353395	39.4	3.45
dog_chrUn_JH373276	1	227140	379	6339	2.79079	0.0370564	38.9	2.26
dog_chrUn_JH373277	1	219672	332	5208	2.37081	0.0329855	39.1	2.06
dog_chrUn_AAEX03019065	1	214597	385	6922	3.22558	0.0433603	39.1	2.37
dog_chrUn_JH373278	1	386314	7586	59582	15.4232	0.387105	38.8	2.7
dog_chrUn_JH373279	1	204342	372	4947	2.42094	0.0352693	38.7	1.78
dog_chrUn_AAEX03019090	1	201724	437	5771	2.86084	0.0422359	39.1	1.94
dog_chrUn_JH373280	1	216332	593	8272	3.82375	0.0572084	38.4	1.59
dog_chrUn_AAEX03019097	1	200877	415	6205	3.08895	0.0441763	39.1	2.3
dog_chrUn_JH373281	1	310654	377	7934	2.55397	0.0315206	39.4	2.43
dog_chrUn_JH373282	1	200932	821	10517	5.23411	0.0844515	38.6	2.05
dog_chrUn_JH373283	1	201410	295	4846	2.40604	0.0312149	39	2.04
dog_chrUn_JH373284	1	292533	535	10046	3.43414	0.0411851	39.1	1.2
dog_chrUn_JH373285	1	192561	602	9338	4.84937	0.0707724	38.6	2.22
dog_chrUn_JH373286	1	210134	424	7849	3.73524	0.0488783	39	1.39
dog_chrUn_JH373287	1	197844	499	7001	3.53865	0.0508481	38.5	1.29
dog_chrUn_JH373288	1	196813	585	8640	4.38995	0.0597572	38.3	1.38
dog_chrUn_JH373289	1	180359	306	3992	2.21336	0.0343204	39.3	1.6
dog_chrUn_JH373290	1	210247	1126	17860	8.49477	0.109428	39	0.725
dog_chrUn_JH373291	1	177735	1296	19131	10.7638	0.152086	38.9	0.749
dog_chrUn_JH373292	1	172100	541	8049	4.67693	0.0657815	39	1.25
dog_chrUn_JH373293	1	166866	399	6118	3.66641	0.0508072	38.6	1.76
dog_chrUn_JH373294	1	164926	254	3677	2.22948	0.0313171	39.4	1.53
dog_chrUn_JH373295	1	157598	526	7405	4.69866	0.0690301	38.8	1.18
dog_chrUn_JH373296	1	143980	6818	50612	35.1521	0.930553	38.8	2.94
dog_chrUn_JH373297	1	141074	3065	32295	22.8922	0.425592	38.7	1.94
dog_chrUn_AAEX03019222	1	139526	190	2809	2.01324	0.0282456	39.2	1.43
dog_chrUn_JH373298	1	142260	815	12332	8.66863	0.122016	38.9	1.36
dog_chrUn_AAEX03019231	1	138160	179	2595	1.87826	0.0252171	39	1.25
dog_chrUn_JH373299	1	142296	389	5458	3.83567	0.0536206	38.4	1.13
dog_chrUn_JH373300	1	133119	708	8991	6.75411	0.108444	38.6	1.79
dog_chrUn_AAEX03019240	1	129748	555	7362	5.67408	0.0845254	38.7	1.36
dog_chrUn_AAEX03019241	1	125962	148	2846	2.25941	0.0291358	39.2	1.72
dog_chrUn_JH373301	1	127429	1670	21322	16.7325	0.257948	39.1	1.35
dog_chrUn_JH373302	1	128261	192	2956	2.30468	0.0309369	38.7	1.23
