rname,startpos,endpos,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq
dog_chr1,1,122678785,14749,157657,0.128512,0.00246538,39.3,40.8
dog_chr10,1,69331447,10269,116417,0.167914,0.00320201,39.2,41.1
dog_chr11,1,74389097,6994,75159,0.101035,0.0019959,39.3,40.8
dog_chr12,1,72498081,6266,71366,0.0984385,0.00183483,39.3,40.8
dog_chr13,1,63241923,7010,75672,0.119655,0.00230169,39.1,40.7
dog_chr14,1,60966679,5028,55278,0.0906692,0.0017071,39.4,40.6
dog_chr15,1,64190966,7160,76455,0.119106,0.00232595,38.9,40.8
dog_chr16,1,59632846,6561,69172,0.115996,0.00226001,39.4,40.8
dog_chr17,1,64289059,7086,75937,0.118118,0.00224222,39.3,40.9
dog_chr18,1,55844845,7911,84406,0.151144,0.00293809,39.3,41
dog_chr19,1,53741614,4265,47501,0.0883877,0.00164798,39.4,40.5
dog_chr2,1,85426708,11388,120757,0.141357,0.00272944,39.3,40.8
dog_chr20,1,58134056,9752,99786,0.171648,0.00361771,39.2,40.9
dog_chr21,1,50858623,4656,50120,0.0985477,0.00190129,39.2,40.9
dog_chr22,1,61439934,4642,51685,0.0841228,0.00157022,39.3,40.5
dog_chr23,1,52294480,4633,51344,0.0981824,0.00184314,39.3,40.7
dog_chr24,1,47698779,7371,77141,0.161725,0.00312725,39.3,40.9
dog_chr25,1,51628933,6212,66264,0.128347,0.0024587,39.2,40.8
dog_chr26,1,38964690,5738,61836,0.158698,0.00301347,39.3,41
dog_chr27,1,45876710,4360,49006,0.106821,0.00200173,39.2,40.8
dog_chr28,1,41182112,6108,65310,0.158588,0.00305064,39.2,41
dog_chr29,1,41845238,3429,37211,0.0889253,0.00171252,39.3,40.5
dog_chr3,1,91889043,82264,97871,0.10651,0.120793,34.8,45.5
dog_chr30,1,40214260,4621,49726,0.123653,0.00235466,39.2,40.7
dog_chr31,1,39895921,4471,47158,0.118203,0.00230204,39.4,40.8
dog_chr32,1,38810281,2292,26548,0.0684046,0.00125281,39.3,40.3
dog_chr33,1,31377067,2894,32219,0.102683,0.00191783,39.3,40.7
dog_chr34,1,42124431,4572,48306,0.114675,0.00221515,39.4,40.8
dog_chr35,1,26524999,2972,32129,0.121127,0.00229078,39.3,40.9
dog_chr36,1,30810995,2939,32272,0.104742,0.00196138,39.3,40.6
dog_chr37,1,30902991,3341,36181,0.117079,0.00221713,39.2,40.5
dog_chr38,1,23914537,2699,31410,0.131343,0.00241911,39.2,40.9
dog_chr4,1,88276631,8607,91795,0.103986,0.0020207,39.3,40.9
dog_chr5,1,88915250,12958,135671,0.152585,0.00295815,39.4,40.9
dog_chr6,1,77573801,10401,114087,0.147069,0.0028195,39,40.9
dog_chr7,1,80974532,7972,87185,0.10767,0.00201772,39.3,40.8
dog_chr8,1,74330416,7842,81786,0.11003,0.00222478,39.3,40.9
dog_chr9,1,61074082,10272,108400,0.177489,0.00340953,39.3,40.9
dog_chrX,1,123869142,9458,103730,0.0837416,0.0015876,39.3,40.6
dog_chrUn_JH373233,1,2660953,65,742,0.0278847,0.000491553,39.2,41.2
dog_chrUn_JH373234,1,1881673,12,117,0.00621787,0.000124357,39.6,42.3
dog_chrUn_JH373235,1,1415205,20,195,0.0137789,0.000274165,39.8,41.8
dog_chrUn_JH373236,1,1067467,14,163,0.0152698,0.00026043,37.7,39.4
dog_chrUn_JH373237,1,866315,7,81,0.00934995,0.000159295,37.3,38.6
dog_chrUn_JH373238,1,881102,2,19,0.00215639,4.31E-05,40,40
dog_chrUn_JH373239,1,822601,60,610,0.074155,0.00147824,39.3,40.5
dog_chrUn_JH373240,1,741967,6,60,0.00808661,0.000161732,39.9,46
dog_chrUn_JH373241,1,745551,17,188,0.0252162,0.000537857,39.1,40.5
dog_chrUn_JH373242,1,602611,11,107,0.0177561,0.000391629,39.3,39.8
dog_chrUn_JH373243,1,573630,338,3522,0.613985,0.0117654,39.4,41.1
dog_chrUn_JH373244,1,666183,6,59,0.00885643,0.000177129,39.6,44
dog_chrUn_JH373245,1,557017,15,151,0.0271087,0.000579875,39.9,35.9
dog_chrUn_JH373246,1,510604,2,19,0.00372108,7.44E-05,40,40
dog_chrUn_JH373247,1,497093,8,106,0.021324,0.000329918,39.8,39
dog_chrUn_JH373248,1,492630,7,88,0.0178633,0.000304488,39.6,43.9
dog_chrUn_JH373249,1,577062,15,190,0.0329254,0.000532005,39.8,40.6
dog_chrUn_JH373250,1,561270,4,43,0.0076612,0.000151442,40,50
dog_chrUn_JH373251,1,407330,3,43,0.0105566,0.000152211,40,36.7
dog_chrUn_AAEX03018827,1,405216,4,38,0.00937771,0.000187554,39.6,40
dog_chrUn_JH373252,1,508668,6,58,0.0114023,0.000226081,39.9,41
dog_chrUn_JH373253,1,540093,4,38,0.00703583,0.000140717,39.6,40
dog_chrUn_JH373254,1,448434,14,134,0.0298818,0.000597635,39.8,40.9
dog_chrUn_JH373255,1,377800,6,57,0.0150873,0.000301747,39.2,40
dog_chrUn_JH373256,1,384880,5,63,0.0163687,0.000262419,39.8,38.2
dog_chrUn_JH373257,1,367143,8,78,0.0212451,0.000424903,39.3,43
dog_chrUn_JH373258,1,399987,2,21,0.00525017,0.000100003,38.4,41.5
dog_chrUn_JH373259,1,376204,9,100,0.0265813,0.000467831,40,38.9
dog_chrUn_JH373260,1,416178,2,19,0.00456535,9.13E-05,39.2,40
dog_chrUn_JH373261,1,365470,4,38,0.0103976,0.000207951,40,40
dog_chrUn_JH373263,1,320591,5,62,0.0193393,0.000311924,39.8,38
dog_chrUn_JH373264,1,310270,3,45,0.0145035,0.000209495,38.8,41
dog_chrUn_JH373265,1,433650,4,38,0.00876283,0.000175257,39.4,40
dog_chrUn_JH373267,1,281659,4,38,0.0134915,0.00026983,39.8,40
dog_chrUn_JH373268,1,320442,5,63,0.0196603,0.00031831,39.3,40.4
dog_chrUn_JH373269,1,265648,2,19,0.00715232,0.000143046,40,40
dog_chrUn_JH373270,1,241365,4,46,0.0190583,0.000377022,39.3,45.5
dog_chrUn_JH373272,1,252720,1,24,0.00949668,9.50E-05,18.5,30
dog_chrUn_JH373273,1,254975,3,44,0.0172566,0.000251005,40,40.7
dog_chrUn_JH373275,1,223744,3,43,0.0192184,0.000277102,39.5,36.7
dog_chrUn_JH373276,1,227140,4,38,0.0167298,0.000334595,39.4,40
dog_chrUn_JH373277,1,219672,4,39,0.0177537,0.000350523,38.4,38
dog_chrUn_JH373278,1,386314,61,680,0.176023,0.00322277,39.5,40.6
dog_chrUn_JH373279,1,204342,1,24,0.011745,0.00011745,39.3,30
dog_chrUn_JH373280,1,216332,2,19,0.0087828,0.000175656,40,40
dog_chrUn_AAEX03019097,1,200877,5,63,0.0313625,0.000502795,39.2,38
dog_chrUn_JH373282,1,200932,6,59,0.0293632,0.000587263,40,44
dog_chrUn_JH373283,1,201410,4,45,0.0223425,0.000441885,39.8,37.8
dog_chrUn_JH373285,1,192561,2,19,0.009867,0.00019734,40,40
dog_chrUn_JH373287,1,197844,3,44,0.0222397,0.000323487,40,40.7
dog_chrUn_JH373288,1,196813,1,24,0.0121943,0.000121943,40,30
dog_chrUn_JH373290,1,210247,6,58,0.0275866,0.000551732,39.9,42
dog_chrUn_JH373291,1,177735,4,38,0.0213801,0.000427603,39.8,40
dog_chrUn_JH373292,1,172100,1,24,0.0139454,0.000139454,40,30
dog_chrUn_JH373293,1,166866,6,57,0.0341591,0.000683183,38.8,40
dog_chrUn_JH373294,1,164926,1,24,0.014552,0.00014552,38.2,30
dog_chrUn_JH373295,1,157598,2,19,0.012056,0.00024112,40,40
dog_chrUn_JH373296,1,143980,102,986,0.684817,0.0140853,39.4,42
dog_chrUn_JH373297,1,141074,21,197,0.139643,0.00287792,39.6,39.8
dog_chrUn_AAEX03019222,1,139526,2,20,0.0143342,0.000286685,33.1,46
dog_chrUn_JH373299,1,142296,2,20,0.0140552,0.000274077,40,43
dog_chrUn_JH373300,1,133119,4,41,0.0307995,0.00061599,40,49
dog_chrUn_AAEX03019240,1,129748,6,38,0.0292875,0.000878626,38.4,40
dog_chrUn_AAEX03019241,1,125962,2,21,0.0166717,0.000317556,38.8,40
dog_chrUn_JH373301,1,127429,6,58,0.0455155,0.000910311,39.4,42
dog_chrUn_JH373302,1,128261,2,20,0.0155932,0.000304067,40,40
dog_chrUn_JH373303,1,131872,2,22,0.0166828,0.000326074,38.5,52
dog_chrUn_JH373304,1,133432,9,107,0.0801907,0.00138647,39.9,41.7
dog_chrUn_JH373307,1,120779,3,44,0.0364302,0.000529893,40,37.7
dog_chrUn_AAEX03019307,1,115952,4,38,0.0327722,0.000655444,39.2,40
dog_chrUn_JH373308,1,118237,3,43,0.0363676,0.000524371,40,36.7
dog_chrUn_JH373309,1,111908,2,19,0.0169782,0.000339565,39.6,40
dog_chrUn_JH373311,1,111759,37,358,0.320332,0.00646033,39,41.9
dog_chrUn_JH373312,1,108801,2,21,0.0193013,0.000386026,40,52
dog_chrUn_AAEX03019339,1,106428,4,21,0.0197316,0.000761078,40,47.5
dog_chrUn_AAEX03019341,1,104646,2,19,0.0181565,0.000363129,39.3,40
dog_chrUn_JH373314,1,103248,2,19,0.0184023,0.000368046,40,40
dog_chrUn_JH373316,1,118473,21,245,0.206798,0.00352823,39.6,39.7
dog_chrUn_JH373317,1,99993,4,41,0.0410029,0.000820057,39.1,47.5
dog_chrUn_JH373319,1,124049,4,46,0.0370821,0.000733581,39.6,42.5
dog_chrUn_JH373321,1,101741,23,280,0.275209,0.00463923,39.4,39.4
dog_chrUn_JH373323,1,94395,2,19,0.0201282,0.000402564,40,40
dog_chrUn_JH373324,1,102992,5,64,0.0621407,0.00100008,39,40.4
dog_chrUn_JH373328,1,86544,2,19,0.0219542,0.000439083,39.3,40
dog_chrUn_JH373329,1,85476,29,332,0.388413,0.00689082,38.7,41.1
dog_chrUn_JH373330,1,110512,2,19,0.0171927,0.000343854,40,40
dog_chrUn_AAEX03019490,1,83291,4,19,0.0228116,0.000912464,39.4,40
dog_chrUn_AAEX03019491,1,82459,2,19,0.0230418,0.000460835,39.3,40
dog_chrUn_JH373333,1,82108,4,38,0.0462805,0.00092561,38.9,40
dog_chrUn_JH373334,1,87041,1,26,0.029871,0.00029871,40,36
dog_chrUn_JH373335,1,230124,2,20,0.00869097,0.000169474,37.9,40
dog_chrUn_JH373336,1,256406,65,334,0.130262,0.00728532,38.7,43.4
