#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
bear_CM057520.1	1	121185270	1907483	20473800	16.8946	0.313581	38.8	2.15
bear_CM057521.1	1	30884109	133690	1660007	5.37496	0.0889674	38.7	0.784
bear_JALAAU020000001.1	1	109684021	2132836	22075330	20.1263	0.392887	38.7	2.42
bear_JALAAU020000010.1	1	80592695	1526481	16153512	20.0434	0.37956	38.9	2.36
bear_JALAAU020000100.1	1	109353	109	1934	1.76858	0.0195514	38.8	0.11
bear_JALAAU020000101.1	1	106065	14	1402	1.32183	0.01484	39.6	0
bear_JALAAU020000102.1	1	104563	1035	13503	12.9137	0.196035	38.6	0.44
bear_JALAAU020000103.1	1	103861	1368	14244	13.7145	0.262967	38.6	0.113
bear_JALAAU020000104.1	1	103710	8233	37628	36.2819	1.57458	38.9	3.65
bear_JALAAU020000105.1	1	101563	40	788	0.775873	0.00795565	38.9	0
bear_JALAAU020000106.1	1	101150	6	377	0.372714	0.00372714	39.9	0
bear_JALAAU020000107.1	1	99161	1264	15195	15.3236	0.254969	38.7	1.63
bear_JALAAU020000108.1	1	98021	45	3732	3.80735	0.0523357	38.5	0.356
bear_JALAAU020000109.1	1	97343	23	1080	1.10948	0.0151834	39.1	0
bear_JALAAU020000011.1	1	75848702	1318717	14441294	19.0396	0.349165	39	2.25
bear_JALAAU020000110.1	1	97305	940	11014	11.319	0.193495	38.8	0.314
bear_JALAAU020000111.1	1	96854	5269	33923	35.0249	1.07189	38.5	2.97
bear_JALAAU020000112.1	1	95621	669	15340	16.0425	0.295929	38.6	0.0822
bear_JALAAU020000113.1	1	92258	51	1526	1.65406	0.0193479	37.8	0
bear_JALAAU020000114.1	1	90062	15	1480	1.64331	0.0177211	39.5	0.267
bear_JALAAU020000115.1	1	89074	40	740	0.83077	0.00883535	39.7	0
bear_JALAAU020000116.1	1	88188	55	1282	1.45371	0.0169184	37.9	0
bear_JALAAU020000117.1	1	87732	417	6335	7.22085	0.0944125	38.7	0
bear_JALAAU020000118.1	1	87276	1508	15099	17.3003	0.340666	39.1	0
bear_JALAAU020000119.1	1	87275	45	3419	3.9175	0.0443311	39.9	0
bear_JALAAU020000012.1	1	73797744	1404018	14501068	19.6497	0.381197	38.8	2.42
bear_JALAAU020000120.1	1	84924	476	7499	8.83025	0.11296	39	0
bear_JALAAU020000121.1	1	84100	224	3403	4.04637	0.089025	30.9	0.571
bear_JALAAU020000122.1	1	83516	196	3409	4.08185	0.0522056	39	0
bear_JALAAU020000123.1	1	81734	4211	20873	25.5377	1.08386	36.4	3.29
bear_JALAAU020000124.1	1	81183	90	1944	2.39459	0.0322235	37.7	0.4
bear_JALAAU020000125.1	1	81085	180	2711	3.34341	0.0435469	38.9	0
bear_JALAAU020000126.1	1	81080	1989	17735	21.8735	0.487111	38.6	2.76
bear_JALAAU020000127.1	1	80790	559	4650	5.75566	0.139943	38.2	2.21
bear_JALAAU020000128.1	1	79710	11	1087	1.36369	0.0174131	39.7	2.91
bear_JALAAU020000129.1	1	79402	42	1067	1.34379	0.0167754	38.3	0.714
bear_JALAAU020000013.1	1	71981430	1379881	14402128	20.0081	0.384128	38.9	2.37
bear_JALAAU020000130.1	1	78943	92	2378	3.0123	0.0368747	37.2	1.45
bear_JALAAU020000131.1	1	78387	19	315	0.401852	0.00469466	38.4	0.789
bear_JALAAU020000132.1	1	78235	18	473	0.604589	0.00791206	39.5	6.17
bear_JALAAU020000133.1	1	77661	75	1678	2.16067	0.0323972	38.7	0.96
bear_JALAAU020000134.1	1	76652	13	740	0.965402	0.0100584	39.7	0.231
bear_JALAAU020000135.1	1	76090	554	7667	10.0762	0.143107	39.1	0.374
bear_JALAAU020000136.1	1	75260	763	10045	13.3471	0.203853	38.5	0.474
bear_JALAAU020000137.1	1	74076	4852	28097	37.93	1.29108	38.9	2.91
bear_JALAAU020000138.1	1	74064	640	9537	12.8767	0.177522	38.9	0.0141
bear_JALAAU020000139.1	1	73438	8	813	1.10706	0.0127863	39.9	0.75
bear_JALAAU020000014.1	1	71886606	1865405	15779193	21.9501	0.517519	38.7	2.78
bear_JALAAU020000140.1	1	73358	468	4963	6.76545	0.127989	38.6	1.29
bear_JALAAU020000141.1	1	73154	7	78	0.106624	0.00184542	39.7	0
bear_JALAAU020000142.1	1	72558	13	766	1.05571	0.0106811	39.4	0
bear_JALAAU020000143.1	1	71246	306	4771	6.69652	0.0977178	38.8	0.33
bear_JALAAU020000144.1	1	70971	481	6770	9.53911	0.133435	39	0
bear_JALAAU020000145.1	1	70332	95	1285	1.82705	0.0340101	38.8	0.842
bear_JALAAU020000146.1	1	69764	28	2441	3.49894	0.0376842	37.4	0
bear_JALAAU020000147.1	1	67459	709	6823	10.1143	0.207385	38.7	2.21
bear_JALAAU020000148.1	1	67413	9	709	1.05173	0.0105173	37.7	0
bear_JALAAU020000149.1	1	66149	7	577	0.872273	0.00994724	39.6	0.857
bear_JALAAU020000015.1	1	64761984	1274583	13188617	20.3648	0.394161	38.9	2.45
bear_JALAAU020000150.1	1	65823	2234	18581	28.2287	0.672166	38.6	2.82
